 November 2022,5,Excellent accomodation,"Wonderful time here, clean - bright and fresh interiors - gorgeous airy room with fabulous views out to the sea. Very well placed for easy access to all of Essaouira Staff were pleasant and friendly. Food available on the roof. Highly recommended.",hotelName,city
 September 2022,5,The best hostel in Essaouira!,"The least I can say about the hostel is AMAZING! The dorms were very spacious, well maintained and clean, sleeping like baby a guaranteed! The staff were adorable, and made the hostel feel home. They also have a cozy lobby at the entrance and rooftop where you can chill, work, eat delicious food, and have a panoramic view of all Essaouira city. A place I highly recommend!",Atlantic_Hostel,Essaouira
 November 2022,5,Excellent accomodation,"Wonderful time here, clean - bright and fresh interiors - gorgeous airy room with fabulous views out to the sea. Very well placed for easy access to all of Essaouira Staff were pleasant and friendly. Food available on the roof. Highly recommended.",Atlantic_Hostel,Essaouira
 September 2022,5,The best hostel in Essaouira!,"The least I can say about the hostel is AMAZING! The dorms were very spacious, well maintained and clean, sleeping like baby a guaranteed! The staff were adorable, and made the hostel feel home. They also have a cozy lobby at the entrance and rooftop where you can chill, work, eat delicious food, and have a panoramic view of all Essaouira city. A place I highly recommend!",Atlantic_Hostel,Essaouira
 November 2022,5,Excellent accomodation,"Wonderful time here, clean - bright and fresh interiors - gorgeous airy room with fabulous views out to the sea. Very well placed for easy access to all of Essaouira Staff were pleasant and friendly. Food available on the roof. Highly recommended.",Atlantic_Hostel,Essaouira
 September 2022,5,The best hostel in Essaouira!,"The least I can say about the hostel is AMAZING! The dorms were very spacious, well maintained and clean, sleeping like baby a guaranteed! The staff were adorable, and made the hostel feel home. They also have a cozy lobby at the entrance and rooftop where you can chill, work, eat delicious food, and have a panoramic view of all Essaouira city. A place I highly recommend!",Atlantic_Hostel,Essaouira
 November 2022,5,Excellent accomodation,"Wonderful time here, clean - bright and fresh interiors - gorgeous airy room with fabulous views out to the sea. Very well placed for easy access to all of Essaouira Staff were pleasant and friendly. Food available on the roof. Highly recommended.",Atlantic_Hostel,Essaouira
 September 2022,5,The best hostel in Essaouira!,"The least I can say about the hostel is AMAZING! The dorms were very spacious, well maintained and clean, sleeping like baby a guaranteed! The staff were adorable, and made the hostel feel home. They also have a cozy lobby at the entrance and rooftop where you can chill, work, eat delicious food, and have a panoramic view of all Essaouira city. A place I highly recommend!",Atlantic_Hostel,Essaouira
 November 2019,5,The rooftop terrace you want to be on,"When we were in Marrakech everyone was talking about the guys at Atlantic Hostel. It sounded like the same old same old type of back packer ramblings but after six months on the road ‘The Best This’ and ‘The Best That’ really looses all meaning. Fast forward a week later, we’re walking through the market street of Essaouria looking for our turn into the medina. Between the fruit displays, food carts and mixed shops we see the obeachy and well aged sign for Atlantic Hostel. From there its only a 50 meters to the door but my man Simoking AKA Smoking has already spotted your backpack and is with the rest of the boys cheering you in. More like a Japanese Izakaya than a reception, everyone is shouting your name, introducing themselves, and horsing around. Between jokes and paper…",Atlantic_Hostel,Essaouira
 December 2019,5,Nice Atmosphere,The view from the terrace is magical you can see all the city with two different view to the beach .. the staff are very friendly (simoking) the hostel it's really clean and comfort to spend your trip ..I booked for two nights but I stayed for 6 nights cause of the magical moment Highly recommend.,Atlantic_Hostel,Essaouira
 December 2019,5,"If you are planning to visit Essaouira, go to this magical place!","I was in the Atlantic Inn and the place is beautiful. Thank you everyone there, especially Galileo. I was fortunate to spend my weekly envoy in this place. We add bathrooms like this. There is hot water and everything is cleaned and replaced every morning in the beds .. A wonderful view from the roof to enjoy the old city and sunset .. Comfortable beds Clean bathroom, beautiful dinner with live music, breakfast on rooftops, this is the place to stay I will definitely recommend this place highly",Atlantic_Hostel,Essaouira
