 January 2023,5,Lovely hotel!,"We were very happy with the hotel, the staff and the food! The beautiful riad is located in the center of the medina but in a quite street. The service and the food were fantastic and we even received a lot of tips for our time in Fès! We definitely recommend:)",Dar_7_Louyat-Fes_Fes_Meknes,hotelName,city
 February 2022,5,What a find !!,"I was fortunate enough to stay here for four weeks. Everything about my time was perfect. Firstly the Riad itself is beautiful, traditional, spotlessly clean, quiet, lovely terrace, hugely comfortable bed, a well stocked library and in a great location. The food was of a high standard, lovingly prepared, delicious and extremely generous portions. However it was the staff who made my trip so exceptional and memorable. I was traveling alone but was made to feel part of their family. My daily questions were answered and I gained an incredible insight into the local life and the culture of Fez. I cannot think of any negatives. I feel exceptionally privileged and lucky to have found this amazing place.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 January 2023,5,Wonderful stay!,We had the fortune to spend 2 beautiful nights in this Riad. The rooms were spacious and clean and the house itself is stunning! Everything was made better by the warm welcome of Soufiane and his team!! I would recommend this place hands down!,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 December 2022,5,Incredible Riad tucked away in an ancient city,"Once you enter this wonderful haven you’ll have trouble just not wanting to stay inside its walls. The on-site staff went above and beyond in accommodating my every need. The manager, Safyan, himself met me at my late-arriving taxi from the airport to help guide the way from the R’Cif gate thru the winding streets. Without his assistance my stay would have been impossible. I had the luxury of being the only guest on the weekend of my stay, I was treated to amazing meals provided by Fatima, their cook, whose cooking was the highlight of my Moroccan trip. For Western/European travelers not familiar with medians, particularly those of this age, you should be aware of streets often being small narrow alleys. The Riad is on the house of 7 Turns so expect to be following this path…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 December 2022,5,Excellent place to stay in Fez!,"I spent a couple of nights in this wonderful guest house in Fez. Quiet and very close to all interesting sites in the medina. Rooms are very unique and the food is also very good. Service is also great, in particular Sufyan the manager is very helpful and can speak several languages. A place I will certainly return if I am ever back to Fez.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 December 2022,5,Incredible Place to Stay in Fes,Staying at Dar7 Louyat was one of the main reasons why our visit to Fes was an incredible experience. The location centrally located. The interior and the design were immaculate. The place is super quiet and peaceful which made it the perfect place to go back to after spending time in the medina. Starting each day with the wonderful breakfast sitting in the middle of the beautiful interior courtyard was wonderful. The service was great and the manager of the hotel Sufyan was super friendly and helpful. I was amazing at how many languages he speaks including Mandarin Chinese. I would recommend this place to all my family and friends. 住這裡真的是很棒. 裡面乾淨又很安靜. 室內 保留了 非常美麗的傳統設計 加上現代的設備. 管理人Sufyan 非常的親切又會講中文. 給我們一個很美好的回憶. 我 一定會建議我家人朋友在這裡住!,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 October 2022,5,Wonderful Terrace and View,"The Riad is beautiful, with an amazing terrace and view of the Medina. It is a bit difficult to find but once oriented to the location, manageable to go to and from. It was very quiet and the staff was very nice.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 October 2022,5,Beautiful accommodations at Dar 7 Louyat,"The riad is lovely; a wonderful place to stay in the old part of the Medina. All of the staff were kind, polite and helpful throughout our stay. It has a quiet and friendly atmosphere. Visiting with friends on the terrace we saw a shooting star which made our stay much more magical.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 September 2022,5,Most immersive guesthouse experience you can have,"If harmony and balance live in one place, it is in this riad. From the location, decoration, to the people, to the venue itself and his soul, which cannot be created however, here, you can feel it in every detail. A magical space in the heart of the medina, which connects us with Fez and with ourselves, in a balance that I have rarely felt while travelling. Younes, the manager is friendly, dedicated, and helpful, turning the experience even more local and immersive with his tips and recommendations. It's easy to feel welcomed and hugged and at the same time completely out of our comfort zone, in a place that seems stopped in time. Extra points also for the manager's musical taste that helps to make the stay even more magical and unforgettable. Thanks Younes, Fatima and all…",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 April 2022,5,Lovely riad in Fez - highly recommended,"Our stay at Dar 7 Louyat was one of the best we had during our 10 days in Morocco. The rooms and building are stunning, as are the Medina views from the terrace. The location is great to visit the Medina, central but calm. The staff are incredibly helpful and friendly, and the food served within the riad was the most delicious we had in Fez. Dinner and/or lunch at the riad are highly recommended.",Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
 May 2022,5,loved this place,i spent 3 nights at Dar7Louyat and i felt more than comfortable there (while traveling alone). The Staff was suuuuper highly friendly and the manager Younes was always the kindest person being helpful & available for questions etc. I enjoyed the calm nights and having breakfast & dinner on the roof terasse. I‘ll definitely come back to this beautiful place.,Dar_7_Louyat-Fes_Fes_Meknes,Dar_7_Louyat,Fes_Fes_Meknes
