 November 2022,4,"Authentic, very good staff","Wonderful people in this facility! The manager Idriss was very helpful in arranging tours, carry out, and any detail like special breakfast dishes. The staff were all friendly and attentive one of them helped us with an issue with a remote. There is a beautiful rooftop terrace which overlooks the harbor and new town we ordered carry out and Idriss arranged to have plates and utensils and wine glasses sent up. Idriss also arranged a WONDERFUL tour of old town the tour guide Mochine is the best! This is an authentic Moroccan space. The property is fairly close to the edge of old town in one of its alleys. There are traditional pictures, the tiles are ornate and the doorways are arched. The stairs do not have a hand railing so you’ll need to take your time going down. Our…",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 November 2022,5,A great few days,"We had a great stay here a week ago. Idris’ hospitality was amazing, he really went above and beyond to welcome us, provide advice and make our stay as nice as possible. The breakfast was great, location really good, it has a nice roof terrace with view of the city and the room was good value. Wi fi strong too so good if you want to work. Thanks very much !",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2022,5,I can't recommend enough,"This hotel was absolutely charming. We stayed in some expensive hotels on our trip and despite this hotel being cheaper, it was by far the best. The staff could not be more friendly and helpful. Beautiful view from the terrace. We went for our honey moon and upon hearing this they bought me a rose. It was such a lovely touch that no other hotel had bothered to do. We felt very safe and at home there. Anyone lucky enough to visit, we hope has as wonderful a time as we did.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,5,Great value for money!,"This place is really cute, located perfectly in the medina area, rooms and bathrooms are small but perfectly clean! The rooftop terrace is amazing. It is a great value for money-place. Only bad thing was that we ordered a taxi for 6.15 AM for the train station, and it did not show up. We had not paid for it and went down the street and found another taxi, so everything was fine, but it was a little annoying. However, the place was really good!",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,1,Awful!,This is by far the worst place I've been. The place is gloomy and the room reeked of damp. You really don't want to spend any time in it. Very noisy at night. Minimum service : the room was never cleaned and the bedsheets and towels were never changed. No drinks or food except for breakfast that is not that good. The bathroom is really small and there's water everywhere after taking a shower. I don't recommend this place at all except maybe for its location that is the one and only good thing about this riad.,Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2018,5,Juice and cakes,"We spent two days in this Riad for my girlfriend’s birthday. The place is in the heart of Médina, is small and beautiful, the terrace is so so nice, and the staff is super amazing! We told him about the birthday and he helped me to find two delicious tiny chocolate cakes with a candle and some fruits juice (no bubbles for us!) to surprise my girlfriend. When we thought the night was already perfect, he knocked at our door with... a gift! What great people we met during our stay at this Riad, we highly recommend it for the position, for the comfort and for the people who work there. Thank you for making this a very special day.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,3,"Lovely little hotel, good customer service - needs repairing & updating","As you walk in it's beautifully decorated. You're greeted with Moroccan Tea while you're checked in. The hall and stairway is beautiful too. Unfortunately, the card machine didn't work and so we had to walk to a cash machine. Bearing in mind we arrived in the evening- it wasn't a nice place to walk around as a newby to the area and being a woman with blonde hair (I clung to my boyfriend like glue). Our rooms were basic. There was a TV and cable, but only one plug socket (so you had to choose which one you wanted- pointless really)- when we asked for an multi socket extension cable the lovely guy didn't know what one was. We ended up finding one and he allowed us to use it for the night. The toilet and shower led much to be desired- the water pressure was terrible and the water…",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,4,"Simple Rooms, Fitting Character and Rooftop","The rooms are simple yes, but comfortable. The stairs are windy and steep but you're in the middle of the Medina after all. The staff was super friendly and even let us make a mess in the kitchen (which we cleaned up of course). The rooftop terrace is pleasant in the evenings but nothing more than that. I would recommend this place.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2017,5,Escape from the busy streets,"My girlfriend and I had a wonderful experience. One of, if not the most, enjoyable places that we have stayed during our two month backpacking trip. Comfy beds, ensuite with shower and consistent hot water, and a beautiful terrace. Breakfast was delicious and consisted of various sweet breads, jams, coffee, mint tea, and orange juice - not much protein but a good start to the day. The staff were incredibly friendly (spoke English) and helped us plan our stay in Tangier as well as suggestions for the rest of our time in Morocco. When we asked about washing they took our laundry and did it for free! The only con we noticed was that the lighting was quite dim in the room",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2017,3,Ok,"The hotel is really well situated in the Medina, especially if you come to tangier ville (as it's only a 10-15 minute walk). It's also really easy to find again once you have got lost wandering the medina. The staff are friendly and conversant in English which helped as my French is better than my Arabic... but not by much. Their card machine wasn't working when I came to pay and they happily accepted euros instead as I'd spent the last of my dihrams. (I also got a little bit of a discount in doing so). Unfortunately there were some drawbacks. The internet didn't work in our room (we were in room 7 at the top and, as others have said, it is the best room as it has views and is away from the bustle of the city below). We aren't addicted to the internet but it helps when…",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2017,5,Much better than we anticipated,"Dar Bargach is a great value for money and it's actually better than it looks in the photos. We stayed in the top floor room and we had the rooftop all to ourselves. Amazing view, delicious breakfast and in walking distance to Kasbah, Grand Socco etc. Also, the girl than runs the place (so sorry we forgot her name) is absolutely helpful - she arranged us a taxi transfer to the bus station and gave us great tips about Tangier. Highly recommended.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2017,3,Preseason get away,"Good value for money. Cathy was very friendly and helpful. Very basic room but pleasant. Good high pressured shower. Roof terrace was very open and nice. Central to many markets, restaurants and the beach.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2016,5,good value,"We had a very good stay in Dar Bargach, very good situated, lovely breakfast and wonderful terrasse! But the most important was Mehdi, who welcomed us and helped us during our stay, he is a lovely and helpful guy and we wish him all the best!",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2016,3,low cost budget medina,"We stayed there just for a night, we met Abdu and Kathy. They were very helpfull with us. Something to remark, the staff The breakfast was very good. The rooms smells not so well, and the shower caused a flood in the bathroom. the location is ok, and the price also.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2016,1,Horrible and dirty rooms,"Horrible and dirty rooms, incovinient place. The staff was very helpful and gentle. The stairs were very narrow. There was only one socket to charge your electrical devices. The bathroom was terrible and no privacy in the room because of the pseudo-door which everything was clearly heard...",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2016,1,Awful,"We had asked for a room on the ground or first floor because of health problems and were given a room on second (top floor) which you couldn't swing any self respecting cat in - added to this the stairs were incredibility steep. Bathroom had broken shower mounting and the tap in basin didn't appear to be anchored, electrical plug was hanging from the wall and was dangerous, worse thought was the air con which didn't work. We asked to be moved and this was done - air con worked but manager did not leave the air con control and then it was freezing used both bankets so we wouldn't freeze. Would not recommend this hotel to anyone.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 June 2016,1,Like A Needle in A Haystack,"I didn't know how slow the train from Casablanca to Tangiers was and so I estimated arrival before 17.00 but the train left at 14.30 [from Casa Voyager ] and arrived at Tangier Ville at 22.20. My phone was both out of charge [power] and I couldn't put credit on it without a network. Internet cafes were all closed and a map of Tangiers was nowhere to be found. I had to make a fund transfer to my Visa which was impossible without a network WiFi or 3G , but I walked towards the west and the Medina or Casbah where nobody would help me find the Hotel. People I asked in turn asked me where I was from and offered me hashish. I don't smoke anything: no cigarettes and certainly no stupefying substances so I had a hard time getting information. I had no access to my money so I couldn't…",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2016,5,Great experience and a nice welcome to Tanger,"The riadh was really beautiful and everything was clean. The riadh has also a very nice terrace, a good opportunity if you want to relax after a long day. The staff was very friendly and helpful. Breakfast was small and lovely. The location is also really easy to find, in the medina but not far from the gate. I'm definitely going back the next time I'll go to Tanger.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2016,5,Excellent,"Dar Bargach is in a great location in the Tangier Medina, close to some of the main gates (""Babs"") and lots of points of interest and restaurants. Very polite and careful personnel, helpful in any means. The rooms are clean and quiet. The staff gave us great tips about visiting the city and made our stay really pleasant. The breakfast included was nice and big. Also, there's a terrace with great view.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2016,5,Great experience,"Beautiful spot! The hosts were very helpful and kind. The room was very comfortable for the price. The space was beautiful and the roof has a great view! Would recommend friends to go here. We didn't know much about tangier but the hosts got us up to speed very quick. Very accommodating with language as well, speaking at least Arabic, French, Spanish, and English",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2016,5,Lovely,"Really great location, easy to find and nice friendly staff. The room was really comfortable with lovely decor and a nice bathroom with hot water. Wifi was good and reached the room which was also good. Breakfast was delicious and at a great price for how nice the place is. Thanks!",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2016,5,"Very nice host, comfortable place to live","The place is very easy to find and the host is very nice, he can give you a lot of advice whatever you ask, and he can speak English very well. The room is also very comfortable. The breakfast is perfect, and you can see the see and almost the whole old city on the top of the roof.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2015,5,Great experience,"The hotel was really nice, make you feel like at homebut in a new and exciting expirience. Excellent breakfast and friendly staff, they help us a lot. We will repeat it, no doubt. And of course a very good price.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2015,4,"We had a great time, delicious breakfast","The staff gave us a warm welcome with mint tea, the room was adequate to its description. There was no window in the room which was not a problem for us, the breakfast was delightful and rounded up our stay there.",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2014,4,A good stay at Dar Bargach,Dar Bargach is located in the medina. The place had many stairs. + Good hostel. + Good location. + Good bed. + Good bathroom. + Good breakfast. + Friendly staff. - Only some of the staff spoke English. The older man at the reception was very poor to English. Directions: Dar Bargach and directions: http://www.hostelworld.com/hosteldetails.php/Dar-Bargach/Tangier/62192 The map show the walk route to Hotel Continental from the ferry: https://goo.gl/maps/HHj7q,Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2014,3,Follow these simple steps and you'll have a lovely stay,"First, make sure that the remote controls to operate the air conditioning units are not under LOCK AND KEY when you arrive (I decided to stay explicitly because the website indicated they had been installed). Then, be sure that everything in your room works before you accept it: toilet, water, etc. Then, maybe consider using your own pillow case cuz the linens are really thin. Voila. Sadly, I moved to no less than THREE ROOMS and had to deal with a very embarrassing toilet situation cuz I didn't have this good advice. The guy who works here, Abdelilah, is obviously a nice guy dealing with an occasionally crappy (ahem) set up. Honestly tho, the place would be borderline great for the price if not for the snafus. But you do get what you pay for I guess!",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2014,3,"Price/location are good, but there are flaws","Other reviewers are right on: The price is right and the staff is friendly, but the beds are hard and the rooms are stuffy. We didn't mind staying here for a night, though. The place has a cool authentic feel to it, and the views from the terrace are beautiful. Our room had one small window to the open-air staircase in the center of the hostel, and we got a bit of a breeze when it was open. The location is good, on the edge of the medina, though. Other reviewers have complained about the noise, but we didn't notice that. I'm sure it depends on other guests and whether it's a party night. The lighting in our room was dim, which other reviewers also noted. The WiFi was a bit spotty but worked quite well at night and in the morning. Not all the staff members speak English, so…",Dar_Bargach-Tangier_Tanger_Tetouan_Al_Hoceima,Dar_Bargach,Tangier_Tanger_Tetouan_Al_Hoceima
