 March 2020,5,Exceptional!,There are some places that you simply fall in love with and this was one such place!! The kasbah is also a museum with one of the most funny and informative guide (Rida) who spoke 5 languages fluently! The restaurant in the hotel is exceptional and so is the accomodation. Incredible experience and a rare find. Definitely stop here .. off the beaten tourist path on you way to the sahara,hotelName,city
 January 2018,5,THE BEST!!,"We were a group of 16 Italians coming from other places in Morocco where we were accommodated even in nice place but nothing to compare to Kasbah Amridil. Amazing place, like a castel, with simple but clean rooms, no complain at all. But the best had still to come as the dinner was definitely the best ever along our staying in Morocco and the welcome from all the staff was much more than a warm welcome. Reda, the manager of the place, gave to us useful information not only about our journey but also pleasantly talking with him regarding politics, economy, movies and whatever else interesting concerning Morocco. Last but not least, Reda the day of our leaving we had a deeply visit to the Kasbah, that I cannot what a nice experience was. Said that what more: I strongly suggest…",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 December 2017,5,Such an authentic experience! Highly recommended!,"We spent 2 weeks in Morocco around Christmas 2017 and of all the places we stayed at on the trip this kasbah was the most memorable! We drove from Marrakesh to Merzouga and this was our overnight stay on the road. We were the only guests that night, which totally added to the magic of the experience. Imagine you have your own sand castle? That's how it felt. The actual kasbah is 300 years old, but very well preserved. It's an open air museum and a big tourist attraction in the area. So being able to stay here overnight was a real privilege. The hotel section is a new addition, so the room had heating and hot shower. There is an awesome roof patio, where I spent half a night photographing the stars. The manager Mr. Reda was such an accommodating host! The night before we were…",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 April 2017,5,A place like no other,"We have just spent a night here with our three young children and I couldn't have hoped for a better place to stay. The manager, Reda, is such a welcoming, happy and gracious host and spent time explaining things, looking after us and playing with our children - even though his hotel had been taken over by a 600 strong film crew and he had a thousand other things on his plate. Our dinner was genuinely home made and the stuff of kings. The breakfast was magnificent. We loved this hotel and I hope we'll come back one day. Thank you Reda!",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 October 2016,5,Highly recommended,"We stayed three nights at Kasbah Amridil and we loved every minute of it. Here's why: The kasbah is absolutely beautiful. It has an old and a newer part, both built the traditional way. The guest rooms are in the newer part and you can take a tour trough the old part and see how people have lived there in the 17th century. The kasbah situated in an oasis, with lots of palmtrees, fruittrees and olive trees. The landscape is quite picturesque. Every morning stepping out of my room I was amazed by the stunning landscape I was seeing. The food was very good as well. The breakfast was great and the dinners Réda's wife Amina cooked us were even greater. Réda was the best host you could wish for. Réda welcomed us warmly with Moroccan tea and salted peanuts when we arrived. He helped…",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 September 2016,4,Good service,We arrived in Skoura late at night however the staff were still happy to organise dinner for us. The room was clean and a fire was lit to heat up the water for the shower which was very authentic. Breakfast was good too. Note there is only wifi in the main areas and we were the only people staying there! Also a little difficult to communicate with the staff if you don't speak French.,Espace_Kasbah_Amridil,Skoura_Ouarzazate
 May 2016,5,"Not just a stay, a great Moroccan experience","Yes, this Kasbah-style hotel really does abut the 17th century Kasbah Amridil. We stayed in terrace room #9. Our queen-size mattress was a little hard for us, while the pillows were perfect. The ensuite was small but clean. The courtyard was delightful and the views from the hotel were lovely. Mr Reda was our gracious host and spoke good English. He and his wife are very friendly and the dinner and breakfast (included in the price) were both plentiful and delicious. I thoroughly recommend a stay at this hotel.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 May 2016,5,Wonderful experience!,"We stayed with Reda and his wonderful family on the way to Merzouga... It was a long drive from imlil and we arrived late but Reda waited for us and prepared a lovely meal! The auberge is amazing it felt like we had finally arrived in the ancient morocco! The noise of the birds, the call to prayer and the view of the dried river bed and oasis in the distance. We stayed for one night, walked around the old kasbah the next day which is joined and part of the B&B then made our way to the desert. Thanks for a warm welcome and a great stay!",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 May 2016,5,Unique experience!,"My wife and I had a wonderful 1 night stay at Espace Kasbah Amridil. We decided on staying at this unique hotel as we were making our way from Marrakech to the desert. The rooms are clean and very comfortable. The manager, Mr. Reda, is a wonderful man who really made us feel at home. He even gave us a highly entertaining personal tour of the Kasbah which is attached to the hotel. The home cooked meal that Mr Reda's wife prepared for dinner one evening was absolutely delicious. It was great to learn about the historical significance of Kasbah Amridil and its structure is easily identifiable on old 50 Dirham bills!",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 May 2016,5,Beautiful Kasbah in the Palmeraie,"We accidentally found this beautiful Kasbah located at the edge of the Skoura Palmeraie, right next to 17th century Kasbah Amridil. It has nicely decorated rooms and a great rooftop terrace amidst palm trees and Kasbahs. Owner and staff were extremely friendly and helpful. We felt very welcome and would definitely come back!",Espace_Kasbah_Amridil,Skoura_Ouarzazate
 May 2016,5,Short stay and lots of emotions,"Our visit was short but very intensive. In our stay we were only visitors in kasbah so we could fully appreciate hospitality and friendliness of our owner: he is not only kind and complaisant, also he is an interesting guide enthusiastic in his work and interesting to talk and to listen. For a reasonable price he showed a historical part of his hotel which is so nice to see and learn. Rooms were clean and authentic in a very sweet way. The food was VERY nice (the best breakfast and soup I've ever had in Morocco). The place Skoura is silent and good for a bike trip. Totally recomend you to visit this pace.",Espace_Kasbah_Amridil,Skoura_Ouarzazate
