 October 2022,4,Stay here if you visit Tangiers,Beautiful hotel in the middle of the best part of Tangiers for seeing the sights. The French influence is in every pore. Mainly French guests which was good for me as l can just about make myself understood. The staff were amazing. Highly recommended. Just don't drink in the bar. The prices were seriously taking the P.,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 September 2022,4,Boutique hotel lovely location,"A very elegant hotel with lovely decor. Boutique hotel with nice view of the sea. Though not all rooms get a good view. Rooms are small, about 14 by 14 ft, but comfortable. Decent sized bathroom. The rare hotel which has place to put up 2 large bags, though the bag rack takes up space in front of the cupboards. There is no coffee or tea making facilities in the room and the wifi didn't work while we were there. They did not have drinking glasses in the room. But if you can live without the above, then a lovely place to stay. It has a nice terrace on the ground floor. Buffet breakfast has a reasonable choice.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2022,5,Super hotel,An historic building .. clean and spacious rooms. Ours had a view over the garden terrace. All the people working in the hotel were helpful and friendly .. a lovely lady who was cleaning suggested I use the service lift rather than wait for the other lift. Very kind although I ended up in the kitchen 😬 We asked to see the room Matisse painted from .. number 35. You can stay in the room too I think. A lovely gift for Art lovers. Easy to get around from here too. The hotel in on an incline so there are steep slopes and steps to access reception. We arrived very early on the overnight sleeper from Marrakech and they happily let us check in early. Thoroughly enjoyed our overnight stay and breakfast was super .. lots of beautifully prepared fresh fruit. Would highly recommend.,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,4,"Great Location, Comfortable","This vintage hotel is ideally located on the periphery of the old medina and near the Port. It’s been well -maintained and offers terrace views, piano bar, breakfast room and on-site restaurant. Rooms are comfy but not what you would considered modernized. The breakfast has ample choice but the service was slow. There were a couple of issues with the front desk, and the staff doesn’t appear to be coordinated. Overall the location and the old charm of the property made up for its short-comings.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 March 2020,5,The perfect hotel for a visit to Tangier,"The hotel is beautifully furnished and decorated. Many references to Henri Matisse, who stayed here in the early 20th century. My room was large and overlooked the sea. Service was excellent at the front desk and in the bar. the location is super, being just on the edge of the medina and a few blocks from the center of the new city. I only had breakfast and it was very nice: lots of fresh fruit and cheese and meats. French pastries. Excellent coffee. The desk man is very helpful and engaged a guide for me so I could have a fast tour of the medina and the outskirts of town. I will stay here when I visit Tangier again, I hope in 2021.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,4,"Great hotel, great location","We had severe problems finding someone in the staff who could provide pool towels. Apart from this, we found the hotel great! The pool area is nice (although parasols were a bit past their glory days), and one of the neighbouring hotels has, in fact, a picture of THIS hotel’s pool area as a THEIR ‘view from hotel room’. We walked from the ferry to the hotel, no need for taxi unless you have large suitcases.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,5,Seeing Matisse’s bedroom was amazing,"How I wanted to see the room where Matisse had painted Window at Tangier so we went up the steps of The Grand, fully expecting it to be occupied. Instead a charming young man took us up to the second floor and unlocked room 35 with the original key. From the window you can look down on St Andrews church, over the bay and across to the mosque on the far hillside. Exactly as Matisse had painted it over 100 years ago. Except the trees have grown to hide the church. The original painting no doubt worth millions is in Russia but a copy with its bright blue edges hangs over the rather small and hard looking bed. From the other window more views of Matisse’s work. Best part of my holiday in Tangier. Well done Grand Hotel!",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,2,Completely run down hotel,"We selected to stay here as a last night before taking the ferry to go back to Spain. The hotel is outside of the Medina, easier in and out by car We were given a room in the ""old part of the hotel"" Thank God it was one night, the first room we received the bathroom smelled to urine and sewer. Then we asked for a change of rooms, that as granted by the very nice man in the reception. The new room same part of the hotel had no smell, but mini-refrigerator was leaking water, we called, they cleaned it and next morning another pool of water, we did not care just for one night. Bathroom is falling apart pieces are falling in the shower. We ate in the restaurant that was nice though. Very nice, for Morocco prize expensive, for US price a bargain. We were given a quick breakfast…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2019,4,Great location,We used this hotel just to crash for a night and regretted it later because the hotel is at a beautiful location and has great views. The hotel is dated and should get an overhaul but I guess the dated look and feel adds to the old world charm. The room was comfortable. The staff was very helpful.,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,5,"Quaint hotel, with great position.","Loved this hotel, don't expect modern decor, as old and original. Rooms not huge but comfortable, breakfast adequate, outside garden area great for pre dinner drinks. Set in side of hill, lovely view. Easy walk to market and shops.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,4,great hotel,I loved everything about this hotel with the exception of the bathroom. The drainage was a problem from the very first day. They sent someone but the sink never worked. It is disappointing to stay in such a high quality hotel and not be able to brush your teeth properly.,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,5,Tangier Trip,"Old style hotel, well renovated, perched on top of the hill with an excellent view - the walk up the front steps was good exercise! Good service, great bar, rooms as shown - would stay again if I am back in Tangier",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,5,"Old School Elegance, Exceptional Service!","This place is absolutely gorgeous! I felt like we were on a movie set. The views of the city were amazing. The rooms were just as shown on the website, very clean and beautifully decorated. The staff were always helpful and accomodating. Mourad ( spelling?) the concierge took care of our every request and the bartender, Youseff not only took great care of us but was a wealth of information about the country and the culture. We hope to go back someday and will definately stay here!",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,1,Bad management & customer service,"Bad management, processed wrong date, cannot modify it. TWO thumbs DOWN! Due to booking website has issue about wrong check in date, the agency called them to modify but the manager was insisting they cannot make any change even the booking was made late night which is not sense and it’s a very clear mistake. It’s very upset experience😫",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,1,Horrible stay - taken advantage of,"If you must go to Tangier, do everything to avoid your stay at this hotel. DO NOT get a tour from the front desk - tour is laced with kickbacks from local vendors. Was told we were going to be given a taxi ride to a local restaurant with a 2 hour walking tour for EUR 25 - turns out the 'walking tour' was a tour to walk to three vendors in which we were swindled to buy worthless goods. At the conclusion of our tour we made a payment to the tour guide of EUR 42 to cover the tour, tip, and taxi fare. A day later we were hostilly approached by the bellman OF THE HOTEL saying we never paid the taxi - even though it was made clear that it was included in our tour payment! Very 'randomly', as we were being ambushed to make this EUR 7 payment, the taxi driver 'randomly' appeared…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,1,"Long past its glory days, more 3 star than 5.","I booked this hotel hoping for a stay in an old grand hotel. Well it was old and possibly once grand. I had booked a duplex and when we entered the room it smelt terrible. Similar to sewerage. I told the front desk and he said the hotel was full. He told me all the duplex rooms had a smell. He did show me another room but it was small and had twin beds. As I’d pre paid through hotels.com I couldn’t move hotels. Finally he showed me another duplex room, which didn’t smell a lot. The bathroom was tiny and the furniture old and hard to sit on. Being right by the pool it was noisy from children playing. The next day the room director changed us to a larger room at the front of the hotel. Whilst being a good size it was in poor condition. The timber floors hadn’t seen a polisher in…",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2018,5,Amazing!,"My son and I stayed here for four nights whilst visiting Tangier. Everything was amazing; the staff, the rooms, gardens, pool areas, restaurants and bars. Luxury on a grand scale, what more can I say!!",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,3,Used to be good but now run down,"This hotel probably used to be a 5 star hotel when it was first built, but now it’s kind of run down and dirty. The towels in our room were threadbare and falling apart. We also found hairs and a stain in our bed. The breakfast was lovely though and it was served in a beautiful open air courtyard. The pool area is nice as well. The staff weren’t overly friendly. Overall, it was ok.",Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,5,Charming stay,Had a very pleasant stay. The hotel is elegant and rooms are five star from times gone by. If you manage your expectations then don’t expect global standards. This is Tangiers and the hotel gives a Bohemian air. The pool area is very nice and it was nice to relax in an oasis of calm. Médina is five minutes walk and the Kasbah 10-15 mins. Hotel has a great terrace for drinks. Breakfast was varied and plentiful. Staff are helpful although you have to ask for what you want.,Grand_Hotel_Villa_de_France-Tangier_Tanger_Tetouan_Al_Hoceima,Grand_Hotel_Villa_de_France,Tangier_Tanger_Tetouan_Al_Hoceima
