 December 2022,5,Excellent Staff; A Great Stay!,"My son and I were recently at the Hilton Tanger for 5 nights. We had an excellent stay, mainly due to the wonderful staff. We especially appreciated the assistance we received from Sara and from Yassine Al Boulhi. They were both very helpful, polite, and kind, giving us a lot of logistical information about beautiful Tangier and day trips. Their assistance went above and beyond. The rooms were clean and comfortable. We enjoyed their nice cookie holiday assortment. We will stay again if we visit Tangier again soon. Thanks you, J & A",Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 May 2021,5,Great Location and Service,"Stayed last few days of May, as Morocco was coming out of many of the restrictions in place. With tourism opening up, this was our first hotel on our trip, and as Diamond members we were welcomed as expected. Executive lounge was closed, but we were given vouchers for the Kasbar lounge instead, and the bartender took care of us, during the evening social times and made it extremely pleasant as we wound down from our daytime touring. I felt like we may have been the only Diamond members staying but that is to be expected with tourism so far down. Our morning breakfast was inviting each day, and the staff was always available to help. Front desk, and every staff member generally seemed happy and ready to help us although our needs were pretty low. Location was great and…",Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Tanger_City_Center_Hotel_Residences,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2022,5,We were pleasantly surprised,"We had to book last minute since our Riad had a plumbing issue. We stayed in this beautiful property and although a complete change of plan, honestly it was a true treat. The restaurants were excellent, the breakfast specially. The service top notch. The room super spacious, stunning lightning options, beautiful washrooms. Highly recommend this place.",Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Tanger_City_Center_Hotel_Residences,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2022,5,Great hotel Great service,"Really good hotel. Great check in , great breakfast, great dining and great bar. Overall very nice people working here. The staff was really good. We specially impressed by the concierge service who took special care to make our stay comfortable.",Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Tanger_City_Center_Hotel_Residences,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2022,5,Outstanding Service!,"The service here is outstanding. We checked in early in the morning. Our room was not ready, but the staff at the front desk invited us to have a snack at the executive lounge. As our room still was not ready, they were kind enough to upgrade us to a junior suite. The room was excellent. The hotel has an outdoor pool on the 13th floor. There is a very nice restaurant and bar/lounge on the top floor. An extensive breakfast was included. The restaurant staff at breakfast were absolutely outstanding. I would give the whole staff six stars if it was possible. The location adjoins a shopping center and it is convenient to everything in town",Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Tanger_City_Center_Hotel_Residences,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2022,5,Close to Train station Tanger Valle,Excellent hotel right next to train station Staff friendly knowledgeable Staff immediately solve problems when asked Noise level next door neighbor TV too loud Manager immediately ask him to turn down tv and call back to confirm TV volume down 👍 Will stay again,Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Tanger_City_Center_Hotel_Residences,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,1,Really disappointed Hilton guest !,"Series of reviews here folks and this is very serious . I’ve never been disappointed in all of my Hilton stays until now. 1) Room. Safety deposit box inside the room wasn’t working and we had to call it in 5 times and had to call the manager to get it fixed . Finally someone came after 9 hours. 2) Food service, handling and quality. Staff were setting up the food ( including dried fruits and pastries) in their bare hands and not with gloves ! This is outright not acceptable! This is where you get sick !!! 3) unprofessionalism. The staff was taking photos in their Halloween costume with the food , with her back (long hair) hanging around the food and she’s flipping her long hair around the food!!! I am writing this with a lot of exclamation marks as you can tell how outraged…",Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Tanger_City_Center_Hotel_Residences,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,2,Breakfast with a Not So Eggcellent Attitude,"The breakfast experience was not pleasant. Breakfast service started at 6am and we were first ones there at about 6:15am. It was understandable that they were still setting up. However, when I went to the egg station and asked for scrambled eggs, the young lady in hijab (sorry, I didn't get her name) responded that she's only serving over easy eggs. I informed her that I don't like the yolks wet and she begrudgingly said she would break the yolk of the over easy eggs she was already making. Not the best attitude or no sense of customer service. Someone else took over and started taking special requests like omelets. We then saw the same young lady in hijab picked up a loaf of the bread already displayed with her bare hands (no gloves) to be sliced. Aren't food handlers supposed…",Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Tanger_City_Center_Hotel_Residences,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,5,A great hotel,This is a great hotel and a step up from other ones we have stayed in Morocco. The rooms were large and very well equipped and the staff very friendly and helpful. The breakfast was well organised and food was good.,Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Tanger_City_Center_Hotel_Residences,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2022,5,HIGHLY RECOMMENDED,"I can’t express how amazing oir stay was!! Thank you for Elhoussaine (he is a star) for the amazing check in experience. From the lounge to the concierge desk Mustafa took amazing care for us! In the executive lounge we had Omar who always helped us! The bar staff was fabulous too at the rooftop pool! Abdelhamid was absolutely amazing Also big thanks to the rest of the bar, Hamza , Ayoub, Nordin and youssef alami. Two fantastic housekeepers kept our room spotless every day, Fatima and Saida! Thank you! Also thanks for the rest of the staff who we interacted Mohhamed bernannou, Houda and Sara! You were amazing! Please be very proud of them they truly represent high quality hospitality and the Hilton brand!",Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Tanger_City_Center_Hotel_Residences,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2022,2,Hilton - bad experience - they need to focus on the client,"Hilton - horrible experience - they need to focus on the client We have very few interactions with hotel staff and when they are less than satisfactory, you are left with a bad taste in your mouth. That’s what happened to us at the Hilton. We were there with a tour group from Gate1. I realize there are labor shortages and some only apply because we were a large group, but trust me; these examples below show a lack of focus on client satisfactory. Do yourself a favor and just go somewhere else. Here is the recap of our issues, highs and lows: - breakfast service was spotty, no one came for coffee or offered eggs on our first morning. We found out that it was an option after seeing other patrons. We ordered them on the second day, it turns out there is a counter (egg station).…",Hilton_Tanger_City_Center_Hotel_Residences-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Tanger_City_Center_Hotel_Residences,Tangier_Tanger_Tetouan_Al_Hoceima
