 November 2022,5,2 night stay in Fez,"Excellent service. Staff was flexible to welcome me at 1am! (Since my plane arrived quite late). They were always flexible enough to help us when needed, e.g. they even made a specially early breakfast just for us on the last day since we had to leave specially early! The hostel itself was also beautiful and people were nice. Totally recommend it!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,hotelName,city
 July 2022,1,Be aware bedbugs and expensive trips,Bedbugs everywhere in the bed and a very expensive desert tour don’t not stay here don’t not book anything with them do not trust them The staff member play all I want to scam you and take your money with a fake smile You can find better places in fez Where are you can have a good experience on a nice Time,Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 July 2022,5,Beautiful hostel at a good price,"The riad and rooms were clean, and there was air conditioning and a private bathroom in the dorm room. The location right in the medina is great, look out for the small signs with arrows posted along the way from the blue gate entrance. The decor is gorgeous, and the views from the rooftop were amazing. The staff were very helpful in helping us join a tour of the medina with a certified guide, who took us to some creative workshops and coops.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 July 2022,5,Great restaurent,I was staying at the riad for a couple days and we had diner and lunsh at the restaurent the food was greet and the servise was amazing thans to all the emploise 5 stars a place i will difenitly come back . Thanks Hamza for your hospitality you made us happy,Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 June 2022,5,Gorgeous hostel in the middle of the Fes Medina,The three-bed private room was perfect for my two friends and me at the end of our week in Morocco -- air conditioning and a private bathroom for a very good price. The staff are extremely hospitable and always open for a chat. Ibrahim recounted a history of Morocco for us on the rooftop terrace which overlooks Fes old town. Hamza then helped us with travel arrangements from Fes. All in all a very smooth and pleasant experience. Make sure to stay in the touristy areas of the Medina and only ask shop owners for directions.,Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 May 2022,1,Hostel is nice but don’t let them order your taxi if you need to be on time!,"We nearly missed our train at 5.40 in the morning as we trusted the guy from the reception who said he will order a taxi for us at 5.00. He said this is enough time. And it probably is if the taxi would have appeared. It did not… get yourself a taxi from the nearby bus station. Though not every driver wants to ride you to the train station you will find one. The hostel is nice by the way. Friendly staff, clean, AC in rooms, nice breakfast… but we were really upset about this situation.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 April 2022,5,beautiful riad in the middle of the medina,"I stayed here for 3 weeks and felt really at home here and didn’t want to leave! Hamza, Ali and all the rest of the staff are really great and were very friendly and helpful! There’s a good atmosphere there with the people staying there too and it’s a beautiful place with a big roof terrace with views across the city. It’s right in the medina but it’s quiet and away from the bustle of the medina. The rooms are also very clean and comfortable. Would definitely recommend!!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 May 2022,5,Beautiful hostel,"We had a very lovely stay at medina social club in fes. We got picked up from the airport at 10 PM and arrived at the beautiful hostel shortly after. The location was ideal for discovering the medina. The staff was very kind, thoughtful and cheerful.",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 July 2021,5,Enjoyed Stay very much family of 5,Before arriving to hostel we were welcomed by sort of guide who picked us to the Riad. Very welcoming people. Terasse is indeed breathtaking. Very cosy place with small rooms and very nice breakfast 100% moroccan.,Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 July 2021,5,Excellent sejour,"Very lovely staff, great location and nice setting in the rooms and common spaces The terasse is amazing to spend early mornings and lovely nights Great breakfast with a good music Really recommend 100%",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
 January 2020,5,Very special place,"It is a very special place. A very old family house (as we were told) that has been very-very beautiful restored with love. The location is perfect! Big rooms with extremely comfortable mattresses. All of the people working there are very kind and helpful. We stayed for two nights and we had dinner every night. The kitchen is perfect. We tasted real Moroccan dishes. For the whole impression, in a scale of 10 we grade it by 10!!! We highly recommend it!",Hostel_Medina_Social_Club-Fes_Fes_Meknes,Hostel_Medina_Social_Club,Fes_Fes_Meknes
