 December 2022,5,Wonderful hotel close to many things,"We stayed as a family for 3 nights on the Tangier part of our Moroccan vacation. This hotel was across from the train station and Tangier city mall and a block or so south of the main Tangier beach and boardwalk, so easy walking distance (1/2 hr or so in either direction) of the marina and Malabata area. Room was very comfy and modern, nice size pull out bed for our daughter. Nespresso and water in room free of charge. Breakfast was good, lots of variety. Front desk arranged a tour for us with a guide, which was fantastic and hit all the sights we wanted to see. The bar could’ve been a bit better, but we were able to get a cold beer and a glass of wine. Overall a great hotel!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 December 2022,1,Spa,"The worst experience ever. Instead of 1.5 hours massage I received only 30min massage. Reception cannot speak English, I ended up waiting at the reception for my friend who received 1.5 hours massage there. Instead of relaxing evening I had the worst time ever arguing and waiting for my friend. They offered another 1 hour massage but the therapist looked like she was about to cry when we went to the room. I didn’t want a massage from someone who was very unhappy and unprofessional. The whole experience was extremely tiring.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2022,5,"Spa recommendation, special thanks to Dina and Asmaa","I went to the Spa center of Royal Tulip and i must say the indoor pool is the best in Tangier And a special thanks to Dina & Asmaa who welcomed me , they are so kind and generous, the water’s temperatures was 29c which is so warm, which i loved about this spa",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,3,Not sure how this can possibly be a 5* hotel,"I must admit that I am surprised with the vast majority of reviews on here that are giving the Royal Tulip City Center Hotel 5 stars. There is simply no comparison between this hotel and true 5 star hotels. There is nothing remotely outstanding or memorable about the Royal Tulip. The location is good; it's near the main train station of Tangier, as well as the Medina area. I think there is a shopping centre nearby. It's just off a main road where taxis are easily available. Check in staff were pleasant, but nothing special. The room was fine, but not thoroughly cleaned when we first entered. The curtains were somewhat dirty and so was the carpet in some areas. The size of the TV was tiny compared to the size of the wall. The main issue I had was with the shower bath. The water…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2022,4,"Beautiful Tangier, a bridge between Africa and Europe ..","My son and I arrived from Casablanca before sunset, I did not stand long in front of the reception, the professionalism of the employee who occupied me with opening a dialogue in the name with me until he handed me room cards, the hotel was crowded with citizens coming to visit from Europe, you need to stand long to reach your room, the rooms are large and clean with Romantic balcony view, conducive to relaxation and meditation, comfortable bed, delicious full breakfast and staff waiting to fulfill your requests, surprising they could not remove a dark stain on the flooring!",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2022,5,"The hotel staff were courteous, helpful and charming in dealing with us. The beautiful reception staff were very helpful","We spent a long weekend in Tangier staying at this hotel. The facilities were excellent. Food was good and location was ideal for us, as it was central. I cannot praise the young beautiful ladies at reception enough for all the help and assistance given to us and always with a happy smile.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2022,5,Good one,"I stay 2 days in royal tulip it's a good hotel and the staff also very good especially Ananthu,Jayakansar thanks them for good serice. I recomment everyone to stay here. The food was awesome brekfast will visit again",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 May 2022,5,Amazing staff and spa experience,"Amazing experience, the staff were extremely nice and helpful. If you go ask for Lina or Asmae, they managed to accommodate me last minute and this is definitely my go to spa place whenever I am next in Tangier. Would highly recommend to friends and family.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2022,5,Awesome breakfast,This was the beat breakfast in all the City with a great selection and only 100 diram Great coffee and great selection of teas and even fresh mint Muhammad was the main dining room attendent and he was so kind and thoughtful. He is the diamond at the hotel and took plates away and was so thoughtful and kind and really made breakfast so enjoyable and went out of his way to make all perfect!!!,Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2022,5,Incredible hotel,"This hotel is quite honestly one of the best hotels that I've stayed in. The rooms are beautiful and spacious, the views are to die for and most importantly the staff are very kind, helpful and polite. Naoufal specifically went above and beyond his duty and was helpful in every way possible. He is a true asset to Royal Tulip and an amazing gentleman. Special thanks also to Hasnae and Lina at the spa. My daughter and I had an amazing afternoon there. So polite, helpful and friendly. Until next time :) Darifa",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2021,5,Mr Marco Acquaviva,"I’m Marco , Italian property entrepreneur london based, I ve been 1 week in Marocco travelling looking for new properties investment , but unfortunately they close out and in flight so I must to spent extra 10 days around While I’ve been driving for 18 days all over the country, I must get hotel wherever I stopped I was looking for a better place in tangier cause first experience in others hotel was not happy at all Searching in booking . Com I found royal tulip city centre Luxury hotel but with very reasonable price, so strait away I booked I received a very good welcoming as soon I check in, people given with big smile very good help from the parking , receptioning, till luggages brought it in the room, after a very good comfortable sleep I woke up so fresh and I walk strait…",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2021,5,Amazing 3 nights,"Great hotel, nice location, Amazing staff, and so professional services. It was so so clean rooms, quiet and good room size. The breakfast was awesome, fast service not crowded and helpful staff. I would like to thank Mr. Hussain in reception he was excellent and help us.",Hotel_Royal_Tulip_City_Center_Tanger-Tangier_Tanger_Tetouan_Al_Hoceima,Hotel_Royal_Tulip_City_Center_Tanger,Tangier_Tanger_Tetouan_Al_Hoceima
