 December 2022,5,Great!,"It is simply gorgeous. The room was mognificent and the restaurant was very good. The location is great. The property is in the middle of medina so you have to consider that you can't reach it on foot. It takes less than 10 minute on foot from the taxy station. If you warn them, they will send you a person that take you to the property. I can't wait to go back there.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,hotelName,city
 December 2022,5,The best place in fez!,"This place is amazing! Its super old and so beautiful! The rooms are insane, amazing bathroom and such a high ceiling. Yasin guide us through the riad and organised a tour guide. We had the best time! And Yasin was amazing for us. We would definitely come back! Thanks for everything!",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 December 2022,5,Dar Bensouda,"Wow! Went there with my family. Watched the Morocco- Spain match all together at the hotel, with Brahim, Yazid, Mama do… Got sick the last two days and had “special care”. They brought me breakfast, lunch and dinner to the room and were always super caring and friendly. Thank you so much!",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,4,Wonderful accommodations,"The Raid itself is beautifully designed and the Delux Suite is roomy and tranquil. We had 2 incredible massages with Kawtar. She is strong, thorough and was exactly the pampering treat we needed after a long day of touring fes. Do not miss out on her incredible treatments! It is important to state that the riad is a ten minute walk from the main road and can be confusing and scary. Strongly advise calling ahead of time to ask for an accompaniment, they will be happy to oblige.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Best rooftop of Fez,"A beautiful stay in a 17th century house. Delicious breakfast, amazing view from the rooftop, great location in the Medina and Yassin & Yazid were so kind and helpful. The perfect place to stay in Fez!",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Beautiful Historic Riad in the Heart of Fes,"This was our first Riad on our first trip to Morocco and, let me tell you, the standard has been set high! The interior of the Riad Dar Bensouda is uniquely charming with original Mosaics and wood carvings throughout. The rooftop terrace offers panoramic views of the city and the rooms are spacious and stunning. The staff were so warm, inviting and helpful, arranging a city tour and dinners for us, always with a porter to help us find our way safely wherever we were headed. Aziz, the porter at the Riad was really our highlight of visiting Fez. Aziz is the Riad porter and such a pleasure to spend time with going to and from different places around the city. Without a common language, we still came to realize we were in the company of the Mayor of Fez, as he knew everyone…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,In Fes ? - - LOOK NO FURTHER !,"We can travel and yet experience nothing much out of the ordinary.... Alternatively we can travel and get closer to the people , the customs , the character. . This lovely Riad - so tastfully restored to glory is truly a quiet oasis in the hustle and bustle of Fes. . Such helpful staff - their answer always seemed to be ""yes"". The rooms quite delightful . Comfortable beds. . Views from the upper levels ( thoughtfully provided with comfy couches etc, on which to relax ) offer long distance views over the city and its surrounds . As you look out in the setting sunlight with a call to prayer quietly drifting in the breeze , you are totally sure that you have arrived in somewhere that is quite definitely not a chain hotel ! . Food - fresh , organic , cooked to order - get the…",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Magical arrival in Fès,"The Riad is authentic and stunning, designed in every details. The combination of the traditional architecture (with all the stucco, the finest wooden carved decoration and the mosaic patterns) and the modern touch of the furniture makes the interior design balanced and elegant. Each space has its on peculariaty creating different environments and ambience, from the patio, to the pool area, the rooftop that gives an amazing view on Fès for the sunset, and another hidden vertical garden where you can enjoy the sound of the birds singing. Last but no the least the room was perfectly cleaned and the staff kind and polite. I would definitely recommend this place to everyone is looking for a magical and unique experience in Fès! Ludovica and Cinzia",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,4,"Beautiful Riad, friendly, helpful staff.","I was there as part of a group booking. The staff weren't expecting to provide dinner for so many people on our first night but somehow managed to not only feed us all, but send out for drinks as well! The rooms were simple, comfortable and everywhere was spotlessly clean. The staff couldn't have been more helpful and friendly. The rooftop was comfortably furnished and a wonderful place to view the setting sun. The only drawback was the walk to it from the edge of the Medina. Otherwise a wonderful place to stay.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 November 2022,5,Great adress,We ve been there for lunch. Just perfect. We ve been treated like princes and princesses. The Ryad is gorgeous with the perfect view ever. The lunch was so delicious and WE could enjoy it just beside the pool. We had the chance to visit the Ryad and some rooms and i can tell that we really enjoy the stay in there Thank you guys,Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
 December 2022,5,Great!,"It is simply gorgeous. The room was mognificent and the restaurant was very good. The location is great. The property is in the middle of medina so you have to consider that you can't reach it on foot. It takes less than 10 minute on foot from the taxy station. If you warn them, they will send you a person that take you to the property. I can't wait to go back there.",Hotel_Spa_Riad_Dar_Bensouda-Fes_Fes_Meknes,Hotel_Spa_Riad_Dar_Bensouda,Fes_Fes_Meknes
