 February 2020,5,Good base for exploring Ouarzazate,"We stayed a couple of nights here in February 2020, having spent a coup,e of nights out in the mountain villages we wanted to be in town and experience a bit of the city. It is in walking distance to the town centre and close to the airport. The room was lovely and clean, comfortable and with a clean bathroom. Breakfast was very good for a couple of euros extra. The staff were all really helpful and kind. It is slightly noisy at night as the road is busy but I think you would get this anywhere in town and we wanted to experience a bit of the bustle of the city so this was to be expected. Otherwise all was very good.",hotelName,city
 November 2018,3,Good hotel close to the bus station,"At the end of November you should pay for heating, I had booked a room without and it was chilly. My friend had a room facing the street and got all the sunlight during the day, so her room was much warmer. You get what you pay for... Otherwise the room was good and clean, hot water in the basic bathroom. Breakfast was very good and the location convenient being close to the bus station from where you can also catch a grand taxi to Marrakech. Not too far to walk to the center and even to the Kasbah Tafarnout.",Hotel_marmar,Ouarzazate
 December 2017,3,"Cute place, nothing fancy","Very cute hotel. Clean, cute rooms. Bathrooms were nice, nothing fancy. Helpful and friendly staff. Breakfast was great. Excellent pricing. Excellent parking and good location. Very quiet and relaxing.",Hotel_marmar,Ouarzazate
 May 2018,5,Clean and friendly,"Close to ""gare routière"", I found this local hotel to be extremely clean, comfortable beds, excellent showers, and friendly welcome. Authentic hotel, Moroccan style, not yet discovered by main stream tourism. Breakfast is served both inside and outside on the terrace. Excellent place to meet some locals before they go to work.",Hotel_marmar,Ouarzazate
 December 2017,1,Find yourself another better hotel to stay,"The only bad experience i have had in morocco so far! Arrived Ouarzazate at around 9pm, we thought we would go to the hotel directly and check the condition first, the reception who i think was the son of the owner gave us 4 different prices which were higher than booking.com (with/without heater and with/without breakfast), and wanted to confuse us that those were lower than booking.com. Anyway i told him we’d do the booking thru booking.com right away so we could rate our stay later, this horrible person told us he would cancel our booking and he had the right to do it. So i asked if he was being such a mean person and forced us to pay the price he wanted, he said YES. I told him i’d rather sleep on the street than being bullied like that. Moreover i wouldnt feel safe to stay…",Hotel_marmar,Ouarzazate
 December 2017,5,Very comfortable hotel,"Great service and an welcome with open arms. The rooms are very clean and luxurious. Nice bathroom and hot water to shower. For a small extra fee you can have a room with an airco or, as I did, ask for a fan you can use. There is always at the reception so you can always reach someone.",Hotel_marmar,Ouarzazate
 May 2017,1,They try to grab you. DONT STAY HERE!,"I made a reservation for two rooms with a/c for 5 people. When I arrived, no reservation, no rooms with a/c. They convince me to take another rooms and untill that was ok. The problem was the rooms was poor, no a/c, dirty, noisy and MORE EXPENSIVE than I booked. I didnt realized first and I took coz I had no other places to go, but then they start to charge even more: some touristic tax around 2.5EUR per person per day. Incredible how can they try to grab tourists. If you are not marocain, dont go there. Its a trap!! PS: the breakfast is poor and old food",Hotel_marmar,Ouarzazate
 May 2017,4,Budget-friendly option,"It's an adult hostel with perfectly acceptable fittings. There is an additional charge for A/C, and you will have to ask for additional supplies. The hotel is on a busy traffic corner, so we experienced traffic noise all night. Local downtown is less than 1/2 mile away. Tourist Reas are further.",Hotel_marmar,Ouarzazate
 April 2017,5,Value,A nice quiet little town where the locals are less hostile than Fez and such.. a good bouncing spot for the studio and ait ben haddou.. this hotel had nice large rooms.. very clean.. modern and very large bathroom.. we were a bit surprised after some of the places we have stayed in within the last 2 weeks.. book it.,Hotel_marmar,Ouarzazate
 March 2017,4,Walking distance on the main street,"It only took my wife and I only a 5-min walk from where the Supratour bus stop in Ourzazate, along the main street fro Marrakech. We were delighted by the courteous staff when we checked-in. The Marmar Hotel staff was very helpful with our baggage up to the 3rd floor - we thank you for that! Overall the Hotel Marmar was clean and well maintained. The surrounding was relatively quiet. Could see the Atlas mountain from our room. Close to and easy to find sundry shops and food - Tajine and Couscous! We love the tajine at the shop just across the road where the Supratour bus stop is.",Hotel_marmar,Ouarzazate
 February 2020,5,Good base for exploring Ouarzazate,"We stayed a couple of nights here in February 2020, having spent a coup,e of nights out in the mountain villages we wanted to be in town and experience a bit of the city. It is in walking distance to the town centre and close to the airport. The room was lovely and clean, comfortable and with a clean bathroom. Breakfast was very good for a couple of euros extra. The staff were all really helpful and kind. It is slightly noisy at night as the road is busy but I think you would get this anywhere in town and we wanted to experience a bit of the bustle of the city so this was to be expected. Otherwise all was very good.",Hotel_marmar,Ouarzazate
 November 2018,3,Good hotel close to the bus station,"At the end of November you should pay for heating, I had booked a room without and it was chilly. My friend had a room facing the street and got all the sunlight during the day, so her room was much warmer. You get what you pay for... Otherwise the room was good and clean, hot water in the basic bathroom. Breakfast was very good and the location convenient being close to the bus station from where you can also catch a grand taxi to Marrakech. Not too far to walk to the center and even to the Kasbah Tafarnout.",Hotel_marmar,Ouarzazate
 December 2017,3,"Cute place, nothing fancy","Very cute hotel. Clean, cute rooms. Bathrooms were nice, nothing fancy. Helpful and friendly staff. Breakfast was great. Excellent pricing. Excellent parking and good location. Very quiet and relaxing.",Hotel_marmar,Ouarzazate
 May 2018,5,Clean and friendly,"Close to ""gare routière"", I found this local hotel to be extremely clean, comfortable beds, excellent showers, and friendly welcome. Authentic hotel, Moroccan style, not yet discovered by main stream tourism. Breakfast is served both inside and outside on the terrace. Excellent place to meet some locals before they go to work.",Hotel_marmar,Ouarzazate
 December 2017,1,Find yourself another better hotel to stay,"The only bad experience i have had in morocco so far! Arrived Ouarzazate at around 9pm, we thought we would go to the hotel directly and check the condition first, the reception who i think was the son of the owner gave us 4 different prices which were higher than booking.com (with/without heater and with/without breakfast), and wanted to confuse us that those were lower than booking.com. Anyway i told him we’d do the booking thru booking.com right away so we could rate our stay later, this horrible person told us he would cancel our booking and he had the right to do it. So i asked if he was being such a mean person and forced us to pay the price he wanted, he said YES. I told him i’d rather sleep on the street than being bullied like that. Moreover i wouldnt feel safe to stay…",Hotel_marmar,Ouarzazate
 December 2017,5,Very comfortable hotel,"Great service and an welcome with open arms. The rooms are very clean and luxurious. Nice bathroom and hot water to shower. For a small extra fee you can have a room with an airco or, as I did, ask for a fan you can use. There is always at the reception so you can always reach someone.",Hotel_marmar,Ouarzazate
 May 2017,1,They try to grab you. DONT STAY HERE!,"I made a reservation for two rooms with a/c for 5 people. When I arrived, no reservation, no rooms with a/c. They convince me to take another rooms and untill that was ok. The problem was the rooms was poor, no a/c, dirty, noisy and MORE EXPENSIVE than I booked. I didnt realized first and I took coz I had no other places to go, but then they start to charge even more: some touristic tax around 2.5EUR per person per day. Incredible how can they try to grab tourists. If you are not marocain, dont go there. Its a trap!! PS: the breakfast is poor and old food",Hotel_marmar,Ouarzazate
 May 2017,4,Budget-friendly option,"It's an adult hostel with perfectly acceptable fittings. There is an additional charge for A/C, and you will have to ask for additional supplies. The hotel is on a busy traffic corner, so we experienced traffic noise all night. Local downtown is less than 1/2 mile away. Tourist Reas are further.",Hotel_marmar,Ouarzazate
 April 2017,5,Value,A nice quiet little town where the locals are less hostile than Fez and such.. a good bouncing spot for the studio and ait ben haddou.. this hotel had nice large rooms.. very clean.. modern and very large bathroom.. we were a bit surprised after some of the places we have stayed in within the last 2 weeks.. book it.,Hotel_marmar,Ouarzazate
 March 2017,4,Walking distance on the main street,"It only took my wife and I only a 5-min walk from where the Supratour bus stop in Ourzazate, along the main street fro Marrakech. We were delighted by the courteous staff when we checked-in. The Marmar Hotel staff was very helpful with our baggage up to the 3rd floor - we thank you for that! Overall the Hotel Marmar was clean and well maintained. The surrounding was relatively quiet. Could see the Atlas mountain from our room. Close to and easy to find sundry shops and food - Tajine and Couscous! We love the tajine at the shop just across the road where the Supratour bus stop is.",Hotel_marmar,Ouarzazate
 December 2016,5,Bardzo pomocny personel :),"Helpful and friendly staff, nice and pleasant room, breakfast was very delicious. Location was very good, there are a small shops and small market. Hotel have a parking oposite. The owner is ver helpful.",Hotel_marmar,Ouarzazate
 December 2016,5,The good welcoming of the desert,"This hotel was quite a surprise... We had come from Marrakech and were expecting a bad hotel like the one we had there, but Marmar was clean spacious with good beds and nicely heated. The staff was friendly, the wifi worked, the water was warm... Nothing to say, a very nice stay in Ouarzazate.",Hotel_marmar,Ouarzazate
 January 2017,4,"Friendly staff, nice clean rooms, good value but very cold and loud","This Hotel has a VERY friendly staff, compared to other places we stayed at. The hotel is very clean and nice, beautiful rooms. Our room even had a balcony. Unfortunately we were only given a small portable heater which did not work properly, so the night was very cold! The room underneath ours had an airconditioner working all night which was really loud. So I advice anyone who wants to stay here in winter to get a room with heating (we asked for one, but only got the small heater). Parking just in front of the hotel and a nice basic breakfast!",Hotel_marmar,Ouarzazate
 December 2016,5,Excelent and good value for money,"Very clean Hotel, the staff was just great, the mint tea is perfect and a good breakfast . Very clean bathrooms with all the commodities. Parking spot to our rented vehicle , and for a few dirhams more a heated room , the nights are really cold in the desert.",Hotel_marmar,Ouarzazate
 December 2016,5,excllent stay,We had a room facing the side road yet the noise wasn't too bad. It is a short walk to the taxi rank so in the morning (after a lovely breakfast) we left very promptly with out any difficulties. I think the stay at this hotel is the best out of al the hotels we have stayed in on this trip. The staff were very helpful. The rooms are clean spacious and well prepared.,Hotel_marmar,Ouarzazate
 January 2016,4,Everything you can expect for low price,"Hotel is clean and well taken care of. People at the reception are helpful and friendly. Breakfast which was included was good.You should book the rooms in advance, because other accommodations in Ouarzazate are either full or very expensive. Would definitely stay in this hotel again!",Hotel_marmar,Ouarzazate
 July 2016,4,Very comfortable stay,"Comfortable stay with helpful staff. The rooms were very clean, air conditioned, and spacious. Hotel breakfast was decent. For the price, it was a very nice hotel and a good stay. Easy to find, and parking was free in front of the building. Had some difficulty communicating in English with some of the staff members. If you know French or Arabic, you will be fine, but if you only speak English you will need some patience.",Hotel_marmar,Ouarzazate
 July 2016,5,Immensely good staff,"I was on my way to Ouarzazate from Agadir when I slipped on gravel with my motor bike. I contacted Hotel Marmar, which I already booked, and they were immensely helpful. They picked me up at the hospital at night, stopped by at the pharmacy and helped me with everything, even police the next day when my booking was over. Thank you very much, will definitely recommend this place. Hotel was good, AC, breakfast, Hygiene, everything very well.",Hotel_marmar,Ouarzazate
