 November 2022,5,Vivi,Lovely friendly staff...good selection of food. ..free transfer bus into the main town. ..not close to any shops etc.....be careful of hagglers when you get to town. ..they try to say that they work for the hotel and have seen you there. .I would definitely stay here again,hotelName,city
 September 2022,5,"Wow again!!just fabulous
Once again this hotel is fabulous food truck guys lovely ismail and aziz best ever
Food fa","Well here again in this amazing hotel, Everything as usual, brilliant, all the staff are a credit to the hotel, especially hansa, kalhid, and zachariah , they are amazing guys , the shows are really good bar staff, restaurant, cleaners all ,do a fantastic job, the hotel is spotless, food so good, loving it Again !!! Dont want to leave",Iberostar_Club_Palmeraie,Marrakech
 January 2023,5,Hotel experience,I have enjoyed this trip! Special thanks to Emma and MOMO who made the experience even better for me ;) Highly recommend! I like the food and the view of the property is amazing and every night there is entertainment for us all.,Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,A really successful vacation,"I spent a wonderful week in this hotel at the end of December and the beginning of January. The facilities in the hotel are very good, the staff are friendly, the food is varied and of very good quality. The entertainment programs were very good, the team of entertainers being made up of true professionals. The New Year's Eve was fantastic: the entertainment program was very good, the food was exceptional, and the atmosphere created was a dream.",Iberostar_Club_Palmeraie,Marrakech
 January 2023,5,New Year's Trip,"I had a wonderful time here, the hotel was gorgeous aand very clean. The food was great and there plenty of variety. The staff were very helpful. There were plenty of activities to do and they were all extremely fun",Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,"Excellent staff, fantastic stay!","The experience here was absolutely amazing. From the moment we got there, the staff were very welcoming. Checking in was straightforward and done whilst they served us some very lovely Moroccan tea. The grounds are just phenomenal! The staff at Iberostar are a HUGE asset to this organisation. They had such a large variety of food to choose from. The activities were fantastic, the children thoroughly enjoyed themselves. The only things perhaps they need to work on is their email and telephone communication. We tried to organise an event prior to going to the hotel and getting through to someone either via email or telephone was a nightmare. No response! Having said that, I thoroughly recommend this hotel and will have absolutely no issues returning!",Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,Happy to come back soon,Everything really nice! I would highly recommend and come back. Everything really nice and great service. The Animation group are so friendly and I want to thank specially Lacoste for the friendly help and service. See you next time!,Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,Saha timsi7,"Its happened that i visited this hotel for the first time , even tho im from morocco but its a total new experience food and rooms , respectful staff , big shot out to the entertainment team , lacost and mehdi … definitely coming back,",Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,Holy Marrakech,"We had a great time in this holiday at iberostar Marrakech, thanks to the entertainment team first specialy khalil , mehdi and abdel, great shows and fun times .... the food and rooms are good and clean, highly recomanded",Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,Amazing stay!,"Me and my partner visited in December and it was a pleasant stay, the staff really make you feel welcome, the entertainment team are great, always remember your name and always say hello, the room was great and spacious and was always cleaned to a high standard, there is plenty to do with various activities through the day and different competitions. The food was okay for all inclusive standards, only thing I would say is not enough meat options on the cookers expect a lot of fish and occasionally chicken, there is a restaurant where you have to book to get a dining experience but for me it wasn’t that great, I’d rather eat in the inclusive restaurant. We have booked again to visit next year and we’re already looking forward to it, I can’t thank the staff enough for making us…",Iberostar_Club_Palmeraie,Marrakech
 December 2022,1,An honest in-depth review- please read if considering this hotel,"My husband and I are Iberostar club members and have visited multiple other Iberostar hotels in Mexico, DR, and Portugal, all with good experiences. I have also visited over 30 countries and traveled to many types of hotels. We stayed at this hotel to explore Marrakech and also have a relaxing stay, but had a very negative experience beyond what I expected. First of all, I would like to be fair and mention that I think this hotel in general just is not the best for young couples like ourselves. The guests mostly consist of French families, and the hotel caterers for them- there are multiple activities for children and there were very few adults traveling without children. They have a trapeze class which is very unique and three different pools. Regardless I would not come back…",Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,Family's holiday,i eally like the hotel's view its so cute and aesthetic. Also i like the food especially cakes. The staff they are amazing without forget the best thing in hotel entertenment all team they are friendly,Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,Fantastic,"Beautiful place, amazing staff, they really look after you make you feel welcome! Clean & well maintained resort and rooms, beds made, clean towels and room cleaned daily, outstanding food quality, beautifully presented & lots to choose from, there is something for every taste, you are never hungry! We have had an absolutely amazing time! Would highly recommend 10/10!! Thank you! Xxx",Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,Amazing hotel,"Excellent hotel...i had a very unique experience in this amazing hotel...stuff very nice,, especially Katy...i advice every one to visit this gorgeous hotel ❤❤...if you are seeking a magnificent holiday i advise you to visit this hotel",Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,Very Friendly and Professional Staff,"Very nice hotel with very friendly and professional staff, nothing is too much for them . Food is very good, a lot of variety , lot of heathy options, show cooking as well. There are heathy options for the drinks as well. Evening entertainment was good.Hotel is built on nice grounds and it is well maintained. Free shuttle bus into town. I will give everything apart from the rooms 5 out of 5. Rooms are spacious and well maintained but it is on its way to been dated. Overall if I was to go back to Marrakesh I will look no further .",Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,A WONDERFUL OASIS IN MARRAKECH,"In fifty years of serious traveling, to all parts of the world, it has come to my attention that the main difference between hotels, comes down to the friendliness and efficiency of the staff. The Iberostar Club Palmerie Hotel does not disappoint. From the General Manager on down, everyone has one goal in mind, and that is to provide a first class experience for their guests. A customer service team that is the equal of any luxury hotel. Upon arrival, we were met by the Bellman who secured our luggage, ushered us into the lobby and provided a refreshing drink. Check in was accomplished in under 5 minutes by Mr. Muhammad Ali and the front desk staff. Throughout our stay he went out of his way to ensure our every need was met, and our room selection satisfactory. Muhammad…",Iberostar_Club_Palmeraie,Marrakech
 December 2022,5,Great holiday,Great hotel and great people. Hotel staff hardworking and it is spotless. Thank you Emma (entertainment team) and ishmail bar waiter for being so helpful and friendly. Osman on reception was extremely helpful and his English was great. We were lucky enough to be there when World Cup first round was on ….great atmosphere…. Loads to do and weather December mid 20s only had a bit of rain at night. We had room 2031 which was on ground floor and was very comfortable enormous bed Regret not doing the trapeze but deffo try it next time. Thanks for a great holiday,Iberostar_Club_Palmeraie,Marrakech
