 January 2023,5,Memorable,"Everything was of top standard, delicious dishes, beautiful presentation the decoration was lovely, clean and well maintained, Nadir made our dinner most memorable he was really helpful and has left the best impressions, I had a lovely meal with my husband, thank you ❤️",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,hotelName,city
 January 2023,5,Must do,"The view was outstanding, the food was great and the service is super professional, Nadir was so friendly and very helpful, i would like to thank him for his kindness and for his professional behaviour. I really recommand this place, it was an unforgettable experiance.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 December 2022,4,Could be better,"Old need some serious renovation , it's in the middle of it all , right in downtown , staff are friendly although it takes a lot of time to check out due to lack of staff , the roof top bar is nice and the food menu is not bad as well , breakfast variety is kind of poor , and if u arrive late to breakfast u shall notice that most of the items are done , their elevators system is so slow , and it seems they re always under maintenance, spa is great , all in all my stay could have better",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 December 2022,2,Disappointing,Disappointing. The hotel feels a little tired. I was amazed to see smokers in the lobby bar - allowing the smoke to drift into the reception area. Really - in 2022?! The lifts are possibly the worst I've ever experienced. Even the porters/conciergere acknowledged how slow they were. Another guest I'd met said he's spent 12 mins waiting for a lift and then stopping at several floors before he got to his floor. I'd also flag that although the hotel's location is good you can still hear all the beeping from the traffic below so It's not a quiet location. The room I was given on 18th floor was very spacious with a great view (fi you like heights) but the bathroom felt old and the shower holder didn't work - I had to just hold it. The hot water tap for the bath wouldn't turn on so…,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2022,5,five star Workshop,"This was a much needed restful, quiet and rejuvenating. The food was exceptional but hey its Morocco. The views were remarkable i loved being on the floors way above the street. The toiletries were brilliant quality lotion, soap and shampoo. This I highly recommend.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 November 2022,2,"Nice hotel, below par service","Kenzi tower is a modern, well situated hotel in Casablanca. However, the service is lacking. Despite multiple requests we never received an extra pillow. The bar manager is rude and unprofessional. We ordered two drinks and after 20 minutes with no drink appearing or any evidence it was being assembled, we canceled our order to attend a scheduled dinner. Forty five minutes later the manager attempted to deliver the now unwanted cocktails. He accused us of lying that we canceled our order despite several others affirming our cancellation. This is horrible behavior by someone in a service industry.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 September 2022,2,Definately not worthy of 4 Stars!,"Good views and comfortable bed, but the bathroom was dangerously slippery on the floor. There was no milk or tea/coffee making facility in the bedroom and the hotel food was just OK. The main gripe was that there was no hot water for the shower and bathroom in the evening....just after we had arrived from the airport",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2022,5,A must stay!,"Part of our Gate 1 travel tour, we stayed there for our last night. This hotel has 28 floors, the views outside our room was impressive. The hotel is modern with big bedroom , fancy bathroom however the flooring in the big shower is quite slippery, one has to be very careful. The restaurant is on floor 27 , it has such magnificent views and the food was delicious, especially the salmon.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 August 2022,1,Thé worst,"I can’t believe that it’s 5 star hotel, very bad service and management, we booked two rooms and the second room was only given after 2:00 am with so many difficulties, we delivered our own luggage and push the trolley. The keys doesn’t work, the rooms has no amenities and the bathrooms are stuck the water doesn’t go. The night manager Ibrahim was very rude and didn’t want to assist us he throws the phone on us, when we complained we were not taking seriously and they just let us leave, we forgot our very expensive luggage and they didn’t call us to let us know. We had to call and we were informed that the room wasn’t under our name. Briefly the whole system needs to be fixed ASAP",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 June 2022,2,"Unfortunately very disappointing, on the whole nice hotel!","My husband and I booked the 7 day tour from Casablanca. After our tour we wanted to relax and unwind a bit for 2 nights. We booked the hotel, because there was still a room with a view of the sea free, was really the reason why we chose the hotel. That was probably a handle in the loo, hardly arrived there were already problems, because a credit card was required (2000 Dirham as security if anything should be) where we knew nothing about it, so we also had no credit card with us, with another card it then worked through debit, but otherwise we would probably have had to withdraw the money with expensive fees. Then we were offered a tea, where we then waited in the lounge about 45 minutes! for our room, (we arrived in the evening) to then receive the message that our room with a…",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 June 2022,4,Very nice hotel,"I only had the pleasure of staying there one night but I found the hotel to be well appointed, with a very helpful staff, I had a very early morning flight and they brought me a breakfast tray that was fantastic. My wake up call was an actual person knocking on my door!",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 May 2022,2,Noisy Hotel and Dishonest staff,"Noisy hotel as it has always been , front desk staff not cooperative..room 1407 facing the street and low floor.. No water in room , no fruit basket . ☹️☹️☹️☹️☹️☹️☹️ .. I don’t like the fact that I have to accommodated on a low level every time…👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 May 2022,5,Nice hotel,"Stayed 3 nights on a recent business trip. Nice hotel, great room. The staff were all very good, very polite and very professional. Used the pool a few times and it was good. The bar on the 28th floor has some great views especially at sunset. Really nice breakfast.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 February 2022,4,Chaima and Nabil were helpful,I had a wonderful time in Kenzi Tower for a business trip. Staff were accommodating especially Chaima the one ushering our event and Nabil (security staff) who were helpful and kind. We had a successful business trip because of their assistance.,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 November 2021,5,Commendation,The staff are very accommodating and welcoming. I love how they attend the guests. Specially FATIMA SAHRA i love how she serves our food. Shes very nice and friendly to all the guests. Very professional indeed.God bless her,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 November 2021,5,Staff was very helpful,"I love how the staff accommodate our needs, especially the breakfast I will they have much more selection in buffet but over all it was so nice, Fatima Zahra and samahan in buffet area help us with our needs they gave us excellent service. GodBless",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 November 2021,5,Hospitality and warm service from hotel breakfast,The staff was helpful and friendly. They can communicate in a few languages. The food is nice and they serve Moroccan and international breakfast. Especially for sweet lady miss Fatimah Zahra and smahan. Recommended to back to this hotel.. ❤️❤️❤️❤️❤️,Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2021,1,Disappointed at staff at Top28 bar.,"Here solo with a tour and we all went up to Top28 bar to see the night view on our last night in Morocco ( Saturday night) and even though there were seats available we were told ""no, we're full"" by the female host who wasn't nice about it at all and she was letting in people behind us. So was it we weren't dressed appropriately or young enough or maybe it was our nationality?? Was very disappointed. Not friendly at all and wouldn't come back just for that reason. The room was nice.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
 October 2021,5,Wonderful Stay,"This is my first time in Casablanca. All the staff are very helpful and friendly. Amazing breakfast with delicious choices. Special thanks to Said Makboul. He is really nice, professional and serve me and my colleagues from the heart. We’d love to have another stay again here. Thank you.",Kenzi_Tower_Hotel-Casablanca_Casablanca_Settat,Kenzi_Tower_Hotel,Casablanca_Casablanca_Settat
