 December 2022,5,The best of both worlds!,"My family of 5 loved La Maison Arabe! It was a perfect home base for us in Marrekesh for 4 days. We had a deluxe room and a standard suite for our 3 kids (older teenagers). Both rooms were lovely. The suite was especially nice because the 3rd bed was in its own little niche so it wasn't so crowded in the main space. Rooms were good-sized and clean. Beds were very comfortable with soft sheets. Bathroom was nice - clean, spacious and good products with fluffy towels. I have read a few comments about the hot water - we had no problem at all. Plenty of hot water and good water pressure (weak water pressure is a pet peeve of mine). The hotel itself is very unique & charming, with lots of different areas to explore. The bar was old-school with dim lights and dark furniture. We…",hotelName,city
 April 2022,5,another wonderful stay,"Our second stay, and this was just a great as the first. We love it and cannot fault it. A great new addition are the rooms in the Douiria with a gym and new rooftop terrace. The swimming pool provides a welcome cool down in the afternoon and the evening is finished by a cocktail in the Jazz Bar. Very well located for the Souks and main square Jemaa el-Fnaa, which are short stroll away. This is the only place to stay in Marrakech.",La_Maison_Arabe,Marrakech
 January 2023,5,Excellent hotel and top quality service,"We had an amazing stay at this hotel. The riad style (Morrocan-style house and courtyard) makes for a truly authentic experience. It is beautifully decorated and the location is excellent, with easy walking access to the shouk and center. The restaurant is delicious, and we also took a cooking class which was an amazing experience. The service and attention was incredible. Highly recommended.",La_Maison_Arabe,Marrakech
 January 2023,5,Excellent Hotel with Good Location,"Excellent hotel. The rooms were great with tasteful Moroccan decor, a comfortable bed, and a nice shower. The location was perfect. We were able to walk to many attractions. We enjoyed the piano bar. Staff members were professional and helpful. I would definitely stay there again.",La_Maison_Arabe,Marrakech
 January 2023,5,Strongly recommended,"Just back from a week at this fabulous hotel. Stayed in a standard room which was of an excellent standard in terms of comfort, cleanliness and location. We paid for a deal including breakfast which was great as choice of food was fantastic, including a brilliant egg chef and local pancake lady. Definitely worth every penny. Had a couple of meals in the restaurant which was delicious. Throughout our stay the level of service and friendliness was outstanding - better than pretty much any other hotel I’ve stayed in. Location fantastic - turn right out of door and the main square and soukhs are a short walk away, turn left and the new town area is equal distance. I wouldn’t hesitate to recommend this hotel - and if you’re going to Marrakesh I honestly don’t think you could do…",La_Maison_Arabe,Marrakech
 December 2022,5,An oasis in a bustling Medina,"The hotel is an oasis in a bustling Medina. Located down an alley we were welcomed and well taken care of every step of the way. The staff is excellent. If you want an authentic, interesting experience I highly recommend this riad.",La_Maison_Arabe,Marrakech
 January 2023,5,Fantastic Time in Marrakech,"The wonderful instructors at La Maison Arabe were informative and fun. It was such a pleasure to learn about the history, spices and techniques used in traditional Moroccan cooking, and then implementing those techniques to make a delicious meal which we ate at the end of our class. Enjoying the fruits of one’s labors and sharing it with others can be very gratifying. We would like to thank Wafa, our workshop coordinator, and also Soukaima and Kauter who showed us the techniques. They were wonderful to work with. A shout out to Abercrombie and Kent for making this experience possible. They created a lifetime of great memories for us.",La_Maison_Arabe,Marrakech
 January 2023,5,A jewel in the Medina,"La Maison Árabe is a fabulous hotel with amazing service. It is managed by the best hotel manager in Marrakech maybe in Morocco, Mrs Nabila! The restaurant food is exquisite, the service is great and one gets the real Moroccan experience of staying in a Riad!",La_Maison_Arabe,Marrakech
 December 2022,5,Fabulous and fantastic,We loved our stay at Maison Arabe. Staff were helpful and accommodating. Shower was excellent. Breakfast was delicious- Moroccan pancakes are a must! We would thoroughly recommend the Maison Arabe! Best place in Marrakech.,La_Maison_Arabe,Marrakech
 December 2022,5,Yummy taste of Marrakech,"My family and I had a great time learning about Moroccan cuisine, smelling the spices, pouring the tea, and cooking fish tagine, moufleta, taktouka, and milk bastilla. It was a highlight of our trip. The chefs were very accommodating with our dietary needs. Delish!!",La_Maison_Arabe,Marrakech
 December 2022,5,Outstanding Service,"We would like to warmheartedly thank all team members at La Maison Arabe, in particular, the front desk personnel (Mousad, Rajaa, Hakim, Ismail, Youssef and Idiss) for an awesome stay. My partner and I (we are a same sex couple) were treated by each of them like family. We stayed in Marrakech a total of 6 nights (5 nights at La Maison Arabe and 1 night at the Royal Mansour). We found the service at La Maison Arabe to be more intuitive and warm than at the Royal Mansour. We are looking forward to our next stay. Good job!",La_Maison_Arabe,Marrakech
 December 2022,5,Cooking Class,"My family and I are staying in Marrakesh. Today we did a cooking class, which was amazing. The people were lovely and truly so passionate about their work and love of others. We learned all about the history of the dishes we were making. Our chefs were Wafa and Habibi, they were amazing. Being around them all you can do is smile. And on top of all of that the food was DELICIOUS. Truly, I have been to my gate share of good restaurants and this was amazing. And I made it myself. They send you home with the recipes that you cooked. And a gift… which you will see when you go. All in all you should definitely consider going to this cooking class, the grounds and kitchen are beyond beautiful.",La_Maison_Arabe,Marrakech
 December 2022,5,You DO NOT WANT TO MISS THIS!!,"My family and I did a private Moroccan Food Cooking Class. It was an INCREDIBLE experience. Absolutely FANTASTIC! Wafa and Habibi were our instructors and couldn’t have been kinder/nicer and more hospitable! We were taught all about the history of Moroccan food and it’s influences in a BEAUTIFUL setting w gardens and a traditional Moroccan kitchen where we all had our own stations to work at. We had delicious tea and then went on to cook and eat a traditional vegetable soup, two salads, tagine and desert. The food was incredible and the experience was outstanding! I would HIGHLY recommend this as it was a highlight of our trip.",La_Maison_Arabe,Marrakech
 December 2022,5,Beautiful Stay with Lovely People,Amazing! Beautiful and the most friendly staff - I will definitely be coming back. I was also amazed that the cooking workshop and the massage I received were one of the best! I will absolutely be coming back here again in the near future.,La_Maison_Arabe,Marrakech
 November 2022,5,A real find,"After a very disappointing night in a Riad my wife and I wanted to find somewhere else to spend our last night in Morocco. After a bit of research we found La Maison Arabe and went to have lunch there and check it out. We booked a room there and then and had a perfect 24 hours. We had an excellent room, good food and fantastically welcoming, friendly and attentive staff. Nothing was too much trouble. We are very much hoping to come back and would definitely book into La Maison Arabe for longer next time. Highly recommended.",La_Maison_Arabe,Marrakech
 December 2022,5,Amazing!!!!,"Had the pleasure of staying here with my family and all I can say is WOW. An absolutely amazing place with the best staff, everyone made us feel so welcomed, the service is by far one of the best I have ever experienced from any of the finest five star hotel I have stayed at. I highly recommend the Hammam after a long day walking around the city This was a absolute gem. To all the hotel staff and management please what ever you do, Do not change the way you treat guests, all of you are unbelievable and made our stay such a wonderful experience. Thank you !!!!!!",La_Maison_Arabe,Marrakech
 December 2022,5,Out of this world 5* experience,"Amazing start to finish from the warm welcome...to the impeccable service....amazing surroundings, suite, spa and cuisine. A total gem. We will be back. A huge thank you to all the team for making our stay so special. David and Tracey",La_Maison_Arabe,Marrakech
 December 2022,5,Best hotel option in Marrakech,"The hotel is gorgeous, upscale yet still maintaining the feel of a riad. Compare to other hotels/riads it might be a bit more expensive but the price quality you get from this hotel is fenomenal. The staff is super friendly and helpful and the location is incredible. If I ever go back to Marrakech I will deferentially stay again in this hotel.",La_Maison_Arabe,Marrakech
 December 2022,5,Splendid stay!,"Luxurious stay and made me feel like a royalty! I had a two night stay and it was a bliss. Obviously the prices here including the food, dinner, spa and etc. adheres to the luxury label of the hotel but it's all worth it. The spa is wonderful and had the best hammam/massage. The dinner is amazing while the breakfast buffet is one of the best I've had. The service is what really counts and they really made sure I'm perfectly well and pampered and all attained to my needs. Will definitely come back for more days! 2 nights aren't enough.",La_Maison_Arabe,Marrakech
 December 2022,5,Best hotel in Morocco,"My wife and I have stayed in 5 star hotels around the world and this one ties with the Four Seasons Bora Bora as our favourite place. It is charming , elegant ,and luxurious. The staff really bring this hotel up to the next level of service. The restaurant excels in local dishes done with perfection. My wife loved the spa and some sort of treatment I didn’t follow but she was ecstatic. The cooking school is the perfect was to understand the culture , traditions and spices. And bonus there’s a private club with pool and off shoot of. cooking school.",La_Maison_Arabe,Marrakech
 December 2022,3,Disappointing second visit,"We were here five years ago and may our memory failed us but this time (5 couples) we all found the cleaning very sub standard, the carpets all need changing, the toiletries were awful, water went from hot to cold to steaming so irritating but also annoyingly it must operate on low voltage so hard to charge the phone and my Apple Watch couldn’t charge at all. Internet patchy. We can live with all that but not with not being super clean with super service at £400 a night. Just not right. They said they had a new wing but why would they not put us there then? They also need Organization and better management. Hotel is finally quite noisy. Location is great and staff nice. Breakfast need upgrading in quality not in volume.",La_Maison_Arabe,Marrakech
