 December 2022,5,Nice staycation,"The best hotel ever in Casablanca loved everything the design the decors rooms are just amazing and very beautiful 🤩 and the spa also ,I was very pleased and very accommodating from the hostess Sarah she was very nice and helpful",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,hotelName,city
 December 2022,2,Really not deserving of its star rating or price.,"An international five star hotel with all the bells and whistles. However, TV channels supposed to be more than 40 international turned out to be three or four cartoons and action movie, Wi-Fi didn’t work until very late evening and an uncomfortable bed. Don’t bother complaining or trying to get anything rectified; the ‘technician’ fiddled with the TV remote and said ‘English’ when one of the action movie channels worked and nothing else, that seemed to satisfy him! Regarding the WiFi, reception were totally unhelpful, despite explaining the problem they simply said to ‘input the room number’ not helpful when you couldn’t even get to a log in screen. On check out the receptionist asked how our stay had been, we explained the issues, she smiled and made no effort to apologise or…",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,4,Awesome Hotel,"The hotel interior takes you back into 60s, the days of Jazz and Twist dance. A beautiful blend of black and white on the floor and with a splash of red to break the monotony. The king size bed was so comfortable that sometime we just laised in there to enjoy the bed. The hotel is really classic with impeccable service levels.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 December 2022,5,Excellent hôtel,"Le Casablanca hôtel is an excellent hôtel cosy nice luxurious with a perfect service, a nice terrace also the hotel s in a perfect situation next to many restaurants and coffees you can have a walk after work to discover the city or take a coffee in one of the coffees in the neighborhood, or in if you need anything the staff is always here to help in anything you need",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,4,"Well-Appointed, Luxury Hotel in Casablanca","In November, I was traveling to Morocco with my spouse and best friend. We had one night in Casablanca before we returned to the UK and were looking for something in a good location that was luxurious and could accommodate three people in a suite. We expected that to be hard to find, but my searches on TripAdvisor and Hotels.com led me right to Le Casablanca Hotel. We had a bit of confusion when booking because the listing on Hotels.com said that the rooms could accommodate up to 3 people but their website said 2. I emailed them stating my desire to have 3 adults in the room and they gave the go ahead. Then when we arrived they said they had no record of us being a party of 3 and that we would have to pay an extra fee (not a big one, thankfully). Then we checked into the room…",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 December 2022,5,Great staycation,"It’s my first visit to the hotel, great service from hotel staff, especially the hostes Sara, she was very kind and welcoming and definitely coming back for another visit because it is located at the heart of Casablanca with an amazing pool, garden and architecture of building!!!",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 December 2022,5,"Great Experience, excellent service",I fréquent Le Casablanca Hotel and the experience is unmatched in Casablanca great location in the heart of the city the staff is really nice from the moment we entering I’ve being welcomed my the lovely Hostess Sarah she’s very accommodating definitely coming back!!!,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 December 2022,5,Great location and hotel,"Second visit to this lovely hotel, would recommend for business trip, great location in the heart of the city, staff are very helpful, especially the Manager Farouk, food is amazing with large rooms and fantastic gardens with pool.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 December 2022,5,Perfect,The location was great. The food and service were excellent. Farouk was super helpful and accommodating. Any questions that we had about Casablanca were thoroughly answered. I highly recommend staying here when you visit.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Casablanca great experience,"Beautiful hotel, a real 5 stars hotel in downtown Casablanca, walking distance to many of the attractions in the city. The staff is perfect, very good attention and the breakfast is espetacular as well.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Great experience,Since we arrived in the hotel we were welcomed warmly all the staff was very helpful with a warm smile and we had lunch at the terrasse jasmin the Bartender Amine was very nice and makes us a delicious cocktails and been served like vip,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,very good,the terrasse jasmin is the place to be everything was perfecto from the start since we arrived we were very helped we watch the world coupe thanks to the great Manager Farouk and the food is very delicious and good service,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Excellent,Great service helped right away by the hostess Sarah she was very helpful with a warm smile and very welcoming we’ll definitely visit again and the terrasse jasmin was amazing the food and good prices and good location,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Awesome,Great hotel and good breakfast and lovely staff specialy the Hostess sarah very helpful and with the most sweet smile and the terrasse Jasmin great vibes and music i recommend this hotel its in the heart of the city,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,The most exotic vacation ever!,"thank you, thank you thank you hotel Casablanca and thank you thank you thank you Sara for your hospitality, kindness, your lovely smile, and the perfect DJ Ayoub at the Terrasse jasmin! The best ambience ever! The food and service was great. It was clean, and I will always come back to this hotel and restaurant.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Excellent,"The best hotel in morrocco I recommend the food is just good whit a nice locations and we like to thank the manager Farouk for making our stay so special,the Hamam and the spa was amazing experience u should try it!!",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,The hotel is very cosy and clean,The hotel is very cosy and relaxing. One of the group members praised their spa a lot. The rooms are spacious and clean. Bathrooms are very clean. The breakfast was good. Service at the hotel also is good.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Fantastic Hotel,This hotel is beautiful and very relaxing. all staff are very friendly. You feel welcome here. The management are great especially Farooq. I always come to this hotel for both business and personal time.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Great ambiance and service.,Good service. Good ambiance good food at the terrasse jasmin and particularly the very helpful manager Farouk I recommend this hotel very nice and all the staff is great. A great place to meet and to relax. Very good wine list. I cannot recommend it more highly,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Execelent Services,"I’ve been in Casablanca and pick this Hotel . It’s superb . The facilities are amazing , so beautiful , the staff so friendly and helpful , everyone is welcoming us . It feels like home , especially the manager , Farouk ❤️ Best luck",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Service and Smiles,"While Casablanca itself as a city is the least interesting place I visited in Morocco, the Le Casablanca was an oasis in the desert. Excellent, friendly and helpful service across the board. Dramatic lobby gives way to terraces, courtyards and pool. Very good food in the restaurants, again with excellent service. Dinner in their new, fancy restaurant (Pergola) was a nice service and wine experience. But I had chicken tagine thinking it would be excellent given the formality of the restaurant: it was the worst I had on my whole two week trip an; dining companion's French meal was excellent. Next night we had an excellent meal on the terrace restaurant. Overall, I would stay again and stick with the French food.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Hotel staff,Sara was a wonderful person to speak with and very knowledgeable of t he attractions. She wanted to help where she could amd was lovely to speak with. She really only wants the best for her customers experience and it shows. Wish there were more like her in this world.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,"Hammam and restaurant visit, wonderful experience all around! The service is very amazing and we enjoyed ourselves a lot!","Great hammam experience and wonderful service all around the hotel! Everyone is so nice and pleasant, the hammam ladies were so nice and the experience was amazong as a whole! Sara at La Pergolat was also very lovely. Definitely recommend to anyone looking to live a real moroccan experience!",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Fabulous,I recommend the Hotel le Casablanca I’m staying with my friends I think it’s very good address I’m definitely coming back every thing was fabulous from the start the Hostesse Sarah was so welcoming and all the staff and the food is amazing,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Super amazing!,Delicious cake! The food was just amazing at the terrasse jasmin and The manager Farouk was super friendly and at the service I recommend it’s the place to be friends party at and the view is incredible,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 October 2022,4,One night in Casablanca,"We were just ending a two-week trek through Morocco, so after visiting the Mosque we checked in to Le Casablanca. It was nice to just stay in the hotel and rest after so much travel. We were able to eat at a few different options, there is a lobby bar and breakfast buffet, and we received massages.",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Best hotel in Casablanca,"This hotel rates top marks in all categories. The staff are fantastic, particularly Adnane in the bar. I was hosting a group of 16, and we were made to feel incredibly welcome and pampered. Thank you to everyone!",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Great Start for Moroccan Tour,Beautiful hotel with outstanding lobby. Rooms were lovely and staff was great. Sara was the hostess on duty when we came and made us feel very welcome by giving us hot tea and sweets. A wonderful way to begin our Moroccan vacation. Magnificent pool setting. Great eating on the patio.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 November 2022,5,Awesome!,Our first trip to Casablanca and Terrasse Jasmine was outstanding! Superb service from Tawfek and wonderful menu. Great location and terrific restaurant. Highly recommend a stay and dinner at Le Casablanca Hotel.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 October 2022,5,David kinnard,"Ádnane and Farouk represent the classical elegance with their personal, over the top attention —true to this famous elegant hotel. They created special cocktails from the past grand eras of this hotel and represent its heritage with pride. Well done!!",Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 October 2022,5,Amazing,Lovely hotel great staff specially Sarah with her welcoming smile and at the helpful on the lobby. I recommend this hotel very stylish and good location the food is also delicious I had a good time I will be back for another satycation thanks the Casablanca Hotel.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
 October 2022,5,A delightful introduction to Casablanca,Le Casablanca is a wonderful elegant hotel that is in a quiet section of the city within walking distance of the medina and the Hassan mosque. We had the pleasure to meet Sara the hostess who was engaging and most helpful in getting us situated at the hotel. It was clear she cared about the guests. The hotel has some lovely dining places outside. The rooms are large and quite comfortable.,Le_Casablanca_Hotel-Casablanca_Casablanca_Settat,Le_Casablanca_Hotel,Casablanca_Casablanca_Settat
