 January 2023,4,Good Location + Facilities,"There is a lot that's right about this place, Clean apartments and suites set in nicely maintained gardens with peacocks wandering around . Good facilities including a heated outdoor pool. We are swimming in January! Quiet and relaxing. Easy 15 minute drive into Essaouira",hotelName,city
 April 2022,4,Peaceful retreat near Essaouira,"All Staff were incredibly helpful. The outdoor space was amazing with lots to keep a family entertained - pool, ping pong, yoga. Breakfast was excellent. The apartment was good and clean (though slightly tired) with a small patio. Very peaceful retreat.",Lodge,Essaouira
 December 2022,4,Lovely pool area. Fantastic staff. Rooms differ so pick carefully,"The pool area is very attractive and all the staff are very friendly and helful. The free shuttle is great! Our first room, a standard terrace room was very dark with tiny windows. We also had to move the bed because there was a concrete shelf above the bed at head height which made sittig up in bed impossible and my husband hit his head twice. There was nowhere to plug in the kettle because the router was plugged in to the only socket so we had to use it in the bathroom. The terrace is fine but the walls are so high so there's no view atall and the chairs are uncomfortable so we didn't use the terrace much unfortunately. We moved to a 2 bedroom apartment and this was much nicer, although cost considerably more. It had a little garden terrace and kitchen and was lots more…",Lodge,Essaouira
 October 2022,4,A little bit of Zen!,"Just returned from a yoga retreat with my daughter and friends. What an amazing place. The Shala was beautiful - to practice as the sun was setting is truly magical. The food was delicious, abundant and lovingly prepared by Zakaria. Our vegan/veggie friends were more than happy with what was offered. Staff were great. Had an amazing massage with Hajab. A fabulous experience!",Lodge,Essaouira
 August 2022,2,Pleasant stay but not without issues,"Stayed at Essaouira Lodge in August 2022 having booked it 2 years prior but postponed due to COVID. At the time of original booking we were impressed by the other reviews all saying how flexible the resort was, especially the shuttle service to and from Essaouira. Unfortunately this was not the experience we had - shuttle spots were limited and timetable was inflexible and we very much felt like times were engineered to keep you at the lodge for meal times, alternative being that you would be stuck in Essaouira for minimum of 4 hours. And that was if the shuttle ran on time which it did not. Local taxis are ""not allowed"" to go to the resort so the only alternative are expensive tourist taxis. Food and drinks at Essaouira Lodge was nice but quite expensive, a family of 4 evening…",Lodge,Essaouira
 April 2022,2,SUBSTANDARD!!,"Original concept wonderful. Good location, beautiful buildings, nice outside decor, etc but.... Very dirty rooms. Cockroaches in very high high numbers (more than 30 in our first room and 3 in the next). Poor Hygiene in rooms. Would be careful to eat from the kitchen as well although we enjoied breakfast. Stayed 3 nights. Pool poorly maintained. There are many bugs in the water and you have to ask the staff to clean it. Overall, reminded me of my hay days as a backpacker in Chinese hotels. Not what you expect when on family vacation.",Lodge,Essaouira
 November 2021,5,Day visit with lunch,Had a lovely day here with lunch which was for us only as we seemed to be the only day visitors - food was great and was far too much and great quality They picked us up and dropped us back later we stopped around 6 hours Staff lovely A wellcome bit of pampering Thankyou,Lodge,Essaouira
 November 2021,5,Hidden Gem,"We were so happy to stumble upon the location! We thought we have an adventure and head towards the coast from Marrakech not really planning on staying, but when we found Essaourai, we knew we wanted to spend some time here. We are blessed to pick this beautiful lodge tucked away from the city, with is well manicured gardens and friendly staff. This peaceful retreat was a wonderful escape from the busy city. Clean, comfortable, romantic and serene. Just a word of caution, the driveway in is very long and rough in spots, but be assured, your trip is worth it!",Lodge,Essaouira
 August 2021,4,Stay with family,"The stay was really very nice. We have appreciated the quality of the service either from the front desk team or the restaurant team. At the end of the stay, we have spent 1 hour in the Hammam that was extremely clean and relaxing. Will come back again for sure.",Lodge,Essaouira
 August 2020,5,Romantique,We stayed for 5 days in this beautiful complex. The rooms are very cosy and very clean. There is a big terras and every room has a lot of privecy. The pool is great. The staff very very friendly. The restaurant serves great food for a reasonable price. Breakfast perfect. A place to come back to.,Lodge,Essaouira
 March 2020,5,Beautiful and peaceful retreat and excellent value for money!,"We loved our stay at the Essaouira Lodge. The location meant it was so peaceful and relaxing, however the free shuttle bus meant we could also enjoy the vibrant and exciting city of Essaouira every day as well. We really enjoyed the buffet lunches with a fresh variety of salads every day which meant it was really easy to still eat healthy. Our suite was lovely and very spacious with a comfortable bed which wasn’t too hard as I’ve experienced in other places in Morocco. We loved our stay as we also thought it was excellent value for money. The gardens are so beautiful kept and you can tell a lot of time and care is taken to maintain them. We hope to return to Essaouira lodge in the future as it surpassed our expectations.",Lodge,Essaouira
