 July 2022,5,Dar Farhana: simply excellent!!,"Dar Farhana Is a very quiet place with an excellent service. Abdul was very kind and always aware to make our stay nice and easy. The rooms were very nice, well decorated and vey clean. We also had dinner there and we enjoyed a lot. For sure, we'll go back there.",hotelName,city
 June 2022,5,Excellent Riad in Ouarzazate,"Dar Farhana is one of the best hospitality experiences I ever had in my life, and I travel a lot. The Riad is owned by a charming family who will treat you like family, thanks Ouarda, Ibrahim and Karim!. The riad is spotlessly clean, tastefully decorated, very comfortable, peaceful and the swimming pool is sooooo beautiful and inviting. The breakfast is delicious. All my needs and requests were met with a smile and understanding, they speak French and English fluently (and probably other languages too). They also assigned their wonderful receptionist Ayoub to guide me on a memorable afternoon excursion to a desert oasis he knew well, thanks Ayoub, you are the greatest. The riad is a few minutes ride from the center. If you have a car + gps, it will be easy to find and there are…",Maison_d_hotes_Dar_Farhana,Ouarzazate
 May 2022,5,Greatest place in Ouarzazate,"This is the most hospitable place I have ever stayed. The staff is wonderful and Ouarda is extremely helpful and accommodating. The food is fresh and they provide you with everything you need to be comfortable. I slept so well here after traveling for over one month. The garden and courtyard area is so lovely. I was having difficulties booking my flight from here to Casablanca online, and Ouarda did everything she could to help me, including taking me into town to convert my cash and then to the airport so that I could book directly with the airline there. I am so grateful to have chosen this sweet Riad and highly recommend anyone stay here if they’re staying in Ouarzazate. These people treat you like family and are so pleasant.",Maison_d_hotes_Dar_Farhana,Ouarzazate
 May 2022,5,Hands-down best stay of our trip,"I fell in love with this place the minute I walked in. Everything was magic. Beautiful rooms, lots of terraces to choose from shade or sun, everything beautifully decorated with gorgeous textiles and many plants. The food was the best I had in all Morocco and the two charming men hosting us made our stay absolutely fantastic. Do stay in and have dinner there, breakfast was also great (no end to it!) Rooms were cool and decorated with attention to detail, very comfy beds, lots of towels, just all round great facilities. Excellent wifi everywhere. Our family loved it here.",Maison_d_hotes_Dar_Farhana,Ouarzazate
 November 2021,5,Really excellent stay !,"- Thanks Karim for his warm welcome, his kindness and his availability : Any time he was there to respond to all our requests. - The rooms are spacious, very clean and well heated and above all well appointed with good bedding. - The meals were generous and absolutely delicious, we eat an authentic good Moroccan cuisine. - Karim organized an excellent bivouac for us in the oasis of Fint, which made our trip truly unforgettable. I strongly recommend DAR FARHANA",Maison_d_hotes_Dar_Farhana,Ouarzazate
 October 2019,5,Courteous,"Tucked away in a non descript alley, one finds this very sweet little Riad run by a really very friendly and courteous family , the swimming pool and courtyard area is very pretty. We had dinner there one night and it was really delicious. There are only around 6 rooms. The family help you with whatever you may require. Members of the owners family can also help out with taxi service",Maison_d_hotes_Dar_Farhana,Ouarzazate
 June 2019,5,Best experience ever!,"We can't stop dreaming about our time in Ouarzazate and the Dar Farhana. Our family really fell in love with this place and we will for sure be back - hopefully soon. The rooms, the pool area, the food, the owners - everything was just perfect. We had a warm welcome and a great dinner the first night. Because of that we changed our plans for the upcoming days and cancelled our accomodation in Zagora after one night. We returned to Ouarzazate to have more time at Dar Farhana and it was the best decision ever. Everybody was so nice and warm hearted, we felt like we were at home. They loved our kids, too. Thanks so much to Karim and his family for everything! Eda, Tobi, Levi and Iva",Maison_d_hotes_Dar_Farhana,Ouarzazate
 March 2019,4,Tasty home made food,"The owners were very nice. They helped us to urgently find a doctor. We got the home made food brought to our room, which was delicious; same for the breakfast we had on the roof top. The room was clean and tidy but small. A nice stopover in Ouarzazate if you have a car as it is a bit far from the main street.",Maison_d_hotes_Dar_Farhana,Ouarzazate
 January 2019,4,Nicest owner!,"We stayed here for only one night on our way to Marrakech. The hotel is distant from the city center, so for people staying longer it might not be the best option. The owner is extremely nice and welcoming. He went above and beyond to make sure our family had a nice stay. We had dinner and breakfast at the hotel and the food was great. One of the best breakfasts we had at a hotel in Morocco.",Maison_d_hotes_Dar_Farhana,Ouarzazate
 November 2018,2,nice but remote,"A beautiful interior court yard, a lovely hostess, great breakfast and meals, an ok room without any particular eatures. BUT the place is in the middle of nowhere at the end of a dirt road in a densely built new neighbourhood with a lot of raw concrete. No shop, no restaurant in the surroundings, nothing within walking distance if you want to stroll outside after your arrival. One is stuck without a car. And to navigate the dark and narrow dirt lanes in a rental car after dark is no fun.",Maison_d_hotes_Dar_Farhana,Ouarzazate
 October 2018,5,Great stop over in Ouarzazate,"Such a great stay! This place can be a little hard to find but follow the signs and you’ll be just fine. Ibrahim greeted us upon arrival with tea, coffee and cookies - much needed after a long drive. We sat by the pool and rested a bit while Ibrahim confirmed our room. We had hoped for dinner and were pleasantly surprised with what was an amazing meal. Breakfast the next morning was just awesome as well. Our room was on the main level right outside the lobby and parlor and had the potential to be pretty noisy. But it all worked out just great - no complaints at all. Totally recommend this place but just expect to be a bit away from the city center.",Maison_d_hotes_Dar_Farhana,Ouarzazate
