 January 2023,4,Lovely stay,"We stayed three nights and were impressed by how beautiful this hotel is. Views from the terrace are absolutely beautiful. We liked our rooms very much (stayed two nights in a suite then in a regular one as the suite wasn’t available). Breakfast is buffet and really good. We also had lunch and dinner and were pleased with the quality of the food. Staff was very friendly however service was pretty slow (bars, restaurants, room service and in room requests). We had a few miscommunications as well. Overall we had a lovely stay.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,hotelName,city
 December 2022,5,You’ll love this hotel!,"5 out of 5 Beautiful hotel with fabulous suites. Impeccable service. Fun to roam around elegant grounds. Our room must be 800 sq feet with 2 bathrooms, enormous closets and rain shower room and separate bathtub. Panoramic view from roof top restaurant. And it has a bar!",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 November 2022,5,Wonderful experience!,"Me and my boyfriend stayed 2 nights at this wonderful hotel in Fes, which is very close to the Medina of Fes and specifically 15 min walking distance from the Blue Gate (Bab Babjoul). It is therefore very easy to visit the old city of Fes without any problem (we although highly recommend a guide as this Medina is huge and it is very difficult to find your way!). The view on the Medina from the hotel is AMAZING, the food of the restaurant is delicious with plenty of choice and a variety of options (both internationals/mediterraneans and moroccans), the staff is also very welcoming and is ready to satisfy any type of requests. It was my boyfriend’s birthday and the hotel organised a surprise party for him and offered us a complementarity cake at the end of the dinner with…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 November 2022,5,Lovely hotel,"Lovely hotel! Excellent service and very comfortable .. perfect location in the Medina. The restaurant of this beautiful home is exceptional, we highly recommend palais faraj . We will stay here on our next visit to the culturally rich fes Thank you",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 November 2022,5,Amazing!,"A typical Moroccan Riad with all the comfort in the world! The place is so beautiful, with an amazing restaurant and great people wishing you have the best experience in their country. I didn’t have time to get a spa day, but I’m definitely coming back for that! Hope to see you soon, Fes <3",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 October 2022,5,Beautiful experience,"The hôtel is very very amazing the waiters are polite and friendly the food is very delicious, the reception, the library is so comfortable and sofian the receptionist is very hospitable and professional, friendly actually peaple there is so friendly i love it",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 November 2022,5,Absolutely wonderful,We stayed 3 nights. The first evening we ate at the restaurant and I had the best lambs chops I have ever had. We had a suite overlooking the pool and courtyard. It was beautiful. The service was excellent and the room wonderful- 2 toilets and 2 sitting rooms. Drinks in the courtyard in the evening is very romantic with the lanterns and fountain. I also cannot say enough about the spa. My first hamman and it was truly wonderful.,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 November 2022,5,Great hotel!,This was a lovely hotel. The design is beautiful. The lamb chops I had at dinner are perhaps the best I've ever had. The lobby bar/patio is great. The location is the only downside - it is very secluded; nowhere to walk from the hotel.,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 November 2022,4,Excellent with One Exception,"Beautiful hotel with very good service. There is a lovely patio where you can have drinks and snacks .The outdoor pool is nice as well. The included breakfast is extensive and delicious. I would have given it five stars except for the fact that smoking is permitted in the upstairs bar, and it is impossible to enjoy a drink of food there. It is a relatively small room, and the smoke permeates everything.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 September 2022,5,Great time at Palais Faraj,"Travelling with friends in Morocco and stayed at Palais Farajj for two nights. From check in to check out, the staff was so helpful and friendly. Our room was lovely. The pool was beautiful. The restaurants and bar were a lot fun with delicious food and drinks. We were entertained by a really fantastic band over dinner both nights. I highly recommend this hotel and would love to go back.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 July 2022,5,First time in Fez,Absolutely fantastic food and accommodations in Fez. The staff was very accommodating and friendly. Fez can be tough for westerners but the Palais Faraj is the best place to stay for folks new to Morocco.,Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 October 2022,5,World Class.,"The communication, the service, the food and the experience as a whole is top class. Just hands down bravo to the whole team at Palais Faraj and l’Amandier restaurant in particular for providing such an excellent experience. To see the old Medina from this point of view and to experience the imperial city, the Palais Faraj way, reignited my love for the city of Fes. For the food itself, the wait time was very fair (actually you don’t even feel the time pass there) and when it arrived every bite was impeccable and full of taste. The prices are really well worth it. The wine list was very rich and had different international and Moroccan choices. Then there is the ambiance and atmosphere which can only be described as world class and the calm and smooth Arabic music that was…",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 September 2022,5,Amazing palais faraj,"this hotel is very nice .It reflects the real moroccan architecture.the front desk are very friendly and available all the time.I asked for a visit in the medina and they arranged an excellent english speaking guide who knows all about the history of the medina .one day I decided to eat outside and the receptionnist recommend to me a very nice french restaurant which is located in the new city(good recommendation by the way).When I went to the spa for massage for my first time, the front desk agent escorted me till the spa reception had a unique relaxing massage which I've never had before during my vacation in Morocco. thank you 😊",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 October 2022,5,It was a wonderful stay,"Very welcoming and friendly staff! The concierge service helped us book our activities in Fez, she gave very good advice! she showed us around the hotel on arrival, to discover this magnificent Palace built in the 19th century, the room was very clean and comfortable",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 October 2022,5,Wonderfur experience,"This hotel is a perfect royal palace! Moroccan style Riad… The room is very confortable and beautful. It’s located in a Medina de Fez, close to The main tourist attraction. The spa offers massages and a typical hamman. The breakfast is good.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 October 2022,5,Perfect,"Absolutely Gorgeous, you really feel the vibe of the old city and the rooms are very cozy, Special thanks to Brahim , Abdel and Meriem for being available whenever needed, you made the stay memorable.",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
 September 2022,5,Amazing hotel,"The hotel its amazing i love it , we stayed at the hotel 2 nights with the group , but i will return to the hotel in summer 2023 with my family , the staff are very helpfull especially the front desk ayoub The person who greeted us with a warm smile and a welcome , thank youu",Palais_Faraj_Suites_Spa-Fes_Fes_Meknes,Palais_Faraj_Suites_Spa,Fes_Fes_Meknes
