 November 2021,1,Do not trust pictures…,"Lack of hygiene… Bedclothes are not regularly changed, bathroom was not clean, shower floods every time (I thought it was me throwing water out but it wasn’t) excellent location in Casablanca, close to most place of interest. Breakfast cost 3€ and it’s supposed to be served from 8:00 but the concierge was sleeping until 8:30 in the reception’s couch…. After he woke up and was asked about breakfast told me to wait for him to buy it in the street and bring it into the hotel…. 😀 Of course I told him not to do it! If you need a place just to sleep one night and do not have booked a better option it’s ok but take in consideration that it is not a clean place at all!",Point_du_Jour-Casablanca_Casablanca_Settat,hotelName,city
 February 2020,5,"Very welcoming, clean, ideal location","I’d spent a whole day searching online for the best hotel for my money. I hit the jackpot with this place. It looks like a “Hole-in-the-wall” from the outside, and even when first entering the lobby. But the rooms are spacious, the beds are super-comfortable, the staff is warm and friendly, and the breakfast is more than adequate. They people at the counter are anxious to help you find your way to wherever you want to go. For the money, you cant go wrong. I’ll stay here when I return to Casablanca!",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 November 2019,5,Convenient location with awesome service,"The price is reasonable with convenient location. You can reach the tram station in 5 minutes and take the tram to ONCF station Casa Voyageurs within 20 minutes. Room is tidy and clean. Staff are great, nice, honest and helpful, and they taught us how to go to Hassan II Mosque and station patiently and easily.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 October 2019,5,"Wonderful hotel in Casablanca, Hotel point du jour Casablanca city Morocco. I recommend you to stay here 😊😊","All it's perfect In Hotel point du jour Casablanca Morocco. Thank so Much Mr Jalal receptionist And Mr Redouane manager of the hotel. They was Amazing Guys i appreciate your service and all things also Informations about places in Casablanca to visit. Can go by walking Don't need transportation because old Medina just 10 munites walk.Hassan 2 Mosque 25 munites walk and Places Mohammed five 3 minutes walk, place United States . Taramway near . Restaurants, shopping. TWIN CENTER Best regards!",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 September 2019,5,Clean and comfortable,"I spent my first day in Morocco at this wonderful hotel, and I can tell you its an ideal place to get over serious jetlag! I messaged the staff to ask for an early check in, and they were kind enough to oblige. Hotel staff also kept in touch with me throughout my journey to Morocco, answering any questions that come up. My husband and I were able to get a decent rest in our tidy room before we did a little sightseeing. Jalal was incredibly helpful - he gave good recommendations and good directions! The staff at this hotel really know how to make a guest feel welcome and comfortable. Thank you, Hotel Point du Jour.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 August 2019,5,AMAZING service and nice rooms!,"This hotel was clean, comfortable, and well-kept, but the review is primarily for the staff. My sister had a dental emergency during our visit, and the concierge went out of his way to help us find a dentist, a pharmacy, and ice to help her pain. He spent over an hour helping us and checked in any time another member of the party left the hotel. We appreciated his help so much during a stressful time. Thank you!!",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 June 2019,4,Nice little hotel in the very center of town,"Nice little hotel in the very center of town – next to tram. Good breakfast and good information from helpful reception team. Rooms are small and facility could use uplift, but overall good value for money.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 June 2019,5,Point Du Jour Casablanca,"This hotel in Casablanca has gone above and beyond our expectations. They have been EXTREMELY friendly and helpful with any questions we have had in regards to exploring the country of Morocco. The customer service is exceptional and they have done what they can in their power to make us feel comfortable and welcome. I would definitely stay here again thanks to Redoune and Sied. In addition, breakfast is offered in the morning for an extremely reasonable price! I would recommend staying here to anyone!",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 April 2019,4,excellent value for money,"our room was quite big and very clean, the bed very comfortable, and the service excellent. the people there made us very welcome, they were also very helpful , always with a smile. This hotel is walking distance to the Place de la liberation with all the cafes and restaurants, and of course the old Medina ( highly recommended) , but if you're not afraid of walking a bit further,like an extra 15 minutes I also recommend in the morning the fishing port with the fish market and the fishing boats. lots of great photos to take there.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 February 2019,5,Above expectation,"This 2-star hotel is really value for money. It is modern, clean and comfortable. The service was impeccable. That's what sets them apart from many other hotels. The Wi-fi in the room is weak though. It is near a tram station, some nice small eateries and coffee places.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 February 2019,5,Awesome.,Awesome all around. During my visit i was Sick and they brought me hot lemon juice and kept in touch with me making sure I was ok. Even offered to call Me a doctor. The place is clean and all staff was friendly and supportive. Centrally located. We walked everywhere. Yes it has older towels but they are clean and freshened daily. Rooms are small to some standards but I was actually pleasantly surprised how big they were to what I expected. Sitting area included in your room. Large dining area to enjoy all day. I would come back here for sure if I ever came back to Casablanca. I have no problem recommending.,Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 February 2019,5,Great hotel with the best staff,"My friend and I stayed here 3 nights and the staff were wonderful. They went above and beyond running out to get lemons and make hot lemon tea for my friend who had caught a cold. Very central, easy walk to the Mosque, Palace and Mohammed V Place. Clean and great breakfast in the morning for a small charge. Highly recommend this hotel for the price.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 January 2019,5,The best!,"This little place was amazing. Staff are so welcoming, rooms are spotless, water was hot, wifi was good. We arrived as group of 6 after 22 hours of flying. Were greeted with a smile, given great recommendation for dinner. When we got lost walking to the restaurant, we called hotel and he came met us in the street and walked us to the restaurant. Breakfast was yummy and value for money. Such a great find and would definitely stay again.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 December 2018,4,"2 star hotel, 5 star service","This hotel epitomises the phrase 'cheap and cheerful.' But it's really all about the great staff. Given it's only 2 stars, this isn't a hotel for fine linens and silver service. Or strong water pressure, for that matter. But for a short stay, it's a great place to get your bearings. Which the staff will gladly help you with. Clean rooms, a lift, a TV... it's all you could want for the price.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 December 2018,5,8 out of 10,"Nice Place clean quiet and nice discreet staff , It's right in the centre near both Train stations the United Nations Square and the Medina recently restored It gets an 8 +. One of the nicer places we stayed in here in Morocco, after all the Riads this was almost Heaven 😂",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 October 2018,5,Fantastic staff and great location,"I could not have made a better choice. This hotel is very centrally located. It is close to shops, restaurants, public transit, and major tourist attractions such as Mohammad V Square. The staff were very friendly, professional, and went out of their way to be helpful and accommodating. I spent a total of six nights at Hotel Point du Jour and would highly recommend to anyone visiting Casablanca. This will definitely be my home away from home during any future visit to that city.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 November 2018,5,Good value,"The room is nice. Nothing fancy, but sufficient (byo shampoo and conditioner) The staff is lovely and helpful, especially Ali. The location is good, there are few good restaurants around and it's safe.",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
 October 2018,4,Better than expected,"My wife and I stayed here for 2 nights. Staff were very friendly and accommodating. Room was quite nice, very quiet and clean. Water pressure in the shower was not great, Wi-Fi was extremely slow, almost useless. Room got really stuffy even though the air conditioning was on, until we figured out how to open the window. Close enough to walk to the Hassan Mosque. Plenty of cafes and restaurants nearby. Traveller Tip - cafes usually only drinks, maybe pastries. For an actual meal you need to go to a restaurant or brassiere",Point_du_Jour-Casablanca_Casablanca_Settat,Point_du_Jour,Casablanca_Casablanca_Settat
