 December 2022,5,A comfortable stay in a historic home,"Simon greeted us warmly, attended to us professionally, and advised us regarding opportunities in the area. He arranged our transfer to the desert tour team, removing concern regarding that transition. The hotel is a hidden gem, with a soaring courtyard, captivating detail work in the wood and the walls, and comfortable period refelctive rooms for rest. This is a great place, and Simin was the perfect ambassador for the unique hotel.",Riad_Braya-Fes_Fes_Meknes,hotelName,city
 November 2022,5,The Perfect Riad in Fes,"We had a lovely stay at Riad Braya! The manager Mohamed Ben Abbou goes above and beyond to ensure guests have an excellent stay. Breakfast was delicious and the view from the expansive rooftop over all of Fes is not to be missed! A truly beautiful spot, close enough to a car-accessible street that it made getting in/out very easy as well. Thank you Mohamed for everything!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2022,5,Amazing stay in Fes!,"I stayed at this Riad for four nights, and I had a wonderful experience. My room was lovely and everything was spotless. The pillows were so comfortable it was hard to get up in the morning! The food was delicious and the view of the Medina from the rooftop terrace was stunning. But what made this stay incredible was the staff. Mohammed and Simon could not have been more lovely, so helpful and kind. Any time I needed anything they were there to help, and they were so welcoming and hospitable. The riad itself was also beautiful and in a great location. I was genuinely sad to leave, but I will definitely be back. Would absolutely stay here again!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 August 2022,5,Stunning hotel with great service!,"The hotel is the ultimate tranquil escape from the busy city of Fes. From a breakfast complete with an omelet and French pastries with a view of the city of Fez, to cocktails by the pool in plush robes, this place such a steal for its price! Its also well located and the staff are extremely dedicated and always there to cater to your every need. Highly recommend!!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 March 2022,5,Hidden gem,"Hidden gem. We were dropped off quite far from the riad and we had a staff member come collect us and took us to the riad which was really appreciated. They gave us welcome drinks and snacks. Simon was very friendly and answered all our questions about Fes and the riad, he also served us breakfast in the morning. Once we were ready he showed us the room which was amazing and was the best riad we stayed in during our stay. We had our own balcony looking down to the pool and the room was huge. The bathroom was incredible. The tv had English channels which was also appreciated. The aircon was quite noisy. We had complimentary snacks and fridge in the room which was great. The bathtub was huge, though we couldn’t get super hot water. Breakfast was incredible and we loved the fact…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 March 2022,5,"AMAZING STAFF, GOOD LOCATION, DELICIOUS FOOD","We stayed with two friends, I can not describe this place in words, in its Riad it is a dream, its infrastructure is beautiful, it is modern and at the same time classic Moroccan. The rooms are modern, clean, and well cared for. Without a doubt, the place is beautiful, but for me the most valuable thing about that place are the people who work there. Simon is without a doubt a jewel in that place, his service went above and beyond all the time, super friendly, his service is impeccable. What would make me return to this place without a doubt is the service we received. We were in another Riad, it was a good service, but I think the one we received in Brayan was much better. Simon and his, another colleague of his whose name I don't remember, were excellent. Thank you very much…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 November 2021,5,Amazing e y,"Great hotel!!! Amazing staff, all good! It worth each euro. The breakfast is good, they have laundry, room service and super well decorated, very cozy. Great marocain experience. Good location (not in the middle of the Medina). Try the pastilla of vegetables and the orange juice (it is much better than you expect).",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2021,5,Great experience in Fez,"Such a great place to stay if visiting Fez! The stuff was super helpful, the food was great, and the rooms are awesome! Especially we liked Simon (forgive me if I spelled the name wrong). He was always ready to give us the best advice, always showed us excellent service, and served our breakfast on time! We was also happy with how clean our room was. If I ever go back to Morocco I will certainly stay there again!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2021,5,Amazing experience,I stayed for 2 days and the riad is amazing. The breakfast here is so tasty. They did an upgrade for us cause rooms were available. Both rooms were nice (the one we chose and the upgrade room) It will always be my first choice in fes. I definitely recommend this riad.,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2021,3,"Good, but not 5 star","This hotel is an old colonial home. Very nice structure that has been renovated; however, it’s for sure not a 5 star hotel. I would say 3. It doesn’t have amenities a 5 star has, for example: no restaurant, gym, pool is more of a decoration than usage, etc Service team is great, they tried to do what they could, but overall, for sure not a 5 star hotel",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2020,5,"Excellent service, very nice place.","We spent three nights in the Riad. We had the suite No 7. The room was very nice with a nice balcony overlooking the Riad. The view from the terrace is beautiful as well. The place is well maintained and the location is very good inside Médina. The breakfast is very good and the dinner we had two nights were very good as well. The service was simply amazing, Mohammed is one of the best hosts I ever met in my life. We wanted to have our breakfast or dinner in the room? No problem! In the terrace? No worries! By the pool? Just ask for it and Mohammed together with the rest of the crew will make it happened with a big smile. Very helpful and always available. Impressive:) Definitely will go back because of them. They make you feel like you are at home! The place is highly…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
