 January 2023,5,Home away from home !,We had the most wonderful stay. Everything was perfect. Everyone was so kind and so accommodating. We booked the room on the top (suite with a balcony) and would absolutely recommend it to anyone looking to stay there. The views are amazing at sunset.,hotelName,city
 December 2022,5,Great stay !,"Wonderful and amazing place. The staff is fantastic, food is great and the riad is amazing. rooms are beautiful, spacey, comfy. A superb stay with our friends and families, we will definitely be back.",Riad_Chbanate,Essaouira
 November 2022,5,"Very, Very Nice","My honey and I, and another couple, recently spent our last night in Morocco in Essaouira, at the Riad Chbanate. This Riad is well situated in the medina, a short distance from a parking area outside the medina walls, and a short distance to the heart of the medina, port, and ocean. The staff was extremely friendly and accommodating, providing directions and restaurant recommendations. The rooms were spacious, clean, very comfortable, and well appointed. The included breakfast was delicious. The Riad, itself, was really nice looking, very different from the Riads we had stayed in Fes, and Marrakech, which were more elegant in appearance, but the Chbanate was, none the less, very warm and inviting. The Chbanate, if I were to choose a word, was more rustic looking - a nice…",Riad_Chbanate,Essaouira
 September 2022,5,Poetic charm,This was our last stop and we loved it. It embodied the gentle and artistic charm of Essaouira. From the rose petals scattered in our room to the candlelit courtyard to the music of Oum to the fireplace we chatted around. An open kitchen leads off the romantic courtyard which creates a really homely and open feel. The staff are so helpful and even went to collect take always for our late dinner as we had forgotten to say we would be in for dinner.The breakfast was excellent. It was all so easy and relaxed. The perfect place to stay in Essaouira.,Riad_Chbanate,Essaouira
 September 2022,5,Perfect!,"Chbanate is a beautiful hotel with an exceptionally friendly staff and a pet turtle that wanders around. It was a wonderful experience, and we couldn't have asked for more. We stayed there for seven nights. If we decide to return to Morroco, we would certainly return to Essaouira and stay at Chbanate again.",Riad_Chbanate,Essaouira
 July 2022,5,Wonderful!,"Riad Chbanate has been my favorite stay in Essaouira, Morocco thus far. If you’re hesitating, don’t. This is the best place. Good food, peace, serenity, clean, more than friendly staff, great service. Could not ask for better. I cannot thank enough our new friends at the reception for their help. This place is worth your time and money. Great value. Thanks again Chbanate!",Riad_Chbanate,Essaouira
 May 2022,5,"Beautiful Riad, wish we could have stayed longer","Riad Chbanate is a beautiful, friendly, and well-located gem of a riad. We were only able to book 2 nights because it is so popular, but would have loved more time there. The building design, the room decor and furnishings, the luxurious bathrooms, the relaxing atmosphere, the food, and the overall comfort exceeded our expectations. The staff are very friendly and offer great customer service. Hicham in particular went out of his way to help us, and his smile was enough to brighten everyone's day. I would not hesitate to recommend Riad Chbanate, and my only warning is to book as early as possible before it fills up.",Riad_Chbanate,Essaouira
 May 2022,5,Very Romantic-Even For An Old Coot,"Riad Chbanate is amazing! Every Riad in Morocco astounds me with its style, graciousness, and comfort. With gorgeous architecture, the rooms at the Chbanate are more romantic than most, and I think it would be perfect for a honeymoon. But even at 72, I could appreciate the sensual decor. Service exudes that Moroccan warmth. Smiles abound, led by the irrepressible Samira, who was very charming. Greg and Hichen were also helpful and fun. Breakfasts were delicious and elegant, served in a lovely room off the courtyard. We had a perfect stay. The Riad Chbanate was so wonderful, I could spend my entire holiday never leaving the Riad, except for dinner and to listen to music. It is a great place for a respite.",Riad_Chbanate,Essaouira
 May 2022,5,"Lovely, calm Riad with a spectacular rooftop bedroom and very accommodating staff","Riad Chbanate was a lovely place to stay in Essaouira. Easy to find, a picturesque peaceful courtyard and extremely friendly and helpful staff. The best part was the room at the top of the Riad, with a view across the rooftops of Essaouira and even a bit of the ocean, romantically decorated with rose petals and a small private balcony at the back. Would very happily stay agin.",Riad_Chbanate,Essaouira
 April 2022,5,"Beautiful riad, would come back again!","Stayed here for 1 night and we had the most incredible and romantic room with a tub. The aesthetics of the riad is definitely up there and the luxurious toilet was really the cherry on top! The tea and cookies served upon check in was also a great touch! Great location as well, not too close to the medina centre but still within walking distance!",Riad_Chbanate,Essaouira
 January 2023,5,Home away from home !,We had the most wonderful stay. Everything was perfect. Everyone was so kind and so accommodating. We booked the room on the top (suite with a balcony) and would absolutely recommend it to anyone looking to stay there. The views are amazing at sunset.,Riad_Chbanate,Essaouira
