 November 2022,5,Hidden arabesque boutique cozy home,"Absolutely loved the Riad! Hidden gem inside the madina in Rabat. Quiet, beautiful interior, little boutique and cozy place with arebesque modern details, beautiful courtyard, and outdoor area garden with a pool. Staff very friendly and accommodating. Highly recommend for a unique and cozy traditional modern experience in Morocco!",hotelName,city
 November 2022,5,The jewel of Rabat,"Riad Kalaa is an execptionally beautiful boutique hotel in the medina of Rabat. The interior of the hotel and the beautiful roof terrace with pool oozes history and luxury. All of the staff, but especially Raina, are super friendly and helpful. We only stayed 1 night there with a group of friends but I will certainly come back with my family. What a find!!",Riad_Kalaa,Rabat
 September 2022,5,A lovely gem within the Medina,Upon arrival we were welcomed into the lovely courtyard by a beautiful young woman for a traditional Moroccan tea before shown to our 2 beautiful suites on the main floor. We enjoyed a delicious dinner in the magically lit courtyard and would highly recommend this raid. The bonus is the beautiful rooftop patio and pool!,Riad_Kalaa,Rabat
 August 2022,5,Great place to stay at the Medina in style,"Clearly a bit higher priced, but if you like to spend your holiday in style, that is the place. Rooms are an interesting combination of traditional and modern design: we had a room with 4 beds, two downstairs & two in the loft. Shower worked well and was very hot. Very friendly staff. Terrace and small swimming pool on the roof, you just need to remind your kids no to splash too much, otherwise the water lands right on the breakfast tables 3 floors down .-). Practically all main sights of Rabat are in walking distance. Note: We were in the riad no. 2, but we had a look also in the no. 1 around the corner; they are similarly equipped.",Riad_Kalaa,Rabat
 July 2022,5,Lovely riad,"This is a beautiful, peaceful riad/hotel, great hospitality, excellent location. The rooms are spacious and perfectly clean. Our kids appreciated the super wifi connection too. We had an excellent late dinner in the beautiful courtyard.",Riad_Kalaa,Rabat
 July 2022,5,Great Stay at the Riad in Rabat,"This was one of our favorite Riad's stays in Morocco. The Riad is well located and there are so many places to explore that are within walking distance of the Riad. The staff are very friendly and accommodating. We didn't have the opportunity to have dinner at the Riad; however, I had a few cold beers at night while sitting in the square of the Riad. The rooms have great air conditioning and are all well decorated.",Riad_Kalaa,Rabat
 June 2022,5,Amazing stay,"My wife and I had a great time at Riad Kalaa! Rania helped check us in and was friendly, accommodating and explained how to get around the Medina/city. The breakfast was great in the morning and the room was great! We will definitely try and stay here again next time we are in Morocco.",Riad_Kalaa,Rabat
 June 2022,2,Loud disco music cannot sleep,"We thought this would be a nice place to sleep but The night we arrived they turn this into a discotheque blaring music on the rooftop so that no one could sleep. The owner decided to throw a party for his friends with complete disregard for hotel guess who actually wanted to sleep instead of party all night. As it was getting late and we had children with us and we’re all very tired from an early morning flight we went to the front desk to complain because the music seems like it would never stop, A person at the front desk ran upstairs and came back. Instead of an apology he just said they told him that the music would end sometime soon and there was nothing we could do about it",Riad_Kalaa,Rabat
 June 2022,4,Lovely Riad,"We had a lovely stay at this Riad in the middle of Rabat’s Medina. Our favourite thing was the beautiful roof terrace, filled with plants and an adequately sized pool for a splash around. We adored drinking wine at sunset by the pool. The rooms are very beautifully done, and our bathroom was a very good size. We had an excellent hammam - extremely thorough and relaxing. Really recommend - 300 Dirhams for an hours hamman and a further 300 for a massage. The reason I have rated it 4 stars is because I think that for the price, the breakfast could have been more varied. It is a typical Moroccan breakfast with a variety of different breads, jam and butter, accompanied by a plate of fruit, orange juice and tea/coffee. It is quite typical of Morocco yet there were some staples…",Riad_Kalaa,Rabat
 May 2022,5,Great dining experience,We only went here for dinner as we stayed in the sister-Riad Dar Dar but we where mesmerized by the place. One of the prettiest Riads we have seen in Morocco. The variety of the menu and quality of food where great. They also serve nice wine from the region. The ambiance is stunning and I can imaging sleeping here must surely be as nice as coming for dinner.,Riad_Kalaa,Rabat
 November 2022,5,Hidden arabesque boutique cozy home,"Absolutely loved the Riad! Hidden gem inside the madina in Rabat. Quiet, beautiful interior, little boutique and cozy place with arebesque modern details, beautiful courtyard, and outdoor area garden with a pool. Staff very friendly and accommodating. Highly recommend for a unique and cozy traditional modern experience in Morocco!",Riad_Kalaa,Rabat
