 January 2023,4,"Beautiful Riad, Great Base in Medina","We loved the atmosphere of calm, exquisite attention to authentic styling and excellent care of guests by Anwar and his team. This building, though repsired and renovated many times over the years, is a 300 yo building. The steps are terrifyingly crooked and steep. And yet modern conveniences like a lift could well ruin the charm and sense of staying in a rich Fassian Uncle's residence. Loved the Green room despite its medieval feeling bathroom. Blue and Yellow rooms were our other choices and share a common sitting room which was lovely.",Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,hotelName,city
 December 2022,5,Wonderful Riad,The perfect vacation in the most cozy atmosphere and superb service. the rooms are tastefully decorated and the Bistro offers delicious breakfasts included in the room rate. Thanks Fred and the rest of the staff for all your kind attentions.,Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,Riad_Laaroussa_Hotel_and_Spa,Fes_Fes_Meknes
 December 2022,5,Beautiful!,"An excellent choice in Fez. The rooms are spacious and tastefully decorated. The courtyard, rooftop, and hammam are also so quaint and wonderful. We also did a spa/hammam day one night there. I highly recommend you stay at this riad.",Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,Riad_Laaroussa_Hotel_and_Spa,Fes_Fes_Meknes
 December 2022,5,Best Place in Fez,"Quite possibly the best hotel I’ve stayed at. We came with a sick kid and the staff accommodated all of our special requests, without extra charge. The hotel pulled off a classy French design accentuating the lovely atmosphere & decor. Hired chefs whip up a panoply of delectable dishes.",Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,Riad_Laaroussa_Hotel_and_Spa,Fes_Fes_Meknes
 November 2022,5,Lovely Riad,Lovely Riad ! Excellent service and very comfortable. Perfect location in the Medina. The restoration of this beautiful home is exceptional. We highly recommend Riad Laaroussa. We will stay here on our next visit to the culturally rich Fes.,Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,Riad_Laaroussa_Hotel_and_Spa,Fes_Fes_Meknes
 November 2022,5,Excellent Experience,The Riad is beautiful and in a great location. Anouar was very friendly pilite and welcoming. He went above a d beyond in ensuring our needs were met. He recommended various places to visit. The roof top bistro has delicious food and beautiful views. Anouar checked in with me throughout my stay to see how things were going. The breakfast in the roof top bistro was the best Moroccan brekafast I had while staying in Morocco. I highly recommend Riad Laaroussa,Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,Riad_Laaroussa_Hotel_and_Spa,Fes_Fes_Meknes
 November 2022,5,A Gem!,"A calm and lovely riad in the bustling Fes Medina, Riad Laroussa itself was the highlight of our trip. The caring staff of this beautifully restored building provided us with a much-needed break. Very peaceful, clean, and relaxing. Thank you, Anouar, and all the staff!",Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,Riad_Laaroussa_Hotel_and_Spa,Fes_Fes_Meknes
 November 2022,5,An Oasis in Fes,"This is a special experience - an oasis in a bustling city. Every detail is interesting and beautiful - comfortable and inspiring. The staff is exceptionally friendly and professional, the food exceptional and fresh and the pool is sublime. Riad Laaroussa is one of my top 5 favorite guest houses anywhere in the world. I would go back to Morocco just to stay here.",Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,Riad_Laaroussa_Hotel_and_Spa,Fes_Fes_Meknes
 October 2022,5,Paradise Found,"Absolutely AMAZING and WONDERFUL in every respect. We were seeking luxury and authenticity and location and intimacy... plus kindness and beauty and cleanliness and quiet....Riad Laaroussa is all of the above and and more....If you want high end hotel chain luxury with lots of guests and rooms, go elsewhere. If you want an intimate personal luxurious delicious calming relaxing delicious adventure, come to this amazing hotel with the kindest staff....Cannot say enough wonderful things about Riad Laaroussa!",Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,Riad_Laaroussa_Hotel_and_Spa,Fes_Fes_Meknes
 November 2022,5,Superb,"Hidden behind a large door is this beautiful ryad. Every detail is just perfect,all built around a tree filled courtyard. Food was excellent,both breakfast and dinner. The service matches the environment, very attentive and friendly ,first class. Heads up to their environmental policy of no plastic. Highly recommended.",Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,Riad_Laaroussa_Hotel_and_Spa,Fes_Fes_Meknes
 November 2022,5,Great place to stay in Fes,"We stayed in the Orange room at the Riad which was beautiful decorated and spacious. The Riad itself is well decorated, all the floors had beautiful spaces and with places to relax inside and out but had good weather so we didn’t spend too much time in the inside rooms. The pool was a great way to relax after a long day of touring. The roof deck was a beautiful spot for both eating and having a sunset drink. And the lobby area was a garden oasis to relax in. The food was very good and most importantly the staff were super friendly and amazing. Thank you to Malik, Anwar, and Yassiin for helping to make it a perfect stay. And we also met Fred, the owner, who was also very nice and helpful. We would definitely return next time we are in Fes.",Riad_Laaroussa_Hotel_and_Spa-Fes_Fes_Meknes,Riad_Laaroussa_Hotel_and_Spa,Fes_Fes_Meknes
