 February 2021,3,Solid budget lodging,"This riad provides basic, simple accommodation for a very reasonable price. It is not fancy at all, though the decor is pleasant and the rooftop terrace is nice. My room was small but what I needed for a quick 2 nights, and had a private bathroom en suite. The curtains didn't really block out enough of the ambient light from the medina outside, so if you're light-sensitive that could be tough, but I was able to sleep through that just fine. However, even with the current curfew in place, there was a lot of noise from outside in the evening, and someone was banging really loudly at about 2am one night. Not sure if it was on the door of this riad or someplace else, but it went on for close to half an hour and kept most of us in the hotel awake, as I could hear others talking and…",hotelName,city
 December 2019,4,Good budget option,This riad was a great budget option for us. We stayed 2 nights in a room on the rooftop terrace. Included was a simple but nice breakfast. Wifi in our room was a little weak but on the roof itself worked okay. Staff lovely. Located in the medina. Recommended for those looking in this price range,Riad_Le_Grand_Large,Essaouira
 October 2019,4,Authentic experience of Essaouira,"The good bits: The staff were very friendly. Rooms were kept while we were out. Breakfast was good (though simple - toast and jams). It’s was fairly clean. There was a bed, shower, toilet, wardrobe and lamps in the room. It was very inexpensive! The not so good bits: The rooms were small. The bed was quite hard. The shower was very very basic. There was a flashing sign outside our window until midnight. The medina was noisy and there were often fights/arguments outside the window. The bits that depend who you are: The location is right in the middle of the medina. Good if you want to experience this, not so good if you would prefer a holiday on the beach, away from noisy street arguments! The Riad is quite dated and needs some tlc. Again this is great if you want to…",Riad_Le_Grand_Large,Essaouira
 August 2019,4,Beautiful Riad ideally located.,"Although set in the middle of the busy Medina, was not too noisy. Beautiful little simple Riad with amiable receptionist. Very clean and near anywhere you'll want to go. Basic bathroom but OK. Not too hard to find.",Riad_Le_Grand_Large,Essaouira
 November 2018,1,Half an hour was enough,"The room was damp and dirty with mould covered ceilings. Bed was saggy when I sat on it. We asked for another room and were told in an unfriendly manner that there weren't any others so we left immediately. Hopefully we our credit card will not be charged for this miserable 30 minute stay. Don't believe everything you see in the photographs of this dump and better still, don't go there.",Riad_Le_Grand_Large,Essaouira
 May 2018,3,Acceptable,The riad is well placed in the Medina and five minutes from the seafront but could do with a lick of paint as it is a bit outdated. The personnel are friendly and helpful. Plenty of hot water. Breakfast is simple. Price is reasonable.,Riad_Le_Grand_Large,Essaouira
 May 2018,3,Le grand large,"The riad is well placed in the heart of the Medina and five minutes from the beaches and skala. It could do with freshening up. Everything is a bit dated. The personnel is helpful and friendly but there is no one to help with the luggage,three floors up!! There is plenty of hot water. The price is reasonable.Breakfast is simple.",Riad_Le_Grand_Large,Essaouira
 December 2017,5,Great Riad with free WiFi and Lovely Breakfast,"I visited this riad for a week in mid-late December 2017 with my family. My sister and I stayed in room 2 on the first floor and my parents stayed in room 10 up on the terrace. When we arrived to the riad after bein led through the maze of streets by a local shopkeeper, we were immediately greeted and shown to our rooms by one of the women from the desk. In the mornings, the breakfast is served from 08:00 until 10:00. This breakfast consists of a glass of orange juice each, a pancakey crumpet thing each (which is a lot nicer than it sounds), a choice of coffee or mint tea each, and a plate of 3 pieces of toasted baguette each which is served with strawberry jam, marmalade and runny honey. Overall, considering the size of the breakfast and the quality of the rooms,…",Riad_Le_Grand_Large,Essaouira
 November 2017,4,friendly comfortable,"very central, cheap, clean and friendly. breakfast was nice and service was good. would come back here. organised and welcoming reception. wifi was fine. good value for money. thank you for a pleasant and memorable stay.",Riad_Le_Grand_Large,Essaouira
 September 2017,4,Lovely Riad,"For what you pay for, it's inconceivable to expect 4 star service or surroundings. We wanted somewhere very affordable in the centre of the medina that was clean and comfortable for our 7 day stay. That, is what we got. We arrived late, about 8pm. The door was answered straight away, the receptionist spoke good English (which we weren't expecting, that was nice) and we climbed flights of stairs to room 5. Despite the heat outside, with the windows open, it was cool in the room. Good solid bed and clean (no bed bugs). The shower was always hot and yes, if you angle it incorrectly, you will flood the bathroom. The riad has retained a lot of its Moroccan architecture and charm so I believe there are a lot of original parts to the room. The street noise is lively as you're in the…",Riad_Le_Grand_Large,Essaouira
 February 2021,3,Solid budget lodging,"This riad provides basic, simple accommodation for a very reasonable price. It is not fancy at all, though the decor is pleasant and the rooftop terrace is nice. My room was small but what I needed for a quick 2 nights, and had a private bathroom en suite. The curtains didn't really block out enough of the ambient light from the medina outside, so if you're light-sensitive that could be tough, but I was able to sleep through that just fine. However, even with the current curfew in place, there was a lot of noise from outside in the evening, and someone was banging really loudly at about 2am one night. Not sure if it was on the door of this riad or someplace else, but it went on for close to half an hour and kept most of us in the hotel awake, as I could hear others talking and…",Riad_Le_Grand_Large,Essaouira
 December 2019,4,Good budget option,This riad was a great budget option for us. We stayed 2 nights in a room on the rooftop terrace. Included was a simple but nice breakfast. Wifi in our room was a little weak but on the roof itself worked okay. Staff lovely. Located in the medina. Recommended for those looking in this price range,Riad_Le_Grand_Large,Essaouira
 October 2019,4,Authentic experience of Essaouira,"The good bits: The staff were very friendly. Rooms were kept while we were out. Breakfast was good (though simple - toast and jams). It’s was fairly clean. There was a bed, shower, toilet, wardrobe and lamps in the room. It was very inexpensive! The not so good bits: The rooms were small. The bed was quite hard. The shower was very very basic. There was a flashing sign outside our window until midnight. The medina was noisy and there were often fights/arguments outside the window. The bits that depend who you are: The location is right in the middle of the medina. Good if you want to experience this, not so good if you would prefer a holiday on the beach, away from noisy street arguments! The Riad is quite dated and needs some tlc. Again this is great if you want to…",Riad_Le_Grand_Large,Essaouira
 August 2019,4,Beautiful Riad ideally located.,"Although set in the middle of the busy Medina, was not too noisy. Beautiful little simple Riad with amiable receptionist. Very clean and near anywhere you'll want to go. Basic bathroom but OK. Not too hard to find.",Riad_Le_Grand_Large,Essaouira
 November 2018,1,Half an hour was enough,"The room was damp and dirty with mould covered ceilings. Bed was saggy when I sat on it. We asked for another room and were told in an unfriendly manner that there weren't any others so we left immediately. Hopefully we our credit card will not be charged for this miserable 30 minute stay. Don't believe everything you see in the photographs of this dump and better still, don't go there.",Riad_Le_Grand_Large,Essaouira
 May 2018,3,Acceptable,The riad is well placed in the Medina and five minutes from the seafront but could do with a lick of paint as it is a bit outdated. The personnel are friendly and helpful. Plenty of hot water. Breakfast is simple. Price is reasonable.,Riad_Le_Grand_Large,Essaouira
 May 2018,3,Le grand large,"The riad is well placed in the heart of the Medina and five minutes from the beaches and skala. It could do with freshening up. Everything is a bit dated. The personnel is helpful and friendly but there is no one to help with the luggage,three floors up!! There is plenty of hot water. The price is reasonable.Breakfast is simple.",Riad_Le_Grand_Large,Essaouira
 December 2017,5,Great Riad with free WiFi and Lovely Breakfast,"I visited this riad for a week in mid-late December 2017 with my family. My sister and I stayed in room 2 on the first floor and my parents stayed in room 10 up on the terrace. When we arrived to the riad after bein led through the maze of streets by a local shopkeeper, we were immediately greeted and shown to our rooms by one of the women from the desk. In the mornings, the breakfast is served from 08:00 until 10:00. This breakfast consists of a glass of orange juice each, a pancakey crumpet thing each (which is a lot nicer than it sounds), a choice of coffee or mint tea each, and a plate of 3 pieces of toasted baguette each which is served with strawberry jam, marmalade and runny honey. Overall, considering the size of the breakfast and the quality of the rooms,…",Riad_Le_Grand_Large,Essaouira
 November 2017,4,friendly comfortable,"very central, cheap, clean and friendly. breakfast was nice and service was good. would come back here. organised and welcoming reception. wifi was fine. good value for money. thank you for a pleasant and memorable stay.",Riad_Le_Grand_Large,Essaouira
 September 2017,4,Lovely Riad,"For what you pay for, it's inconceivable to expect 4 star service or surroundings. We wanted somewhere very affordable in the centre of the medina that was clean and comfortable for our 7 day stay. That, is what we got. We arrived late, about 8pm. The door was answered straight away, the receptionist spoke good English (which we weren't expecting, that was nice) and we climbed flights of stairs to room 5. Despite the heat outside, with the windows open, it was cool in the room. Good solid bed and clean (no bed bugs). The shower was always hot and yes, if you angle it incorrectly, you will flood the bathroom. The riad has retained a lot of its Moroccan architecture and charm so I believe there are a lot of original parts to the room. The street noise is lively as you're in the…",Riad_Le_Grand_Large,Essaouira
 July 2017,1,"Bad experience, bed bugs.","We booked this place for three nights as it had pretty good reviews. Upon arriving, we were left standing outside knocking on the door for a good 5 minutes at least - as nobody was in reception, she appeared behind us (with the excuse that she was helping some tourists somewhere - yeah right) and let us in to check in. At first we were given Room 1, the receptionist lady ran up the stairs ahead of us and into the room before we were even halfway up, so I had no idea where she had gone, until another guest pointed us to the room she had entered. I walked in to see her hunched over the toilet turning the water on. It was turned off as it made a constant rushing water sound when it was on. We thought that was the only issue. When showering, the curtain blows onto you and sticks…",Riad_Le_Grand_Large,Essaouira
 June 2017,4,great location- lovely staff,"May I remind those who have given this place negative reviews - you get what you pay for. It is good value for money. Location great, clean, plenty hot water, meals good, Wifi and staff absolutely lovely. The Medina is a magical place and my room over looking the street below was where I watched daily life going on- loved it.",Riad_Le_Grand_Large,Essaouira
 May 2017,2,Underwhelmed,We forgot to download/star this place on our maps while we had internet. A local at the bus station helped us with our luggage and showed us the way. Gave us more information about the medina than was given by the reception on arrival. The rooms were clean and tidy. Renovations were happening while we stayed. The interior was welcoming and homely. Although the staff seemed unapproachable with little assistance on what to do in the region. The included breakfast was substandard unless you like preserves and toast. The internet was down for most of our four day stay. The lights were temperamental and couldn't rely on the bathroom light to remain lit whilst using.,Riad_Le_Grand_Large,Essaouira
 April 2017,3,Great location but some improvements are needed...,"The riad itself is nice and the location is perfect. However, communication prior to the stay was inexistent. I tried to reach the riad beforehand to check the best way to get there and to arrange check in time (we would arrive around lunch time and weren't sure the bedrooms could be ready) and got no response. When the group arrived, there was no greeting, we were just handed check in forms and the bedrooms weren't ready. When the bedroom was ready the sheets didn't quite fit the mattress... Breakfast is limited... although there's orange juice and a nice terrace.",Riad_Le_Grand_Large,Essaouira
 April 2017,4,Nice place,"We stayed in just for one night, but it was good. Nice and clean rooms, view on main street. Hot water, wifi, breakfast on the nice terrace. Only thing that bothering us, was a little to much of the noice from the main street.",Riad_Le_Grand_Large,Essaouira
 January 2017,5,"Central, cozy, beautiful","This Riad has everything! It is located in the center of the medina in Essaouira so everything is 5 minutes away, the people, who work here, are super kind and the rooftop terrace is the most cozy one I have experienced in Marocco so far. I highly recommend this place! The only thing to mention is that the staff only speak French and Arabic. Therefore most communication is hand gestures. But that did it for me.",Riad_Le_Grand_Large,Essaouira
