 June 2022,4,Nice Riad,Large and clean rooms. The hotel was not far from Medina. Breakfast was good. There is no 27/7 reception service but you can enter the building using your key. not all rooms have AC. One of our rooms had only a fan.,hotelName,city
 July 2022,3,Good but not the best,"Starting with the pros: the room is clean, very comfortable bed+sheets+pillows, good AC, tasty breakfast, they provide some kind of homemade olive oil based soap in the bathroom which is nice. The cons: the breakfast is kind of small so you often have to wait for refill of stuff consumed quickly by first comers, they don't provide laundry service neither do dinners (a shame in Rabat knowing it's surprisingly not that easy to find good+cheap+open restaurant doing Morocan food compared to Fes or Marrakech!), the music in the lobby is kind of obnoxious (generic pop/techno) and can be heard from your room in the form of banging noises which is rather unpleasant. Overall not the best but is rather nice, especially for a short, cozy and not too expensive stay in Rabat.",Riad_Meftaha,Rabat
 April 2022,4,Well positioned Riad and good value for money,"Spacious room in a Riad well situated to visit the medina. Simple, clean and well equipped with toiletries. Our only disappointment was the poor recommendation of ‘Dar Naji’ for dinner, a local restaurant whose details they have registered in QR codes dotted around the Riad. We would recommend avoiding this restaurant for anything other than the staple fresh orange juice and mint tea, and rather follow the well researched Lonely Planet recommendations for food.",Riad_Meftaha,Rabat
 April 2022,5,A riad for special guests,"Situated in the center of the Medina, very close to the main entrance to the old city, live, full of restaurants and all kinds of shops. Very close to the tram station, which takes you all around the city. The riad is very cozy and the staff extremely hospitable and friendly. you can enjoy the unique atmosphere of a real riad when having breakfast, which is rich, many fruits, dried fruits as well, hot bread, pies, mint tea, special jams, etc. The rooms are big and clean, argan oil cosmetics in the bathroom, unique decoration, with antique furniture, lamps, rags and colourful pillows. We have been very satisfied with the services offered.",Riad_Meftaha,Rabat
 October 2021,5,Great staff and superb location,"Staff was great and very welcoming. Rooms were comfortable and clean. Breakfast was great (eggs, crepes, fresh juices and jams). The rooftop terrace was really nice. Parking space in the quiet streets. Superb location (close to Rabat Medina and Ocean).",Riad_Meftaha,Rabat
 October 2021,1,Very unprofessional,"Very unprofessional. We booked with booking.com way in advance and made the payment. A few days before they stay they cancelled the booking saying they had no rooms available. Do not recommend, as it can damage all your plans.",Riad_Meftaha,Rabat
 September 2021,5,"Totally Enchanting and Perfect Location - Easy to Find, Quiet, Close to Seashore & Medina","Absolutely the most delightful stay; comfortable, clean and welcoming! Riad Meftaha is a perfect oasis of quiet in the most perfect imaginable location - easy, quick access to the ocean front as well as to the old Medina while being so incredibly easy to find. Truly a perfect stay in every way. (Except it was for only one night!!)",Riad_Meftaha,Rabat
 March 2020,3,Friendly staff,"Friendly staff and good location, rooms are smelly, and breakfast is terible. Roof is not very spatious and without any view. Rooms are spatious, but smelly especially in bathrooms. Riad staff is very friendly and helpfull",Riad_Meftaha,Rabat
 January 2020,5,Nice Riad with friendly service,"We had a very good time here. The Riad organised a transfer from the airport and was also very helpful with restaurant recommendations, trip advice for trains to Cassablanca and any other concerns you could possibly think of. As we had to leave very early in the morning to get to the airport the sweet lady from the team prepared a fantastic lunch packet with a lot of tasty goodies inside. We highly recommend this place.",Riad_Meftaha,Rabat
 February 2020,5,Nice hotel,"Very nice rooms and big clean bathroom, with Moroccan traditional soap as an option next to normal soap. Both cooking and heating system. Calm neighborhood and a nice view over the city in the rooftop terrace. Very friendly staff who could communicate in English as well. It is a bit hard to find though, down a side alley with no light and very small signs.",Riad_Meftaha,Rabat
 June 2022,4,Nice Riad,Large and clean rooms. The hotel was not far from Medina. Breakfast was good. There is no 27/7 reception service but you can enter the building using your key. not all rooms have AC. One of our rooms had only a fan.,Riad_Meftaha,Rabat
 July 2022,3,Good but not the best,"Starting with the pros: the room is clean, very comfortable bed+sheets+pillows, good AC, tasty breakfast, they provide some kind of homemade olive oil based soap in the bathroom which is nice. The cons: the breakfast is kind of small so you often have to wait for refill of stuff consumed quickly by first comers, they don't provide laundry service neither do dinners (a shame in Rabat knowing it's surprisingly not that easy to find good+cheap+open restaurant doing Morocan food compared to Fes or Marrakech!), the music in the lobby is kind of obnoxious (generic pop/techno) and can be heard from your room in the form of banging noises which is rather unpleasant. Overall not the best but is rather nice, especially for a short, cozy and not too expensive stay in Rabat.",Riad_Meftaha,Rabat
 April 2022,4,Well positioned Riad and good value for money,"Spacious room in a Riad well situated to visit the medina. Simple, clean and well equipped with toiletries. Our only disappointment was the poor recommendation of ‘Dar Naji’ for dinner, a local restaurant whose details they have registered in QR codes dotted around the Riad. We would recommend avoiding this restaurant for anything other than the staple fresh orange juice and mint tea, and rather follow the well researched Lonely Planet recommendations for food.",Riad_Meftaha,Rabat
