 January 2023,5,10 out of 10 Stay at Riad Verus! - My favourite place to be in Fes,"My Incredible week and a half spent in this magical place! what can i say, the whole place is decorated, furnished at the most high quality it can be - and love the style about this whole place. The Breakfast at Riad Verus was the best BREAKFAST i had in ALL MOROCCO! you will definitely be skipping lunch. 10 out of 10 experience especially on my first & 3rd night staying here they had wine night which was so cool , and also in the week they did an impressive dinner for all the guest -free of charge! Thank you Riad Verus for your Impeccable Hospitality & to all the Staff. P.S - Unlimited Moroccan Tea! :)",Riad_Verus-Fes_Fes_Meknes,hotelName,city
 January 2023,5,Best Place in Fes,"Excellent place my Favourite place I have stayed in all of Morroco! Rooms are very nice and clean. Hostel organized many activities for free which added a lot. There was a free wine night, free dinner night and a guided tour which was excellent. Breakfast is included and was incredible. Staff were great and accommodating especially zackaria. If your are going to stay anywhere in Fez stay here!",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 January 2023,5,Amazing Riad!,"If you’re looking for a place to stay in the Medina, this is the Riad to visit! Upon arrival, we were greeted with tea & told that we will have a free dinner and tour the following day. Our host Zakaria was very helpful and friendly. He made our stay amazing and answered all the questions we had. Overall, this is an amazing riad :)",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 January 2023,5,Stunning Riad!,This Riad was absolutely beautiful and in a convenient location. They are so hospitable and offered us a free tour of the Medina and a dinner. Definitely recommend this Riad for future travels as you will not be disappointed.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 January 2023,5,Great place to stay in Fez,"I walked in off the street at midnight, expecting to be turned away as I had no reservation. Instead, I was taken in and warmly welcomed. The staff here are amazing, as is the breakfast which is served to everyone and which is almost impossible to finish. Great location too",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 January 2023,5,To you looking for the best place in the old Fes,I'd say this is the best place to stay in Fes. the host person Zach is so kind to guests and I had some good conversations with him at night at the top of the hostel. And he could accept me who arrived late for the checkin time. The breakfast is so tasty and the view from rooftop makes you see feel like you are in Morocco.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,4,"Hospitality, strategic position in Medina and beautiful terrace","The medina of Fes is an endless maze of teeming alleyways, as exciting as they are exhausting. At sunset, after being lost in the souks all day, all you will need is a quiet place from which to admire and breathe the sky to relax a bit. You will certainly be able to experience this sensation on the terrace in Zakaria's riad, an innkeeper who, at the end of your stay, I am sure you will also consider a friend you can trust for anything you want to do in Fes.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,A True Home Away From Home,Riad Veris has an unbeatable location and rooftop terrace. The private room I stayed in had just been renovated and was very comfortable. The breakfast was very nice and the staff even prepared all of the guests a nice family style dinner one night to get us all together. Zakaria really went the extra mile to make everyone feel welcome and created such a great vibe for the guests during my stay.,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,Very nice Riad in Fes,Riad Verus is a really cool place to stay in Fes. The lounge and rooftop are a nice spot to chill and meet other travellers. Zakaria was super helpful and creates a really nice vibe. Would definitely book again!,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,5,Amazing first nights in Morroco,It was my first days in morroco and I had an amazing experience here. Expect cozy atmosphere and the most friendly staff ever at this riad. Especially Zackeriah who made us feel like home. Fully recommend this one👌,Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
 December 2022,4,A stay to remember,"Though my stay was brief, I had a wonderful time here. The building itself was well organised, clean, and the group was incredibly pleasant. If I had to pick a hostel to visit again, it would be this one.",Riad_Verus-Fes_Fes_Meknes,Riad_Verus,Fes_Fes_Meknes
