 June 2022,5,The best of Fez,"We had a wonderful stay at the Ryad. Our guests, Simo and Ikram, gave us a truly Moroccan experience. The place is clean, food is good and is very well managed. They made us feel like part of the family and provided services beyond our expectations. A must if you going to Fez without a doubt …highly recommended",Riad_Zitouna-Fes_Fes_Meknes,hotelName,city
 October 2022,5,Absolutely recommandable!,"The service is excellent. Simo and the cleaning lady were very accommodating and super friendly. Simo gave us great tips for the city. The room was very clean and large. The breakfast was also very tasty. Moreover, you can quickly get to the place if you don't get lost.",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 August 2022,5,Best riad in Fez,"We were three friends visting Fez. The people runing the place was the best, specially Simo. He helped us in every single way, looking for our wellcare in every moment. The place was clean and good-looking. The swimmingpool very nice. Excellent views from the terrace. We would repeat for sure!!",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 May 2022,5,Dinner in Riad Zitouna !!!,"Thank you so much for everything during our Dinner in Riad Zitouna . Simo is really considered and arranged everything well. Nice people and, the very good food I had in Morocco was spectacular and delicious highly recommended.",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 May 2022,5,Fantastic staying,"We have been here for 4 night, the staff has been always super welcoming and nice with us, the place is beautiful, clean and very smart placed for the Medina, you can reach everything nearby, they organize you tours and are always helpful for any advice, breakfast is simply delicious. Thank you! Chiara",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 February 2020,4,Beautiful Riad in a great location,"This is a nice Riad very centrally located. The rooms are a great size and service is amazing. We had a smaller room and they upgraded us for no charge. There’s a pool in the courtyard, which I’m sure is nice for when it is warm. Since I was there in February, it was cool and the pool is not heated. There’s a little hot tub, which didn’t have water in it when I was there. The rooms are clean but a little cold during the winter. They are very accommodating and give you more blankets if need be. The beds and pillows are VERY comfortable. Had one of the best night sleeps in all of Morocco. Only problem is the WiFi in the rooms on the second floor is not very strong. Additionally, since it is easy to get lost in the Medina, the hotel staff will bring you where you need to go (a…",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 December 2019,4,In the middle of the médina,"Stunning patio and great welcoming staff. This is an authentic riad literally in the middle of the médina. The room was spacious and clean, apart from a small accident: some stains on the bed sheets that were kindly changed upon request. The rooftop offers a great view on the médina. The staff will arrange for great private trips around the area and also guides for the labyrinth of the médina, which is a bit of a mess but part of the Fes experience, don’t be scared but pay attention and don’t trust anyone. Breakfast is super good and rich, with local specialties.",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 November 2019,5,Amazing Riad,Riad Zitouna was an amazing place. The location in the heart og Medina was great. Amazingly friendly staff extremely helpful in setting up tours and helping guide us in Medina. Our room was brilliant. Beautiful interior and great views from the roof.,Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 November 2019,5,An amazing week-end in a wonderful place,"I spent one of the most exciting and amazing weekends in Morocco thanks to my stay in this wonderful location. The Riad is located in the center of the Medina, the room was very well decorated, luminous and really spacious. The entire staff of the Riad (Samadi, Fatima) was taking care of us, they were very kind and pampering us. I recommend this Riad without any hesitation and hope to come back soon ✌🏼",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 November 2019,5,Great time,"We were staying in Riad Zitouna for 1 week, during that time we were hosted by a very kind personal especially by Samdi, who was very kind and helpful. He recommended us great places in Fes, Medina which were gorgeous and even arranged us a trip around Morroco. I woudn’t even start about breakfast and tee. Simply amazing!!!",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 November 2019,5,Great relaxing time,"Riad Zitouna is perfect place in middle of Medina, Delicious breakfast with outstanding service.Beutiful location close to all amenities and turist destination .Central place to get lovely souvenirs. All staff members especially Samadi so proffesional and friendly. I really recommended to stay with Road Zitouna.",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 October 2019,5,Great,"Great service, riad with amazing view from the roof, clean and big rooms and open swimming pool all the time. I will really recommend to go there and spend time in Fes - great location in the middle of Medina :)",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 April 2019,5,Beautiful Riad in the Medina,"Riad Zitouna is an amazing place to stay in Fes. My room, which was a standard double room, was beautiful-- and beautifully decorated. The rooftop deck was wonderful and you get a great view of Fes and the Medina. The sunrise and sunset views are great. The breakfast was delicious. Samadi is a great resource person. He is very kind and helpful.",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 October 2018,5,Perfect Riad Experience in Fes,"Riad Zitouna is a gem. You enter the gates from the bustling street into a magical world of understated elegance, a gorgeous tiled interior with a peaceful courtyard and pool. Our room was spacious and immaculate, our breakfast plentiful and delightful. But best of all were the hosts, who were incredibly warm and helpful. Samadi made us feel totally at home, and arranged guides, restaurant reservations, etc. One night we even got to go into the kitchen and learn to cook an amazing Moroccan meal. I wish we could have stayed longer! Thank you Samadi and all the Riad Zitouna staff!",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 December 2018,5,Beautiful riad and great service,"Very beautiful riad, with amazing rooms in a typical Moroccan style, very stylish and curated. It looks like an antique noble residence with superb mosaics and architecture. Right in the middle of the Medina, a few minutes from the blue gate. Very good attention, thanks in particular to Samadi who was very kind.",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 December 2018,5,Wonderful rooms and service !,"We had a very nice stay during 4 nights by the end of December. The weather was freezing in the morning but Samadi and the cooks could always give us warm welcome with breakfasts the Moroccan king would not even imagine !! Very good advice from Samadi all the time for itineraries, sites to visit and no to go. The riad, as a whole, was very nice and well located ! I truly recommend this place for a stay !!",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 February 2019,5,Fez,"It's a beautiful place and absolutely recomandabĺe. Nice and friendly staff who guides you with a smile and kindness. Beautiful and historical sight seings .It deserves top rating for beauty, service, the staff's kindness and help. Absurdly recomandabĺe place for a beautiful vacation.",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 December 2018,5,Amazing beauty and views!,The detail and beauty in each room is unbelievable and the view of the whole city is nothing short of stunning! You will receive incredible care during your stay (above all from Samadi) who shows that he truly values his job and opportunity to give you the best experience!,Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 December 2018,5,not a good way to start holidays,"The host named Abdel Samamad I am not sure if is spelled well the name, but he made our stay better, he was really helpful, really good, anything you need just as k him, he'll make it happen. The rooms are really big like the pics, and restrooms are great. · What I really didn't enjoy was the day we arrived, after a long trip, and walking too much with lots of luggage and kids and baby, we were 11, we were told by the manager that we couldn't stay here, with no explanation and it was late and dark outside, you book a room and someone who is not even present tells you over the phone that you cannot stay here. After clearing things up they finally accepted us and we were given the authorization to stay, they need to sort this one out, especially when I paid almost 500 euros for…",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 December 2017,4,Great value riad in Fez,"This riad had a lovely pool. The breakfast was delicious. We are an older couple and we had our daughter and boyfriend with us, We had a room with two beds separated by a lounge. Our bedrooom had access to the bathroom but they had to go out the door and down some steps to access a bathroom they could use otherwise they would have been coming through our room. So a little bit of a strange configuration. They had a rooftop area which was lovely.",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 May 2018,5,A wonderful home in the Medina,"This riad is so beautiful and its location in the Medina was perfect for me. I found the Medina fascinating and challenging and the riad's location allowed for much exploration. One of the staff helped orient me in the Medina by showing me how to navigate my way to the Bab Boujeloud (The Blue Gate) -- so helpful! The staff, primarily two people, were ever so warm and friendly and took very good care of me! They served wonderful breakfasts, answered questions, shared something of their lives with me -- very special since I very much wanted to meet and get to know at least a few Moroccans and had found that traveling and being a tourist did not easily make this opportunity available. I will be forever grateful! And I hope to return next year with friends and relatives to share…",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 May 2018,5,A Hotel with a Soul,"This is more than a Hotel - it is a place with heart and soul. The Riad is beautiful and so peaceful. Breakfast was delicious and a feast for the eyes. Our host was friendly, professional and attentive to all of our needs. Our suite was huge.",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
 November 2017,5,Authentic and exquisite haven,"This amazingly beautiful riad is indeed the place to take a real break from the bearing down hubbub of this all the more getting hectic life It is worth zipping through those alleyways of the old medina to get to.Once I got in, I was overwhelmed by its bewitching beauty that brings forth the great craftsmanship of those who designed and built such a very outstanding place ! My two top favourite places are the terrace and the ""hammam"".I really enjoyed my stay there;it boosted my spirit and eased away my stress and tension. So peaceful and glamorous! Would be remiss not to thank all those in charge of running and keeping such a marvelous riad!",Riad_Zitouna-Fes_Fes_Meknes,Riad_Zitouna,Fes_Fes_Meknes
