 December 2022,5,A Top Class Resort,"Family holiday with two adult children and stayed for 7 nights through TUI. The food options in the resort were wide ranging and very high quality. The hotel was very clean and was well run. The staff are tremendous, particularly the entertainment staff. Shout out to Nagib, Ismail, Jenna and Risla, who were a delight. There is plenty to do at this resort (eg darts, volleyball, table tennis, aqua fit, pilates), without feeling as if you have to do everything. My son lost his headphones whilst in the pool complex, which he tracked to somewhere in the city, so unfortunately it would appear that these were stolen by someone. An unfortunate end to the holiday, but it wouldn't put us off going back, which we intend to do. The Moroccan people are very friendly and welcoming. …",hotelName,city
 August 2021,5,Rui Tikida palace,"Our trip to Agadir came about through a number of trips being cancelled due to COVID. We have been to Rui hotels before and we weren’t disappointed by our visit to Tikida Palace. When we arrived at around one in the morning, the hotel had left a restaurant open for us to get some food. There were three of us in the entire restaurant and this was an amazing touch by the hotel team. Yes there were some restrictions during our stay, but these were communicated well by the hotel team. There was a good selection of food on the buffet every lunch and evening. Moroccan dishes were always available as well as a huge range of meats, salads and amazing desserts. The bar was well stocked with brand names and the pool bar provided a large range of cocktails expertly Mixed throughout…",Riu_Palace_Tikida,Agadir
 December 2022,4,First time in Morocco,"First time with Tui and the Riu Palace lived up to a high standard. Very impressive entrance and hall. Check inn was easy and quick as we had done it online. Everything was explaned to us and bags were taken straight to rm. Rms were of a good size, clean except air con unit was useless as it made rm hotter than it was outside. Even after complaining nothing was done ended up sleeping with patio doors open on the ground floor which the wife was not keen on. The main pool is unheated and cold and the other pool full of activites and kids. The pool was as cold as sea but welcolming in the midday heat. The resteraunts were excellent and food was plentiful and always fresh. The staff were all very helpful and nothing was oo much trouble. I ust say a special word to Mohammed and…",Riu_Palace_Tikida,Agadir
 December 2022,4,Winter Christmas and New Year's break,"A late booking for a spur of the moment booking. A first being away for both Christmas and New Year. This is a very good hotel, welcoming with very good facilities. The room - 3106. 2nd floor overlooking the pool. A must. Large with a very big bed. Balcony with a view A tad tired, with not enough plugs, a bit dark in decor. However more than adequate with very good housekeeping. Restaurants - breakfast and evening meal plus gala dinners for 2 festive events held in the main one. Food a plenty and more than enough to meet any choosy palate. Lunch and late breakfast plus afternoon snacks in the building close to the sea... it was okay for what was needed. Specialist restaurants need to be booked Krystal is very good with a set menu of choices. The sang for my wife's birthday…",Riu_Palace_Tikida,Agadir
 December 2022,3,Party of 30 booked through TUI.. holiday for new years,"On arrival No welcome drinks no welcoming reception, no help with luggage to rooms. Very long checking in Rooms: clean spacious however black ants can be found throughout the day and night. No toiletries in the rooms. No kettles in the rooms. Different TV options in each room. No ablution facilities for Muslims. Towels are old and worn.. thread bare. No AC, turned off in rooms for winter. However too hot for Europeans therefore AC would be beneficial as an option. Resort on whole nice and clean and wide variety spaces to lounge etc in with extended family. Lots of kids activities. Outside Pools not heated.",Riu_Palace_Tikida,Agadir
 December 2022,4,Busy family hotel,"My husband booked this hotel for 5 nights just before Christmas for my birthday. The hotel grounds are great, the location is very good. You can walk out straight to the promenade which is great for walking. We stayed in a junior suite with a large balcony. The room was very nice and spacious. The bathroom is nice and large, there is a separate walk in wardrobe with a minibar and a kettle. The balcony was very nice and spacious with a side sea view and 2 sun loungers. However we didn't get sun at all for the whole day on the balcony, therefore we didn't use the sun loungers/balcony. (If we knew this we would've booked a cheaper room with a smaller balcony or no sea view, as we didn't get to use it anyways due to no sun at all on the balcony. It might be worthwhile to…",Riu_Palace_Tikida,Agadir
 August 2022,5,AMAZING,"Best hotel we have ever stayed in. Stunning, fresh cleaned rooms every day. Food was spoilt for choice. Staff so helpful & friendly. Plenty of options at the bars. Pool bar was so lovely to sit in the water & cool down.",Riu_Palace_Tikida,Agadir
 December 2022,3,Quite a difficult review. I am sure I would rate higher if visiting at a less 'peak' time.,"Lovely hotel in a great location - centrally on the Croisette in Agadir. Lovely architecture but it is a hotel with bedrooms of 2 halves- they either get alot of sun or none in the winter months. However sun and swimming pool terraces are extensive. The staff have two modes great or standing and talking to each other ! However I do have to say that at peak lunch times , staff make a monumental effort with some difficult and demanding visitors. It's a 5 star hotel- when would it ever be acceptable to behave like a plague of locusts at the buffet? People dropping food and NOT picking it up- why ? Oh, that's what staff are for ?? Food quality is very good. 2 bars in grounds which are busy but served well. Reception, lounge and bar inside are beautiful. Very well appponted. A…",Riu_Palace_Tikida,Agadir
 December 2022,4,Riu Palace Agadir,"Great place, fantastic staff. Everything went great. The property is a little dated, but well looked after. The staff were incredibly helpful and our exclusion to croc o park worked our perfect owing to the help from the staff (almost half the price of what TUI offer it for). Highly recommend.",Riu_Palace_Tikida,Agadir
 July 2022,4,Great place to stay,"If your considering going here, go for it. You wont regret it. Great facilities, great service, good food and drinks. Big spacious and clean rooms. Although it was busy it didnt feel crammed or chaotic because everything was plentiful and well managed.",Riu_Palace_Tikida,Agadir
 December 2022,5,A Top Class Resort,"Family holiday with two adult children and stayed for 7 nights through TUI. The food options in the resort were wide ranging and very high quality. The hotel was very clean and was well run. The staff are tremendous, particularly the entertainment staff. Shout out to Nagib, Ismail, Jenna and Risla, who were a delight. There is plenty to do at this resort (eg darts, volleyball, table tennis, aqua fit, pilates), without feeling as if you have to do everything. My son lost his headphones whilst in the pool complex, which he tracked to somewhere in the city, so unfortunately it would appear that these were stolen by someone. An unfortunate end to the holiday, but it wouldn't put us off going back, which we intend to do. The Moroccan people are very friendly and welcoming. …",Riu_Palace_Tikida,Agadir
 August 2021,5,Rui Tikida palace,"Our trip to Agadir came about through a number of trips being cancelled due to COVID. We have been to Rui hotels before and we weren’t disappointed by our visit to Tikida Palace. When we arrived at around one in the morning, the hotel had left a restaurant open for us to get some food. There were three of us in the entire restaurant and this was an amazing touch by the hotel team. Yes there were some restrictions during our stay, but these were communicated well by the hotel team. There was a good selection of food on the buffet every lunch and evening. Moroccan dishes were always available as well as a huge range of meats, salads and amazing desserts. The bar was well stocked with brand names and the pool bar provided a large range of cocktails expertly Mixed throughout…",Riu_Palace_Tikida,Agadir
 December 2022,4,First time in Morocco,"First time with Tui and the Riu Palace lived up to a high standard. Very impressive entrance and hall. Check inn was easy and quick as we had done it online. Everything was explaned to us and bags were taken straight to rm. Rms were of a good size, clean except air con unit was useless as it made rm hotter than it was outside. Even after complaining nothing was done ended up sleeping with patio doors open on the ground floor which the wife was not keen on. The main pool is unheated and cold and the other pool full of activites and kids. The pool was as cold as sea but welcolming in the midday heat. The resteraunts were excellent and food was plentiful and always fresh. The staff were all very helpful and nothing was oo much trouble. I ust say a special word to Mohammed and…",Riu_Palace_Tikida,Agadir
 December 2022,4,Winter Christmas and New Year's break,"A late booking for a spur of the moment booking. A first being away for both Christmas and New Year. This is a very good hotel, welcoming with very good facilities. The room - 3106. 2nd floor overlooking the pool. A must. Large with a very big bed. Balcony with a view A tad tired, with not enough plugs, a bit dark in decor. However more than adequate with very good housekeeping. Restaurants - breakfast and evening meal plus gala dinners for 2 festive events held in the main one. Food a plenty and more than enough to meet any choosy palate. Lunch and late breakfast plus afternoon snacks in the building close to the sea... it was okay for what was needed. Specialist restaurants need to be booked Krystal is very good with a set menu of choices. The sang for my wife's birthday…",Riu_Palace_Tikida,Agadir
 December 2022,3,Party of 30 booked through TUI.. holiday for new years,"On arrival No welcome drinks no welcoming reception, no help with luggage to rooms. Very long checking in Rooms: clean spacious however black ants can be found throughout the day and night. No toiletries in the rooms. No kettles in the rooms. Different TV options in each room. No ablution facilities for Muslims. Towels are old and worn.. thread bare. No AC, turned off in rooms for winter. However too hot for Europeans therefore AC would be beneficial as an option. Resort on whole nice and clean and wide variety spaces to lounge etc in with extended family. Lots of kids activities. Outside Pools not heated.",Riu_Palace_Tikida,Agadir
 December 2022,4,Busy family hotel,"My husband booked this hotel for 5 nights just before Christmas for my birthday. The hotel grounds are great, the location is very good. You can walk out straight to the promenade which is great for walking. We stayed in a junior suite with a large balcony. The room was very nice and spacious. The bathroom is nice and large, there is a separate walk in wardrobe with a minibar and a kettle. The balcony was very nice and spacious with a side sea view and 2 sun loungers. However we didn't get sun at all for the whole day on the balcony, therefore we didn't use the sun loungers/balcony. (If we knew this we would've booked a cheaper room with a smaller balcony or no sea view, as we didn't get to use it anyways due to no sun at all on the balcony. It might be worthwhile to…",Riu_Palace_Tikida,Agadir
 August 2022,5,AMAZING,"Best hotel we have ever stayed in. Stunning, fresh cleaned rooms every day. Food was spoilt for choice. Staff so helpful & friendly. Plenty of options at the bars. Pool bar was so lovely to sit in the water & cool down.",Riu_Palace_Tikida,Agadir
 December 2022,3,Quite a difficult review. I am sure I would rate higher if visiting at a less 'peak' time.,"Lovely hotel in a great location - centrally on the Croisette in Agadir. Lovely architecture but it is a hotel with bedrooms of 2 halves- they either get alot of sun or none in the winter months. However sun and swimming pool terraces are extensive. The staff have two modes great or standing and talking to each other ! However I do have to say that at peak lunch times , staff make a monumental effort with some difficult and demanding visitors. It's a 5 star hotel- when would it ever be acceptable to behave like a plague of locusts at the buffet? People dropping food and NOT picking it up- why ? Oh, that's what staff are for ?? Food quality is very good. 2 bars in grounds which are busy but served well. Reception, lounge and bar inside are beautiful. Very well appponted. A…",Riu_Palace_Tikida,Agadir
 December 2022,4,Riu Palace Agadir,"Great place, fantastic staff. Everything went great. The property is a little dated, but well looked after. The staff were incredibly helpful and our exclusion to croc o park worked our perfect owing to the help from the staff (almost half the price of what TUI offer it for). Highly recommend.",Riu_Palace_Tikida,Agadir
 July 2022,4,Great place to stay,"If your considering going here, go for it. You wont regret it. Great facilities, great service, good food and drinks. Big spacious and clean rooms. Although it was busy it didnt feel crammed or chaotic because everything was plentiful and well managed.",Riu_Palace_Tikida,Agadir
 December 2022,5,Winter Break in Agadir,"Stayed for a week in Riu Tikidia Palace Agadir. It was an absolute dream. The room was large with inside and outside patio seating area. The pools and outside area was immaculate and peaceful and very very well maintained, What I liked most about the hotel was the large number of seating areas inside and out where you could unwind and read a book. The staff were very friendly and always on hand to serve you when you needed anything. Highly recommend this hotel and will definitely be back. W",Riu_Palace_Tikida,Agadir
 December 2022,4,Lovely stay at Tikida Agadir,The lobby area and outside pool area are beautiful the rooms however are tired and need refurbishment. Our room was dusty and the shower fixtures felt dirty. The location is however perfect and connected to the corniche and beach and very close to the marina and various restaurants and shops. The heater indoor pool and gym are excellent facilities. Slightly disappointed that at an all inclusive five store hotel use of the sauna required an additional charge. Once checked in we were not offered help to our rooms by a member of staff and bags and were just told which direction the rooms were despite the hotel being huge. We initially got lost and had to come back and ask for help. The food at the restaurants was average but the staff were good and were constantly cleaning up and…,Riu_Palace_Tikida,Agadir
 December 2022,3,Dissapointed,Currently staying at the Palace for the 5th time and what a disappointing stay so far. Normally this hotel is so chilled and relaxing even at this time of year but not now! Kids are running around the bar area and main lobby f from early morning until late evening. Not only is this loud and annoying but it is a health and safety issue for the poor waiters carrying glasses on trays etc. make sure you order a coffee early as you will be waiting at leat 10 minutes until it arrives in the morning in the lobby and at lunch time/evening you no longer get your wine in a bucket nor is it poured for you. What’s happened???? I know I sound like a snob but when you pay more and expect 5 star and it definitely isnt anymore it’s disappointing. Think it’s time for a change next year!,Riu_Palace_Tikida,Agadir
 December 2022,5,Relaxing winter sun holiday,"We've just returned after a wonderful 7 night stay at the Riu Tikida Palace and I wouldn't hesitate in saying we'd definitely go again. After 3 nights in Marrakech, we were ready for relaxing in the sun and the hotel was perfect for that. Positioned close to the beach (with just the narrow promenade between the hotel gardens and the sand) meant we could easily stroll along the shoreline or sit on the hotel sunbeds. The hotel grounds are beautifully laid out offering a mix of seating areas with loungers, tables and chairs, comfy sofas and large sunbeds. The food was excellent and there was something new to try every day; the tagines were particularly good. As many other reviews have mentioned, the staff at the hotel were awesome. Everyone was friendly, helpful, polite and…",Riu_Palace_Tikida,Agadir
