 August 2022,4,Good choice,Sofitel is our favorite hotel to stay in Essaouira. We love that it is away from the city in yet still close. The grounds are breathtaking. You can get rooms with views on the Atlantic. However Corona has left the hotel in a bad shape. We heard there are new owners so looking forward to the new changes. The pool has no pool tiles and they are quite sharp. My kid had a bad cut from those tiles,hotelName,city
 January 2023,2,Dirty and old,"This place is dirty, not maintained and smelly. Our room smelt like ashtray. The furniture was worn down. This place has not been refurbished for 20+ years. The lunch bar by the pool smells like cat urine. It is a shame considering the really nice area and its closeness to Essouira.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 December 2022,5,Perfect Sunny Christmas stay at the Sofitel 🌞,"Such a delight to be able to stay at the Sofitel Essaouira again after so long! I had the pleasure of being looked after by marveloss Souad and Nadia, both beautiful ladies welcomed me in a wonderfully professional, warm and super friendly way! A Big thank you to the management, Amani Mohamed and Nabil Benjelloun for making sure I had an excredibly stay! Thank you to the entire fantastic staff for their hard work and dedication! Unfortunately I cannot remember everyone’s names so I will go by departments... like the men who helped me with my luggage and the lovely taxi driver Anas, the cleaners who cleaned my room, the team who served the delicious breakfast and lovely Younesse in the spa and finally I am super excited to see Siham is now working for the sofitel she's amazing…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 November 2022,5,Excellent,Good hotel with very nice personnel I loved the two days I spent there Staff is professional and knows how to provide service Breakfast is good with variety of food Swimming pool is big and very clean,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2022,1,Disappointed,"They bathtub wasn't clean in most of our rooms, so we didnt use it. We used the shower and since there is isnt a door on it, the whole room becomes humid. The room was hot and several of us changes rooms twice. They said Europeans like it hot and its catered for them. However, we couldn't tolerate it. Also, the concierge put another groups bag in our bus. They called us two hours later realising. We of course stopped the bus and checked the bags and our guide returned it somehow later the next day. The room has no slippers. Some asked and got it, others asked and their request was denied. There is no iron in the rooms. So we asked for one and got it after 3 reminders and going to the desk. Must admit the lobby was cool and so was their breakfast. Overall Sofitel is…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2022,3,Room for Improvement,"The good part: Our room was pretty nice and large. Bed was comfortable. The less good part: It could/should be much better maintained. The carpets in the hallways are getting old and represent a safety hazard; One of the pool was beyond dirty and unusable; exteriors in general could use some clean up... But the one thing which annoyed me the most is that they have a music playlist with roughly 4 songs running at the pool. needless to say that after 1 hour you can't stand it any more. I complained about it and they said they will look into it but the next day, nothing had changed... This is unfortunate because the location offers so much potential.",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 October 2022,1,The hotel is in terrible situation.It seems like it is no one is care about the maintance. it is not 5 star hotel!!!,"The hotel management is aware that the rooms are smells like ruten eggs. they adopted ""no maintenance ""policy... It is highly overrated and over price. If you want to enjoy your stay, go to another hotel!!!! It is NOT 5 STAR HOTEL!!!!!!!!!!!",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2022,4,New experience!,"The property itself is good though it needs some maintenance when it comes to hygiene especially the corridors and part of the rooms they smell quiet humid. The value for money is poor we consider it expensive for the options you get,you have to pay for every single thing including small bottle of water by the pool and access to indoor pool. However the staff there are nice and helpful,they do what they can to make customers happy,and let me talk about the guy in the lounge,his name is ANOUAR,he is soooo helpful respectful welcoming and genuine,he knows essaouira like the palm of his hand he gave us plenty of information and the way he talks and welcomes customers is sooo special and he doesn’t h expect anything in return but customers happy. If we ll return he will be one…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 September 2022,3,A plea to Accor,"This is a message for the Accor group. The Sofitel in Essaouira should be one of the star hotels in your portfolio. It is in a unique setting with stunning views to the Atlantic over a golf course and coastal forest. The hotel when it opened was simply perfect with rooms designed with style and comfort in mind. The pools are sublime and there’s golf, tennis, surfing, kitesurfing available within 5 minutes’ drive. The staff are caring, friendly and professional. I loved staying here. So with all of these advantages and assets why has the Accor group not carried out any renovation work to the hotel over the last 5+ years? Shame on you Accor! The hotel is now dated with chipped furniture and bathroom fittings, old sun loungers and is desperately in need of painting and renovation…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2022,1,Bugs inside the shower,"I booked my stay with you because it was the anniversary with my husband and I specifically asked for a nice room. When I arrived at check in I was told that I had made the reservation for the month before and that it had gone on no show. I state that no one has ever notified me of this no show, if I had known by email I would have acted immediately. Unfortunately it was my mistake but I asked the front office manager to give me a discount or help me with the price because only suites were available and I would have paid double of what I booked. I was given a discount of around € 60,00 and promised a nice room with an ocean view. First of all I was shocked that you didn't give me a credit with the money from the previous booking but I didn't want to ruin my vacay and I went to…",Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
 August 2022,4,Good choice,Sofitel is our favorite hotel to stay in Essaouira. We love that it is away from the city in yet still close. The grounds are breathtaking. You can get rooms with views on the Atlantic. However Corona has left the hotel in a bad shape. We heard there are new owners so looking forward to the new changes. The pool has no pool tiles and they are quite sharp. My kid had a bad cut from those tiles,Sofitel_Essaouira_Mogador_Golf_Spa,Essaouira
