 January 2023,5,Best decision of 2023,"We went on a chilling holiday trip for 3-night. It is an all-inclusive hotel and is 20 minutes from the city centre which we wanted, the hotel has a shuttle you can book by letting reception know. The hotel is clean, and friendly and has a warm welcoming atmosphere as soon as you enter. The staff is AMAZING and very accommodating, they go out of their way to help. The rooms are clean and roomy clean lines with tiled floors. I had to move as I did want to be near the entertainment which the hotel changed for me, so if want the same do not get rooms in front of the pool area. Every day the food has a theme of Italian, French, Morocco, etc. The only thing is if do not drink dairy then you need to make them aware of this as other types of milk will need to be arranged by them with…",hotelName,city
 November 2022,5,Sol Oasis paradise!,"Well we have just had a most wonderful 2 weeks at the Sol Oasis. The reviews we read were unanimously positive, and we must agree. Being our first foreign holiday since Covid, we only got our passports renewed this July, we were rather apprehensive of even travelling anywhere, let alone flying again to North Africa. But everything went well. The hotel was refurbished last year, and I can honestly say that we had no issues at all with anything at the hotel. The room was excellent, everything functioned perfectly including the lighting, door entry, bathroom and shower, fridge, and an ace foolproof safe. The cleaner was lovely, almost every day you could set your clock by the regularity of her visits, plus her cheery smile. Reception staff, often a letdown, were efficient and…",Sol_Oasis,Marrakech
 January 2023,5,Excellent 5 star review,"Excellent hotel, very friendly staff in sll departments. House keeping, waiting,bar staff& the excellent entertainment team. Food delicious & creative menu food & drinks available all day until 11pm. Grounds are beautifully kept & the cleanliness of the hotel was exemplary. We thoroughly enjoyed our stay & would gladly return .",Sol_Oasis,Marrakech
 January 2023,5,A Jewel in the Desert,"Sol Oasis Marrakech was a very special place to stay the staff were the friendliest most helpful staff and the hygiene and cleanliness of the whole resort was excellent. We had all inclusive and there were always new dishes to try out of the amazing food selection, we will definitely come back and bring our families.",Sol_Oasis,Marrakech
 January 2023,5,Perfect stay,"We couldn't recommend more highly our holiday at Sol Oasis. We stayed there for a week with our 3 years old boy, all inclusive and we couldn't have hoped for a better stay. The location and rooms are stunning with the sight of the Atlas mountains. The quality of the entire hotel and food were absolutely divine. We use the sport facilities everyday and had fun with archery, tennis, pétanque, football and ping pong. The swimming pools and paddling pool for children were fantastic. Every night there is entertainment and shows of great qualities. We have already told our friends and will come back for sure.",Sol_Oasis,Marrakech
 December 2022,5,The best holiday resort ever I been,"The best 4 star resort in Marrakech. I would love to give 5 stars. We went 2 family togeather for xmas break 7 days. Fantastic food and drink through out the day, beautiful ambience, very clean every where, excellent customer service and the etertainers are awesome. Entertainers- Wahiba, Fatima, Sam, Susue and few more(forgot their names) absoluteley lovely people... We would book again soon and meet you all... From Raj & Gayathri (Ranji family)",Sol_Oasis,Marrakech
 December 2022,5,Fantastic!,"We stayed at this lovely resort for the new year 2023 and had a very lovely time . The resort is very well maintained and staff are lovely . All entertainment staff are super awesome .. Fatima , Abdul and Mike ( Michael Jackson tribute dancer) to be specific ! Hicham , the tour organiser could arrange any tour as per our need! Will definitely visit again and recommend this amazing place !",Sol_Oasis,Marrakech
 December 2022,5,Amazing facility and team that makes it wonderful,"We booked Sol via Loveholidays. This was just a random attempt to book a nice holiday for six families (24 people). It was a mix of all age groups of children and teens and uni students (Age 12 - 24) and 12 Adults (Age 42-50). The Resort: Outstanding facilities, decor, ambience, restaurants, pools, activities, cleanliness, processes, staff. Simply the best. The Staff: One of the most happy and involved staff across restaurants, services, facilities, housekeeping, reception, baggage, events, activities, gardens etc. The Events: The diligence with which the 12 people who manned and performed at all events was so heartening to watch. Very talented, humble, inspirational, skilled and all rounder personalities. Loved interacting with Sam, Mike, Niako, Russ, Sousou, Faty, Dounia,…",Sol_Oasis,Marrakech
 December 2022,5,One of the best hotels in Marrakech,Really loved everything about this hotel. The hotel is maintained really well and is very clean. The food is amazing and there is food available from 7 Am till 10 PM. The staff are very friendly and helpful. Would highly recommend this hotel,Sol_Oasis,Marrakech
 December 2022,5,Marrakech’s holiday,"Me and my family we like the hotel ,the food is nice,rooms are clean,the entertainment witch was amazing they do lot of efforts,the shows and the activities are good, i want to thank fatima for being kindly to us we love you 😘",Sol_Oasis,Marrakech
 December 2022,5,Holiday with family,"We had amazing holiday in Marrakesh,me and my big family we enjoyed lot : the shows ,day entertainment was super good ,fati was really kind and lovely to us , food excellent lot of Choices, rooms are clean and nice,we had nice time at the Christmas Thank you",Sol_Oasis,Marrakech
 December 2022,5,Holidays at sol oasis,The Hotel is very clean and the stuff is very kind and has good attention. The entertainment is very good and there are a lot of shows and events. There are a lot of sport things to do and there are always animateurs that will morivate you to do some sports. The gym is also very clean and there are always employees that will take care of you.,Sol_Oasis,Marrakech
