 October 2022,5,"Amazing riad, a must when visiting Morocco","There are no words to describe this amazing riad, or better say magical castle! It is incredibly decorated, both in the common spaces and the rooms. The food is authentic and you can not imagine how delicious it is, both breakfast and dinner! But above all is the warm hospitality that will truly make you feel like you are with family. I highly recommend staying here. There are the cinema studios near by that will make for a great attraction. I know I will be back!!!",hotelName,city
 September 2022,4,Great place to stay,"I stayed here for two nights as part of a group travelling through Morocco. The staff were all friendly and helpful, and one young woman serving us our meals was particularly helpful - I’m sorry I didn’t get her name. Our meals were served in the courtyard, a pleasant oasis in the heat. The food was delicious and well prepared. The pool was a nice place to cool off after a long day outside the hotel. My room had everything I needed, although it was dark due to having only two small windows. But every room in the hotel is different and some rooms had great views over the town and surrounding area. The one negative about the hotel would be the number of stairs to get around the place, all with steps of different heights and of differing materials. The lighting was poor in…",Dar_Daif,Ouarzazate
 July 2022,5,Excellent accommodation!,"Excellent accomodation! The road to Dair Daif does not give a way you are going to enter a little sanctuary. Beautiful, super clean, comfortabel beds, and the decoration throughout the house are unique! We only stayed for one night as a stop before heading to Tinghir and Merzouga but I would not have mind staying longer. Breakfast and dinner were excellent. There’s a pool to cool down in garden. We got good tips from the owner on things to visite in the area. Staff were all 1 by one 1 super polite, friendly and helpful. Don’t hesitate, it’s really worth the stay! Thank you for the cumin and cookies!",Dar_Daif,Ouarzazate
 March 2022,5,Beautiful place to be still,"This is an exquisite place to spend a few days detoxing from the weariness of life. It is clearly a labor of love handcrafted over decades by its French ex-pat owner, Jean-Pierre and his Moroccan family. Every room, every detail is thoughtfully designed to convey the ambiance of an oasis in the desert. I encourage you reserve a room with a balcony, otherwise the inside rooms can feel rather claustrophobic. The pool is also quite small, but suffices as a way to cool off from the dusty heat. Breakfast was excellent and full of delicious variety. The only down-side is that the B&B's secluded location makes it costly to taxi back and forth to the town of Ouarzazate or the airport. When I checked out, I had a nice conversation with the owner regarding their struggle to keep the…",Dar_Daif,Ouarzazate
 May 2022,5,A 'Gem' !,"This exotic Riad with stunning views, delicious traditional Moroccan food, the most kindest and welcoming people to serve your every need is an absolute 'gem' in this fascinating region at the edge of the High Atlas, where desert and mountains meet! Beautiful authentique Moroccan designed suites with customised service is a little slice of paradise. Tailored daily trips accompanied by experienced guides with a wealth of regional knowledge is a pure delight - I highly recommend the Valley of Roses , ask for Ali! Treat yourself to a traditional Hammam scrub followed by a relaxing massage and you will have the best night sleep! It was a pleasure to stay in Dar Daif, to meet Jean Pierre and his team, to feel so welcomed particularly after spending 3 years in this country through…",Dar_Daif,Ouarzazate
 March 2022,5,Great Hotel! Service exceptional !,"Chose this hotel instead of other because of the reviews and i am glad i did it! Located in a remote area outside of Merzouga. Service was fantastic in all area - check in, luggage,ability to choose the room , room was amazing and spacious. Regarding food - dinner was ok plus, only downside was the chicken that was served for main course to us (other guests got couscous,guess i needed to request, although i thing you should not make differences between guest. I am in Morroco- i want local food not chicken! ) . Breakfast was nice but here again they offer regular omlette and not for example berber omlette which is local! Anyway i still give them 5 stars as they are going out of their minds just to serve you efficiently and kindly. Good work!",Dar_Daif,Ouarzazate
 January 2022,5,Moroccan Holiday Magic,"From the moment you enter you will immediately feel at home in this beautiful and charming Riad, set in a quiet neighborhood on the edge of Ouarzazate. The reception area opens to a stunning courtyard offering the coolness and calm of sheltered patios and a swimming pool. Rooms are decorated in stunning Moroccan style, extremely comfortable and come with all amenities. There are several levels to the Riad and it's fun to explore the many areas including a library and the dining rooms. Dar Diaf’s restaurant prepares delicious, traditional meals, a true highlight of my stay, including a freshly prepared breakfasts to start each day. I was so impressed at the exceptional level of warm and friendly hospitality and on short notice, the team arranged day-trips for me during my…",Dar_Daif,Ouarzazate
 December 2021,5,Amazing place with amazing hosts!,"We stopped by Riad Daïf for a night on our way to merzouga, we were by Bouchra who installed us in our cosy room and took note of our choices for dinner, We were in a very nice and clean room with everything to feel confortable, We had dinner and had the chance to meet Jean Pierre, the owner, passioned by morocco and respectul to its people and culture...he welcomed us warmly and suggested to show us some must seen places. After a relaxing night, we had a wonderful breakfast on the terrace where Laila and Naoual served us warm soup and fresh fruits and more... Jean Pierre is an inspiring person and meeting him was a real pleasure! We would definitely recommend the place to discover Ouarzazate and surroundings...",Dar_Daif,Ouarzazate
 July 2021,5,A unique place with unique staff,"A very special place. Incorporated into its surroundings in a very respectful and humble way, yet, without losing the high standards. The aesthetics and the architecture transmit a very deep thought that concerns every detail. Jean Pierre, the owner is an incredible person who with utmost generosity shared his immense knowledge of the region. The staff had helped us finding specific places that interested us in the area and was generous and communicative. We will be very happy to return soon.",Dar_Daif,Ouarzazate
 December 2020,5,Dar Daïf,"What a beautiful and tranquil environment for a well deserved experience in Ouarzazate,Morocco Gorgeous Kasbah with very helpful staff and delicious food not to mention the best service and beautiful grounds. The rooms are traditionally decorated and breakfast on the terrace is a gift. I will be back, Madeleine 2020",Dar_Daif,Ouarzazate
 October 2022,5,"Amazing riad, a must when visiting Morocco","There are no words to describe this amazing riad, or better say magical castle! It is incredibly decorated, both in the common spaces and the rooms. The food is authentic and you can not imagine how delicious it is, both breakfast and dinner! But above all is the warm hospitality that will truly make you feel like you are with family. I highly recommend staying here. There are the cinema studios near by that will make for a great attraction. I know I will be back!!!",Dar_Daif,Ouarzazate
