 December 2022,5,Absolutely perfect!,Came here with my friend after doing 4 days in Marrekch and was definitely the perfect balance to the busy city. It’s about 30-45 min outside of the Fes Medina but don’t let that stop you from coming. The owner is incredibly helpful in accommodating and planning trips in and out of the Medina and scheduling guided tours. He arranged a fantastic Medina tour for us one day with Farida (an incredible guide) and also a day in Bhalil with a local guide there as well. The staff is super accommodating and the meals were some of the best meals I’ve ever had. The view is absolutely incredible and the rooms are up to date and brand new. Overall 10/10 and can’t wait to come back here again!,Dar_El_Mandar_Farm-Fes_Fes_Meknes,hotelName,city
 December 2022,5,Wonderful stay,Stayed here with a friend and loved everything about it! This was my favorite hotel I stayed at while in Morocco. If you’re looking for a slower pace 10/10 recommend. The staff is super accommodating and there are one of a kind views around the hotel.,Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 November 2022,5,Oasis of tranquility,"Dar el Mandar is a true oasis of tranquility and hospitality nestled away into a mountain side with a stunning view of Fez and the surrounding plains. The property is designed with great attention to detail - minimalism paired with traditional Moroccon style. It is elegant and luxurious, but down to earth at the same time. We spent 2 nights here to enjoy a full-day break of relaxation, sandwiched into an otherwise pretty packed itinerary of exploring Morocco. We couldn’t have been happier with our decision. Dar el Mandar was the perfect place to find some peace and quiet, and to recharge our batteries before diving back into the bustle of Fez. The rooms are clean and tastefully furnished, the staff was extremely attentive and they served excellent food as well. If we ever come…",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 November 2022,5,idyllic setting,"Dreamy location, the staff is very nice. I’ve visited this spot many times since I live in Fez and I’m never disappointed. I recommend this spot 100% the food is excellent and the rooms also. Moreover, you’ll have the best and typical Berber and Moroccan dishes.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 October 2022,5,Excellent introduction to a stay in Morocco,"We stayed here for the first three nights of a week in Morocco. It provided a perfect introduction to the country before the more than rewarding challenge of visiting Fez. The property has a great location high up in the hills, so it is very relaxing. The rooms are comfortable, and the meals, evening and breakfast are excellent. Alaa and Hamza (I hope that I’ve got their names right) were perfect hosts – most welcoming and friendly. There is a great ambience to this place, and we can recommend it most highly. By the way, we’d recommend a visit to the nearby town of Sefrou, particularly if you can get there on a Thursday for the souq, which adds to the great shopping opportunities.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 October 2022,5,A perfect Sunday lunch,"We really enjoyed a sunday lunch at Dar el Mandar with our two families! A great atmosphere, friendly host and above all, lovely food. I would highly recommend this place, well worth the trip from Fes.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 October 2022,5,"Great staff, great view, great rooms","Adam and the rest of the staff were great! Everyone was very attentive and welcoming. The place was gorgeous, clean, and had an amazing view. Great price for the quality of service and the rooms. Highly recommend if you’re traveling around Morocco or just want to get out of Fes for a weekend",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 October 2022,5,Paradise on Earth!,"Dar El Mandar is an absolute gem! It’s paradise on Earth just outside of Fez! (The sparkling lights of Fez in the distance at night is a sight to behold!) Don’t miss this magical place and the experience of all the activities they offer. Dar El Mandar is beautiful, with fantastic and super comfortable rooms. It also has a beautiful infinity swimming pool. And you can enjoy the sweeping views of the valley surrounding Fez from everywhere on the property. The food is authentic and made the best quality ingredients and is truly delicious. And I really appreciate Jaoued and his team because they go above and beyond to offer the warmest and friendliest hospitality. We look forward to coming back soon! Thank you, Jaoued for being such a wonderful host and making our stay so special!",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 September 2022,5,Lunch with a view,We had the most beautifull and delicious lunchexperience. The view from Dar el Mandar is absolutely amazing. The people working there were al very kind and helpfull. The food was amazing and well worth the money. We will defenitly go back!,Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 June 2022,5,Incredible,"The best place I've visited in Morocco. I went there with my mom, aunt and grandmother and we all fell in love with the place. The food is traditional Moroccan dishes and even though my family is Moroccan and it's hard to please them because they are very good cooks, they loved it. I highly recommend this place if you want to relax and meditate.",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
 August 2022,5,Lovely experience,"I had a wonderful experience at Dar El Mandar. A wonderful place with a breathtaking view.Every staff member We encountered were delightful, very nice ,and eager to help! Thank you❤️! I totally recommend !",Dar_El_Mandar_Farm-Fes_Fes_Meknes,Dar_El_Mandar_Farm,Fes_Fes_Meknes
