 October 2022,4,Nice riad in a nice locality,"The riad is located in a nice locality, very close to the beach and kasbah of the udayas. Riad is nice, room is also nice, the breakfast is also nice. The bathroom is clean and has a electric water heater which is always on, so there is hot water all the time(24 hours)The staff are friendly and hospitable. The stay was comfortable. Overall, nice experience. I recommend this riad.",hotelName,city
 August 2021,5,The Top,I tried many hotel in Rabat unfortunately I didn't feel comfortable but finally i was lucky to find Riad Dar Alzouhor really it was exactly 💯 what I am looking for .. coz early curfew in Corona and stay most of time in the hotel so I need to spend amazing time there.. the staff were very kind and flexible to listen to our suggestions .. Its like you live with your family as well. This review is the least thing I can express my gratitude. لقد جربت العديد من الفنادق في الرباط ، للأسف ، لم أشعر بالراحة ولكن أخيرًا كنت محظوظًا لأنني وجدت دار الزهور حقًا كان ذلك بالضبط 💯 ما أبحث عنه .. حظر التجول المبكر في كورونا والبقاء معظم الوقت في الفندق لذلك أنا بحاجة لقضاء وقت رائع هناك .. كان الموظفون لطفاء للغاية ومرنين لسماع اقتراحاتنا كما لو كنت تعيش مع عائلتك أيضًا. هذه…,Dar_Zouhour,Rabat
 July 2022,5,BEAUTIFUL PEACEFUL RETREAT IN QUIET MEDINA AREA,"This riad is set in a quiet part of Rabat's medina with white-washed walls and very clean streets. Inside is a traditional riad with a courtyard garden surrounded by rooms for seating and sleeping. The rooms were elegantly furnished, clean with good beds and linen. The shower was excellent and air-con functioned well. Breakfast was a mix of pastries and local dishes with orange juice and coffee all served in the courtyard. Staff were very helpful and friendly. Easy walking distance to the medina, sea front and places to eat.",Dar_Zouhour,Rabat
 May 2022,5,Wonderful lodging in the Medina,"Spent a lovely night in this wonderful spot. The owner/hostess is absolutely delightful, and worked to make sure everything was perfect. She greeted us with mint tea and served a lovely breakfast. If you can, get one if the beautiful tiled rooms just off the central garden.",Dar_Zouhour,Rabat
 April 2022,5,Charming and Restful,"A lovely Riad that is located in a very accessible/central location. It is a welcoming oasis of warmth and hospitality. The courtyard at breakfast is a wonderful way to begin the day with sunshine, plantings and excellently prepared food! It was also our first overnight in Morocco. A lovely beginning to our travels. And after three weeks of travel, it remains very high on the list.",Dar_Zouhour,Rabat
 March 2022,5,Charming Riad,"Dar Zouhour is where we spent our first night in Morocco. It was magical to enter this calm and beautiful space after a long flight and then drive through Casablanca to Rabat. Our room was right off the main ""riad"", which is similar to an atrium, yet it was quiet and very comfortable. The rich decor was authentic Moroccan and absolutely lovely. The breakfast was very tasty. The host was welcoming, kind and helpful. Location was picturesque and convenient. I wish we could have stayed longer.",Dar_Zouhour,Rabat
 February 2022,5,Charming hidden gem in Rabat,"Beautiful decor, clean and very charming Hidden off a central well lit alley in the Medina. Walking distance to the Kasba,beach, market, shops and restaurants Delicious and plentiful breakfast. Owner is friendly, accommodating, and gave us a great supper suggestion!",Dar_Zouhour,Rabat
 November 2021,4,Quiet & calm find,"Very welcoming 8 room riad in midst of Rabat Medina. Very friendly host actually went out to shop for our evening meal which she prepared. Nice meal & wine & beer available (not always possible in Morocco riads). Nice, clean accommodations at fair price. Only slight downside: like many stays in Morocco they try to insist on cash payment at check-out. The card machine is ""not working"" etc...A ploy to not report the transaction or pay the card fee. An ongoing issue all over Morocco. Make sure to clear up this issue when checking in.",Dar_Zouhour,Rabat
 October 2021,5,Amazing calm And Clean Riad in Rabat Medina,"I left a 5 star super fancy hotel in Rabat for this Riad!! If that doesn’t say it all, well this Riad manager by super kind Nora, Imane and Fatima is a super clean piece of calm in the Medina. Very practical to get there as a main road is nearby 2min. Definitely recommend it! And next time in Rabat I know where to book already",Dar_Zouhour,Rabat
 February 2020,5,Tucked away in the quiet part of the medina,"Ideally located - in the old medina but just far enough away from the hussle of the busier streets. Smart furnishings, pleasant roof terrace, excellent wi-fi, comfortable bed and a good breakfast of bread, pastries, honey, jam and fruit. I'd be happy to stay here again.",Dar_Zouhour,Rabat
 November 2018,4,Friendly warm welcome,Service here was second to none! Friendly family business that went out of their way to ensure we had a pleasant stay. The Riad was so beautiful and the rooms so comfortable. I would definitely choose to stay here or recommend to anyone. Location was handy to everything you want to see or do in beautiful Rabat.,Dar_Zouhour,Rabat
