 December 2022,4,Holiday in Tanger - Awesome service,"This was our first time stay here, although I did stay at the next door Hilton once before. I must say the staff here were all Supa amazing & gave us a customer deserving treatment of note! They acted on every request and delivered even more than requested. We need to mention the staff at reception that assisted us in making other reservations for us at other hotels and arranging our tours to changing the reservations at this hotel. They made great suggestions for us & made our holiday much more value four our money. Thanks to Lubnah, Wiam & Reda for your help, much appreciated. Our friendly staff at restaurant @ breakfast for taking special care of us, you are Supa stars & have great futures in your industry. We wish you success and climbing the ladders of success in your…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 August 2021,5,Special hotel with personalised service,"Very clean clean hotel I felt so safe and comfortable. The location is perfect near by the beach. I am a Hilton honor gold member and I got special attention open arrival from the reception team, I got free upgrade to the sea view room. The bed was very comfortable and the room so clean. During the breakfast we were welcome by fatima zahra and we got very special treat from Mr.mohamed the chef leader. And the very kind girl rajae. They are a golden stars of the hotel. Thank you Hilton.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 December 2022,5,Unforgettable stay,Our stay in Hilton Garden Inn was amazing. Amazing staff was extremely very helpful. They did the best to make us feel home. Breakfast was amazing. The best breakfast I have ever had in a hotel. Fresh ingredients and local tastes. Location is very good just close to gare and walking distance to many places.,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2022,4,"Very Good Location, Close to 5 Star Experience","Stayed here for 1 night. We are Hilton Gold, so when we booked our twin room, city view, we knew we would get a little upgrade. We arrived and we had a corner Sea View room. The Room was really spacious. The room was clean amd we loved it. The location was awesome, 5 mins from the coast, 5 from a mall and 5 from the train station. Best Location we could ask for! 1 Minor, just Minor issue was the shower. Their Hot water was warm, and the pressure was a little lacking. I had better showers in the Sahara, but it did not really ruin the Experience. Breakfast. Wow. Complimentary, and a HUGE variety of food. All of them were really good and clean. Just a few improvements could be made here for breakfast. First was the staff? We went in, sat down and ate. Roughly 20 minutes, right…",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 November 2022,5,Great place to stay at,"Very nice and quiet room on the Tangier beachfront. The room with sea view has a great view, by day and night. Very friendly staff that makes Hilton members feel very welcome. The breakfast buffet is great with a large variety of products, including a Moroccan corner",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,5,Hilton Excellence as always,"The hotel, staff and all the amenities were on par for Hilton and its standards, above the rest as usual. Everything was clean, updated. We had a magnificent view of the sea and coastline. We chose the sea view room. The breakfast buffet was incredible, Ibrahim and Fatima took excellent care of us. It was a 5 minute walk from the train station, and a few minutes walk to the beach. Excellent location, right next to the mall. The nearest mosque was a quick taxi ride away for about a dollar. Would definitely stay here again on our next visit to Tangier.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2022,5,great hotel,"great hotel with amazing view, we really enjoyed our stay in this amazing hotel the rooms are very clean and the service is great, we loved our view from the window to see the amazing beauty big thanks to the reception guy he was always there to provide help",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,5,Best staff ever,"We were late for breakfast Rajaa and Fatima went out of their way to make sure we were looked after, even tho the kitchen was closing Rajaa went and spoke to the chef and got us hot breakfast ...amazing service from Rajaa, Fatima and somaya",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2022,5,amazing hotel,"I stayed in this amazing hotel on my last trip to Tangier, the hotel is amazing, the services are on the top level, we really enjoyed our stay there, I highly recommend this hotel for everyone visiting the city for holidays top hotel in top city.",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,1,"Rust at bathtub, dried feces at toilet bowl","Hotel not meet Hilton standards of cleaning and quality. We got dirty room, whit rust at bathtub. Toilet bowl is dirty with dried feces. This is disgusting!!! Completely disappointed with cleaning. Staff not helpful. Beware of this hotel! We paid high price for low quality hotel!",Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2022,4,Pleasant Stay,I stayed here while touring Morocco. It was a pleasant change from riads and old world medina hotels. Large simply furnished clean room with a view of the Mediterranean over neighbouring roof tops. I enjoyed a bar that served beer and an amazing international breakfast buffet. Well located between the train station and the beach. Only issue for me was not being asked at check in if I wanted a non smoking room and ending up in a late 20th century time warp!,Hilton_Garden_Inn_Tanger_City_Center-Tangier_Tanger_Tetouan_Al_Hoceima,Hilton_Garden_Inn_Tanger_City_Center,Tangier_Tanger_Tetouan_Al_Hoceima
