 October 2019,2,Sort of OK,"If you really want the lowest cost place to stay, maybe you could do it. It is a safe place, an extremely friendly staff, close to the center of town and reasonably clean. However, you might consider this: The hot water did work in my room. Too much trouble to change rooms or hotels after checking in. Skip the hotel breakfast. Not worth the money. Didn’t get sick on the food. Have fun in Casablanca.",Hotel_Volubilis-Casablanca_Casablanca_Settat,hotelName,city
 January 2018,3,Enjoy from outside!,"Hotel Volubilis is one of the beautiful examples of Casablanca’s Art Deco legacy. Unfortunately, hotel itself is really worn out and is waiting for significant financial injection. Enjoy the exterior and don’t even think about staying here.",Hotel_Volubilis-Casablanca_Casablanca_Settat,Hotel_Volubilis,Casablanca_Casablanca_Settat
 July 2017,2,dont go there,"although the bell hope was a nice guy and helpful, no one spoke any English. they simply could not communicate with you. not helpful staff at all. the room was terrible. something out of the 1950s. no way a 3 star. 1 star at best.",Hotel_Volubilis-Casablanca_Casablanca_Settat,Hotel_Volubilis,Casablanca_Casablanca_Settat
 April 2017,1,Worn down and dangerous.,"The hotel is in terrible condition and in immediate need of attention. First, the room smelled like and old bar, cigarette smoke. Second, we had a bird inside our room. We managed to let the bird out through our window. Third, a big hole, made by corrosion at the bathtub (see picture). Fourth, two lamps were missing. One in the ceiling and one above the mirror. The one above the mirror had live wires ""out in the open"". Fifth, the AC didn't work. It was a mobile unit, however, the flexible exhaust hose was removed and fitted as a water lock to the toilet. Staff didn't speak English.",Hotel_Volubilis-Casablanca_Casablanca_Settat,Hotel_Volubilis,Casablanca_Casablanca_Settat
 October 2016,1,Go away,Very bad and terrible rooms Poor rooms and high prices You can find a very good hotels with the same price beside it friendly staff rooms are small and dirty noisy air condition not work overall go away,Hotel_Volubilis-Casablanca_Casablanca_Settat,Hotel_Volubilis,Casablanca_Casablanca_Settat
 September 2016,3,A OK hotel - but the staff!!,A well placed hotel - and value for maney Small rooms - but due to the price OK Charming lobby at Transatlantic Breakfast the same as Transatlantice But the receptionist at Volubilis was extreamly unpolight and I found lazzy ! If it was not for the receptionist the hotel got a higher score,Hotel_Volubilis-Casablanca_Casablanca_Settat,Hotel_Volubilis,Casablanca_Casablanca_Settat
 June 2014,1,Dont go to this hotel...it is a fraud.,"We showed up with a reservation made through hostelbookers.com. The rude girl in the reception said there was no reservation and that it was not her business to find out what had happenned. Eventhough we showed our confirmation of the reservation and the payment of the booking fee, she said she had no contact in hostelbookers and could do nothing. After discussing for a long time with another man in the reception (who of course also treated us like we were crap). we saw he had our reservation printed and written by hand ""not accepted"", but they could never explain why. They said to us they could offer another room, a more expensive one, but wouldn´t take what we had paid before. We left to another hotel after loosing our time and money, and called hostelbookers, who then told us…",Hotel_Volubilis-Casablanca_Casablanca_Settat,Hotel_Volubilis,Casablanca_Casablanca_Settat
 April 2013,1,Stay away,"I was uncomfortable the entire time I was there. Unclean rooms, I have no clue if those sheets were even washed. I didn't use the towels the Hotel provided. The room had shampoo, the bottle was half empty so someone topped it off with water, very ghetto. The hotel is connected to a man's bar, so strange men are constantly coming in and out. Smelly, musty, stay away. The staff was nice though, they kept our bags after checkout while we set up our departure. But that's about it. Even for free, I would NEVER stay here again.",Hotel_Volubilis-Casablanca_Casablanca_Settat,Hotel_Volubilis,Casablanca_Casablanca_Settat
 March 2012,1,Don't Stay Here,"This hotel charged 45 euros for one night in a double room, we were initially told this would be 40 euros and they even tried to charge us 50. Exceptionally damp bedding, could not see through the window or open it as it was boarded up on the outside. Shower curtain didn't reach the top of the bath so consequently the entire bathroom floor - bare concrete - was soaked, towel rail fell off the wall. Very loud night club downstairs that went on throughout the night. Lift only worked when it felt like it. The breakfast hall - which is actually shared with the more up-market Transatlantique - looked like a horror film, dirty, untidy and un-cared for. Breakfast was horrible - fluorescent slices of meat, blobs of old butter floating in water and stale pastries. The architecture…",Hotel_Volubilis-Casablanca_Casablanca_Settat,Hotel_Volubilis,Casablanca_Casablanca_Settat
 November 2011,4,Support Art Deco hotels before they disappear.,"If you love architecture, Hotel Volubilis and its sister Hotel Transatlantique next door are for you. Hotel Volubilis is cheaper and a step down in quality. Breakfast is served in the dining room of Hotel Transatlantique. The bathroom sink leaked, but otherwise, my room was clean. The furniture is old. I always cringe when I read that a hotel has been 'renovated'. It usually means the charm has been erased and replaced with generic blandness. I am a frequent traveller who prefers old. I especially liked watching the sunrise over Casablanca from my 1919 balcony. If you need quiet, use earplugs. This hotel is downtown, not in a sleepy suburb. Plenty of sidewalk coffee cafes inhabit the neighborhood surrounding this classic Casablanca hotel.",Hotel_Volubilis-Casablanca_Casablanca_Settat,Hotel_Volubilis,Casablanca_Casablanca_Settat
 October 2010,1,"Unsafe,rude, extremely dirty,poor condition, worst hotel ever.Please do not stay.","The hotel was really bad. The staff was helpful at first but was rude later on. The room was extremely dirty. We had to change the room as soon as we went inside our room.The new room was also very dirty. The bathrooms was dirty. There was a horrible smell in the bathroom.We both couldn't even take a shower the next day because it was so dirty. The room was not even cleaned the next day. When asked they told me we that they will clean it the next day.The hot water would not work. Had to keep the tap on for around 20 mins to get some hot water. Our friend who was in another room actually slipped on the bathroom at cut his arm.The staff was really unfriendly.The hotel does not even have a first aid kit.When we asked for help, instead of helping we were told to go to the pharmacy…",Hotel_Volubilis-Casablanca_Casablanca_Settat,Hotel_Volubilis,Casablanca_Casablanca_Settat
