 December 2022,5,Warm and welcoming - Reflective of the great Moroccan culture! Highly recommended.,"Abdallah (hotel manager), Hamdi, Yassine and the entire Hyatt team at Casablanca made us feel like coming back home after long hours of travel. This is my 5-6th stay with the Casablanca Hyatt over 15 years and I cannot recommend it higher. They took care of everything!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,hotelName,city
 March 2022,5,Casablanca,"An beautiful hotel and amazing experience. Friendly staff and beautiful hotel, also had a beautiful Cartier shop at the hotel. The decor is beautiful and the location is excellent. Souks only a walk away.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2023,5,Attentive and super helpful staff,"I was surprised how attentive and helpful the staff were. Offering assistance wherever they anticipated we needed it, and when we asked for help they bent over backwards to offer solutions and help. Even though the outdoor swimming pool had been closed for the winter they even opened it up for the two of us to spend the afternoon by the pool in the winter sunshine. We couldn’t ask for any more from the hotel and it’s staff. Having also paid for Club Lounge access we really felt welcomed by the serving staff and the variety of food and drink available was super! We will use Hyatt more often for our travels.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2023,5,Amazing,Wonderful hotel. Very attentive staff. Some of them a little surly in reception. Fantastic the club and especially the waiter zaiatt not sure about the name. He offered a great service. It was my birthday. They sent a cake. Worth the money,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2022,5,Phenomenal Stay,Stay Report - 12/29 to 12/31 Location: The hotel is well located in Casablanca.  It's in a pleasant area of town with several restaurants around it as well as a tram stop and a big flea market behind it.  Red Taxis position themselves right out front so you can always get a ride somewhere too.  It's an easy drive to the mosque or the beach or any of the sights you want to see.  CMN is about 30 minutes away with no traffic but more accurately about 50 minutes if you drive during the day.  Hotel: Despite being an older property the hotel is extremely well maintained.  There's a gorgeous lobby with a library themed bar just off it that also has a limited bar menu.  Next to a Cartier store is another restaurant which has indoor and outdoor seating.  There's an outdoor pool around…,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 January 2023,5,Super well managed and friendly hotel,"Super well managed hotel with very caring staff. Absolutely friendly atmosphere from check-in, room-service, breakfast to afternoon happy hour in the Hyatt-club lounge. Booking a room with club access was a great choice as the lounge offers drinks and snacks included, making life easy.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2022,5,First rate hotel with great service,"We stayed here for a night before embarking on a week long tour of a few Moroccan cities. Well appointed hotel with impeccable service. Club Room is a nice get away with drinks and food. Wonderful breakfast buffet. Shout out to Mr. Rida El Idrissi, the Guest Relations Manager. He helped up from the moment we arrived and continued through arranging transportation/other logistics.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2022,5,Best place to stay in Casablanca!! Great location!!,"The hotel was very conveniently located, close to attractions and places of interest! Good food options available plus the Club in the 8th floor is services by possibly the best staff I have seen so far in similar clubs.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2022,5,Family suites are amazing,"As we only spent one night in the hotel, this isn't an in depth review. I'll say that the family suites are really great for a party of 4-5. They combine an executive suite with a standard room to create a suite that just works. 2.5 bathrooms, central living room, lots of desks, and privacy when needed. The concierge service was certainly the cheapest that we received in Morocco, and the French cafe was delicious. I'd stay here again.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2022,5,Hyatt Casablanca - superb stay,"I travel with a group of 21. This was our last stop after travel all over Morocco. Started from Rabat, Chefchouen, Fes, Merzouga, Quazazate, Marrakech, Essouira and finally Casablanca. We stayed only one night. Wish we had stayed longer. Check in was fast, receptionist Omar, was efficient and accommodating with switching rooms. Dinner in the hotel - service was beyond excellent. We had a private room. About 7 staff served us. Food was not fantastic but consumable. Rooms were large, clean and well maintained. Bed was very comfortable. Highly recommended",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2022,3,Average stay,"As a non smoker, this hotel might not be the best choice even though non smoking rooms are available. Gym is open 24 h and has adequate space but temperature is warm (AC not working). Hotel is close to the Medina (market).",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2022,4,Good business hotel in Casablanca,"My experience at the Hyatt Regency in Casablanca was very good overall. I spent four nights at the hotel. My biggest negative was that they allow smoking in the restaurants which made it very unpleasant to have meals at the restaurant. The general manager was great. He checked with me on several occasions to make sure my state was going well. If I go back to Casablanca, I would probably try a different hotel just because of the smoking but if you do not have an issue with that the rooms are very nice there. Staff was excellent. The breakfast was very good in the bar restaurant was a lot of fun to hang out in. The location was good. You could easily walk to different places for shopping as well as dining.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2022,1,"old rotting hotel, half of the things dont work","staff semi hustlers - like the rest of this town, food absolutly horrible, you approvach the staff at reception they look away, i had to call reception maybe 5 times to get a tooth brush an hour later,",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 December 2022,5,A Gem In The City Centre,The moment you enter the hotel you're greeted with genuine warmth from all the staff. The place is very clean with touches of Moroccan decor throughout. Breakfast caters for all palettes. All rooms are of a good size with excellent bathrooms. Enjoyed our 3 night stay.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2022,5,Satisfied,The staff are friendly and helpful! Saddik in the club and other staff in the club were great! Very satisfied with the hotel but did not like the surrounding neighborhood Overall the hotel was worth the money we spent,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2022,4,Excellent business hotel,"Excellent business hotel. Very good lobby where one can have meaningful business discussions! Recommended for business travelers. A very well spread breakfast everything from bread eggs and traditional fare is available. I loved the fruits and the juices, and the fruit-based yoghurt was yum! Comfy room very spacious and good view too! Never had trouble falling asleep. Check in was super-fast and staff is pretty good! Pretty convenient to go sightseeing - just hire a taxi and you can cover most of the places without any hassle!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 November 2022,4,Not worth the $,5* hotel. Comfortable rooms. Terrific service. The breakfast bar which is the only choice is ridiculously overpriced $30! The only food during the day is at the bar and it is awful! Overpriced as well. They cater to business groups so when you go to the pool there can be large conference group dining next to you. I would not spend the $ to stay here again,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2022,4,Premium business hotel in prime location,"Whenever I have been to Casablanca on a business trip, always have been staying at the Hyatt. It remains by far the best business hotel and the club lounge is just perfect for quite business meetings and the hotel restaurant is good for business lunches. I recommend it highly for all business travelers to Casablanca.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2022,5,Lovely hotel,"Great hotel and experience at the Hyatt in Casablanca. Rooms are amazing, food selection spectacular, breakfast was exceptional, service great. It is also clean and worth the money. Would return for sure!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2022,5,Club floor worth the upgrade,"We had intended to spend a quick 1.5 days in Casablanca at end of our trip as our flight departed from there. Flight got pushed back a day so we ended up spending an extra day in town. This hotel was a very nice place to relax at the end of a trip. The staff were all very courteous, Seddik in the Club Lounge is a gem of a human being, one of the very best staff members I've ever interacted with over the years. Rooms were comfortable, location very convenient especially to visit the Hassan II Mosque. There's a lovely, large pool tucked into the corner of the property. We were ""off season"" (warm for us, not so much for locals) so there weren't any services beyond towels and chairs, but we still had a lovely afternoon lounging and swimming. Food at bar and at restaurant M were both…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2022,5,Amazing hotel experience in Casablanca,"Amazing hotel experience! I have been fortunate to have stayed in many beautiful properties around the world but this hotel stands out for its outstanding customer service. We were truly wowed by their white glove service, attention to detail, amazing breakfast buffet and delicious dinners in the Living Room. Definitely an experience to remember!",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2022,2,"Disappointing hotel in the center of Casablanca, not worth the Hyatt brand","We came with a large group and booked more than 30 rooms and suites for several days. Obviously, rooms have neither been renovated for the last 30 years nor been maintained well. Front-desk staff was unfriendly. This hotel is neither worth the Hyatt brand nor 5 stars. Only positive experiences were the breakfast and lunch.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2022,5,Greatd experience,Hyatt regency Casablanca is an excellent hotel. Service when a problem arose was almost immediate. Breakfast offering was superb. Maintenance even fixed mt cane tip that was coming loose. The only negative thing was they allow cigar smokers in bar area. The smell permeates the entire lobby.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2022,5,a place to stay and feel as a GUEST,"We had a great stay at Hyatt regency taghazout and decided to visit the Hyatt in casablanca .It was a good decision !After a nice ride from taghazout to casa and it is easie to find the hotel .After a nice welcome and after a quick check in we first visit the restaurant for the sunday buffet brunch .a great assortiment and very tasty . Room was good and clean ,breakfast perfect service and again good assortment .parking was secure and spacious service was at high level and we decided to come back in january",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 October 2022,5,the best there is,"6 stars in every way great service food and rooms.As far as I am concern, there is no hotel better .We have been to many Hotels around the world, this will classify as one of the best.The service is out of this world.The price is very fair",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2022,5,Nice Stay!,Nice to be back to Hyatt Casablanca after more than 20 years. Great service. Lovely people: Great service from Seddick at the lounge. Well done to Samir and Khadija also. Keep it up! Will be more than happy to come back as soon as possible. Thank you again !,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2022,5,Amazing Experience at the Hyatt Regency Casablanca!,Outstanding experience at the Hyatt Regency Casablanca. I travel internationally often and this was one of my best hotel experiences. Congratulations to the hotel staff for their excellent service and great facilities. highly recommended!,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2022,5,Perfect Choice for a few days in Casablanca,"From the greeting as you get out of the taxi to turndown service at night, the staff at this hotel go out of their way. A special thanks to Mr. Hamdi, Concierge and Mr. Seddik in the executive lounge. We found everything to our liking in this hotel and the food in Dar Beida was exquisite. The only negative in an otherwise perfect stay was the street noise at night.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2022,2,A complaint Letter for bad Customer Service in your Hotel,"Monday 19th, 2022 From Mr Abdulalim Rakhyoot, the owner of Cesar Resort & Spa, Marrakech To the General Manager of Hayat Regency Casablanca, Mr Pascal Leprou Dear Mr Leprou, I am writing to bring your kind attention that I am extremely disappointed with the service provided by the reservation department. I have booked to stay in your hotel from the 20th to 23rd September, I immediately receive a detailed confirmation email No 54770646. Thereafter, I have received a phone call from Mrs Ikram, telling me that she made a mistake and she will cancel my reservation. I hope, you will take all of that into consideration, and take proper action, to prevent this happening again. Sincerely, Mr Abdulalim Rakhyout Owner of Cesar Resort & Spa",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2022,5,Excellent Hotel right in city center.,"I stayed at 4 Seasons Casablanca & at Hyatt, & Clearly Hyatt is Much better, 4 Seasons Hotel is waste of Money with not much friendly staff or a very good Location & more expensive. Hyatt location cannot be any better with the old city & Souq/Medina just across the street, & all kinds of transportation right at the doorstep. Its French Restaurant is also good with reasonable prices. Room was perfect, very clean & nicely done. The only suggestion I would make is to have Smart TV apps installed in the TV. It gives you a complicated process how to do it with your cell phone I tried several times but could not, if they would directly install Smart TV apps in TV that would be easy. The hotel is at least 1 hour drive from Airport due to congestion & traffic so keep that in mind…",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2022,5,When in Casablanca morocco this is the place to be,"I will definitely return over and over again when in Casablanca. This hotel is so well located the stuff are really kind and attentive the food is excellent the rooms are beautiful, the executive lounge is very spoiling and well equipped. The swimming pool area is beautiful and the spa is so cool. I would like to mention above all the amazing service by two employees: The first is Mr. Rida from the hotel’s Guest Relations department and the other person is Mr. Ossamma from the executive lounge. They definitely made my stay extra special and took care of every little need that I’ve had, these people makes a difference between just another hotel and a place that has been like your family’s home.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 September 2022,5,Excellent hotel in great location with superb customer service.,This hotel is superb and in a great location. The customer service was superb as well. The hotel went out of its way to accommodate my wife who had a serious fall and had to go into hospital in Tanger and accommodated her needs in an excellent manner.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2022,5,"Amazing service, great location.","This place is amazing, with superb location, friendly staff and marvelous rooms, best place to stay in Casablanca. Staff won’t disappoint you and Manager Ousama is outstanding. Breakfast is very good also. Spa and fitness center is worth seeing. Must stay.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2022,5,A nice and flawless stay @Hyatt Regency Casablanca,Overall a flawless and great stay! The level of service was very good with great demonstration of morrocan hospitality and kindness by all staff. The location is perfect and the pool area was a revelation.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2022,2,Sexist Aggressive and Unapologetic,"Sexist aggressive security and the staff plays along. Business Women are treated differently than business men. They grabbed a female colleague in the lobby and it went sideways. Then when I tried to get an apology they refused. I checked out early…. But literally they grabbed my bag in the lobby and put it back in my room. No apologies to my colleague or me. I don’t care what their beliefs are, but when you put your aggressive hands on someone for your belief it’s fundamentalism. They put their belief in front of my business meetings. I have no confidence in bringing a female colleague their. And most my business is with Women. It’s 2022 and women BullS*^T less than men.",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 August 2022,5,Excellent staff!,Our stay at the Hyatt Casablanca was excellent. The hotel is In a good location next to the Medina. The hotel grounds are beautiful. Fabulous lounge and bar. The fantastic staff was extremely helpful at all times.,Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
 July 2022,5,Amazing,"Great Location, great attentive staff, the outside pool was an unexpected surprise making you feel like you could be anywhere in a calm oasis ..beautiful surroundings, attentive staff, complimentary sun screen, a service to clean your sunglasses... amazing white sangria.. over & above",Hyatt_Regency_Casablanca-Casablanca_Casablanca_Settat,Hyatt_Regency_Casablanca,Casablanca_Casablanca_Settat
