 December 2022,5,"Comfortable Central Accommodation...staffed with helpful, kind & friendly people","Maybe the hotel is 3-star but the 5-star rating from me is for Mohammed from breakfast as I promised! Also a big Thank-You & 5* to Ahmed my big man at reception and ichrak & karima who turned over cleaned my room. The bed was extremely comfortable. It's central, I stayed at this Ibis hotel for 1 week.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,hotelName,city
 November 2022,3,Typical Ibis hotel in walking distance from station.,Walking distance from the station but a short taxi ride to other attractions. Perfectly fine - clean room - professional staff - breakfast a bit lacklustre. In short - a pretty typical Ibis hotel. I should add that we struggled to identify a good value hotel (with character) when planning our trip to Tangier so went with the safe Ibis option. It ticked the necessary boxes for us.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2022,3,Convenient for rail station - otherwise very unremarkable. Staff training needed.,"The room was OK. A bit less than most Ibis hotels, no soap at all, no bottled water, bedside table slightly broken. Bed comfortable. Great asset is that hotel is very close to rail station - just across the square. Staff are borderline unfriendly (great contrast with most Ibis where staff are jolly and welcoming). They were so sour that I did not take up the free drink but went across square to the Royal Tulip to have drink and dinner, They were Very professional. I did ask if they had a local map and was told to photo one on the wall!!! But I got one from the Royal Tulip Hotel next door.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,1,"Hard to find much good, I’m afraid","We decided to take the high speed train from Casablanca to Tangier with the intention of visiting Chefchaouen. We arrived at around 2:00 pm, checked in and spent the remainder of this first day seeing Tangier. It’s a lovely city! Then we woke up early the next day to meet our transfer to the Blue City. We returned to the Ibis and spent a second night. Basically, we were only there to sleep. This hotel was very small and bare boned. There were only two threadbare towels in our room and when we asked at 9 PM to get another towel, we were advised that housekeeping had gone home. We like to sleep with the window open and did so, but there is no screen on the huge window. (Very dangerous!). Did anyone know that mosquitoes can fly seven floors up? Lol. The bed had a 3-inch…",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,4,Lots of value for the money !,"Great location, value for the money ! These Ibis hotels are located near so many central train stations, making it easier to get to and let’s you avoid the hassle of taking a taxi. The rooms are not luxury, but they are also very well priced, especially if you are travelling on vacation. Very friendly staff, huge meal servings (again at very low prices) and overall an excellent choice !",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2022,3,Okay value,"The good: -Hotel has a free underground parking (need to ask this at reception) -Friendly staff -Clean bed and room -Great location -Price The bad: -Horrible filthy pool (they don't even bother cleaning the pool area as its filled with bricks, sand, dirt and leafs inside and around the pool, nothing like in the photo) -Infrastructure is decaying and needs renovation (shower door didn't close well, light switches are loose,...) -Parking guys at the entrance of the hotel, why is this even allowed? And why is the reception not saying there is a free underground parking ? Overal a 6/10, mainly due to the price and location.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 September 2022,4,very much enjoyed my stay,"Stayed here twice, one night before catching the train to Casablanca, then two nights when I returned a week later after my trip. I have absolutely no complaints. Staff was wonderful, the room was an Ibis room, simple and clean and with a good bed and good shower. Location is fantastic for taking trains, walking along the shore into town, shopping at the mall, and breakfast was fantastic (if you complain about the selection I really would like to come to your house for breakfast because it must be spectaculair). I would choose to stay here in a heartbeat.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,2,Not at the Ibis standard.,"The bed sheet had a stain on it; the shower had mould on the ceiling, the edge of the table in the room was chipped. Photographs are available. Dinner was OK for 2 nights. On the third night the medium steak was like leather because '..that's how Moroccan people like it.' The steak was quickly replaced by a much better one.",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 July 2022,1,avoid at any cost,I had an awful experience in this hotel. dirty and badly maintained. staff is not helpful. they sent the security guard to my room asking for the payment to be settled - never seen such thing and manners in any other hotels around the globe. I have been a long-time loyal customer of Ibis but due to this bad experience in this particular hotel I will never stay again with them in any part of the planet. Sad to see this hotel service declining.,Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 April 2022,3,A standard 3 star hotel offering,"It was just OK in all fairness, pretty much what you expect from Ibis! The room was basic and could have been a bit cleaner but it was decent. The location for us was ideal as we just had a day in Tangier before getting the train so it was close and was good for the mall too and some western comforts. The room could have been cleaner and it would be nice to have a safe. Plug sockets were in awkward locations too which was annoying. An alarm went off at 6 am and the phone in the room wasn't connected so we had to go down to see what was going on!",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
 February 2022,4,Fabulous stay,"Had great stay , our room was always amazing clean with That little by Loubna the lady who cleaned our room everyday was amazing always a laugh and a smile. Very nice to start your day like that. In general nice",Ibis_Tanger_City_Center_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima,Ibis_Tanger_City_Center_Hotel,Tangier_Tanger_Tetouan_Al_Hoceima
