 December 2022,5,Luxury in Town,"Such a treat!!! The hotel is beautiful - the interior courtyard where breakfast is served & the rooftop terrace in particular. You don't want to miss sunset on the roof. The service we had was top notch. The food was excellent. It is in a great location, too, so that you can walk to everything in the old Medina and the beach.",hotelName,city
 December 2022,5,Wonderful Hotel Perfectly Situated,"Absolutely fabulous hotel right against the Medina wall. Originally a palace and then an orphanage, lovingly restored. Rooms are small but well-appointed and very quiet. The staff were lovely and attentive. Dinner at the hotel was excellent. The bar was quiet and comfortable. Take advantage of the rooftop deck, especially when it's time for the call to prayer - you can hear it echoing all over the city. We love that they kept the courtyard here open to the sky. Everyone at the hotel was so kind and helpful. They also organized a wonderful tour for us with Hassane. If you drive here, you have to park outside of the Medina wall - call the hotel and they will send a porter out to help with your bags and show you where there is complimentary parking.",L_Heure_Bleue_Palais,Essaouira
 September 2022,4,Lovely quiet place to stay,"Our driver dropped us by the side of the road where a porter from the hotel was waiting to take our luggage and show us the short distance to the hotel. We entered the Medina by the Bab Marrakech gate and almost immediately on the right is the hotel. The hotel is built like a Riad with a large inner courtyard full of plants and seating and this is where the buffet style breakfast is served and also, on the occasion we ate in the hotel, where the evening meal was also served. We were in room 23 one of the premium suites. It had a small entrance area with table and seating which lead into the bedroom containing a very comfortable KSB, TV, safe, Air Con, another small seating area and loads of wardrobe space. There is also a good hotel wide WIFI signal. The main windows look out…",L_Heure_Bleue_Palais,Essaouira
 November 2022,2,Poor and expensive choice despite charms,"My wife and I have just returned from spending 5 nights here (preceded by several more in Marrakesh) and were very disappointed by the Heure Bleue, which is not at all up the the Relais and Châteaux standards. The historic hotel is nice enough, and the rooftop pool (and one of the staff members there) truly special, but everything else is disappointing. Most staff barely smile, (not the usual charm of Morocco) and seem confused by simple requests, and the format of breakfast and “order ahead” meals is monotonous and subpar. While Essaouira is charming and worth a visit, I’d avoid the Heure Bleue. Lastly, while it’s impossible to be precise, returning home with severe “gastrointestinal issues” makes me suspect that the hotel is failing on hygiene standards too.",L_Heure_Bleue_Palais,Essaouira
 October 2022,4,Lovely hotel but seemingly inherent problems,"This is, in the main, a lovely hotel, conveniently positioned at the Bab Marrakech, just inside the Medina of Essaouira. It has some terrific features, but a few things that also let it down. The hotel is in a riad style, with a lush central courtyard where you take breakfast, and can also have dinner. There is a dining room which is quite dark, and another bar across the courtyard. The breakfast is buffet style and very pleasant. We had dinner at the hotel restaurant one evening and the food and service were very good. The rooftop pool is a fabulous spot to enjoy the sunshine, although do not sit in the corner farthest from the pool (on the Medina wall side) - a dreadful gas smell wafts through intermittently! Compared to other poolside service we experienced while in Morocco,…",L_Heure_Bleue_Palais,Essaouira
 September 2022,4,Convenient Location,"Stayed here for two nights. Hotel is in an extremely convenient location. It’s a beautiful hotel. The breakfast was good and had lots of variety. Our room was very dark and that’s the only thing I didn’t like. Although we didn’t use it, there is a pool at this hotel but it was quite cool outside and the water isn’t heated.",L_Heure_Bleue_Palais,Essaouira
 October 2022,4,Very good indeed.,"Very conveniently situated by the gate to the Medina and just a few minutes' walk to the harbour though the Medina and its warren of tiny shops and stalls. Bedroom/suite was large, very well appointed with a sofa, chairs and coffee table and large wardrobes. But it did feel a little utilitarian. It was one of the few hotels we'd been to where there was ample space for two suitcases however! Bed extremely comfortable Our room had a small lobby area with a desk though for some bizarre reason the electric sockets are routed through the main light switch, so USB charging was impossible at the desk overnight. Bedrooms accessed in the manner of a riad via galleries situated around a very pleasant inner courtyard area with palm trees and large plants. Stairwells look rather stark and…",L_Heure_Bleue_Palais,Essaouira
 October 2022,5,Excellent Service at a Great Location,"The hotel is perfectly located right next to the gate to the Medina, a 10 minutes walk to the old fishermen port and a minute from the Medina shops. Our classic room was small but tastefully furnished, the shower was spacious, there were 2 USB sockets by a small desk. Sitting choices were limited and uncomfortable. I am giving the hotel a 5 star mainly owing to the excellent service. They took great care of our needs, provided a bottle of disinfecting alcohol liquid which is very useful while Covid is still around and is not usually provided in hotel rooms. The inner courtyard is tranquil however looking up from the courtyard on the rooms above, the walls were in need of new paint, the hotel appeared Warren down from that view point. Some of the plants in the courtyard looked…",L_Heure_Bleue_Palais,Essaouira
 October 2022,5,Old World Charm,"What a joy to stay at this hotel. You are greeted and served a beverage immediately on arrival. The hotel manager greeted us and provided information about the hotel and locations of the restaurants and services. At night, the center courtyard is lite up with colored lights which gives the hotel a magical feeling. Rooms are air conditioned and Wi-Fi works well.",L_Heure_Bleue_Palais,Essaouira
 September 2022,5,Old world charm with modern standards,"Charming hotel in the old city, built around a central courtyard, it exudes old style sophistication. ( An English bar complete with studded animal heads and a billiard room complete the vibe). Excellent service and restaurant recommendations for dining other than at its own restaurant (also very good) made our stay a delight. There is also a roof top pool and sun terrace which allow you to escape the hustle and bustle of the city.",L_Heure_Bleue_Palais,Essaouira
 August 2022,5,The sophisticated side of Essaouira,"Luxury inside the Essaouira Medina. An amazing building from the 19 century, now is a sophisticated hotel to discover Essaouira from inside. They provide you a warm welcome at the beautiful garden with fresh orange juice and local products while they are doing the check in. We were delighted with a very kind staff and manager, large and nice rooms and a great swimming pool at the rooftop. They have as well a hamman and restaurant that probably is super nice but we didn’t have the chance to try as we stayed just for one night. Amazing breakfast too, with fresh orange juice, fruits, different kind of breads, bakery and so… Totally worthy",L_Heure_Bleue_Palais,Essaouira
 September 2022,4,Luxury Hotel just inside the Medina,"Great Hotel just inside the Medina wall. - Friendly staff- we had a two night stay - The reception, the inner courtyard, and the bar rooms are all done extremely well  Our Room: - Small not tiny- One Exterior window in the bathroom that was maybe 24inch h by 8 inches wide - They chose form over function, it had a decorative sitting table with two pillow stools in the corner of an already small room. - Very nice amenities, Illy Coffee Pods etc. The rooftop: - decent views of the surrounding area, you can see the sea from some spots - Comfortable cabana chairs, they could use more umbrellas, the English couple next to us had to sit two chairs apart in order for both of them to get some shade. - the pool was okay, 5ft deep all around. ",L_Heure_Bleue_Palais,Essaouira
 August 2022,5,"Fantastic location, room and attention","Great location, room, food. The concierge and reception are fantastic. The arrangements for transfers in and out were very good. The suggestions for the day were very interesting. And they treat my kid fantasticly well. I totally recommend",L_Heure_Bleue_Palais,Essaouira
 July 2022,5,"L'Heure Bleue Palais, Essaouira","We wanted a really comfortable hotel in Essaouria with a 5 star feel and facilities. The pool made such a difference, especially as it is on top of the hotel, on the 4th floor, overlooking the town. The hotel is literally on the Medina wall, just inside and sit you can be in the thick of it in a few steps. Its easy to access anywhere from here. It proved a very comfortable escape from the markets and hubbub of this fabulous town on the coast and it was so nice to return each day to our hotels. Our rooms were light and spacious and comfortable. They were able to arrange an interconnecting room for my son which was perfect. Again, really attention to the customer, nothing too much trouble, friendly staff and good concierge service. We would definitely stay here again. Highly…",L_Heure_Bleue_Palais,Essaouira
 June 2022,1,Gorgeous building and location but food and especially service not the level expected,"The location right in the Medina and the stunning building left us expecting a real treat upon entering this outstanding Riad. Unfortunately we were very quickly disappointed…. The hotel staff downstairs were charming, smiley and helpful however the service on the rooftop restaurant was absolutely not what we expected of a high class and very expensive hotel…. The waitress first of all didn’t come to ask what we wanted for 30 minutes, then she wanted our food order. We said we would first drink our aperitif but she still came back 4 times!! We then placed our food order at the same time as our second aperitif. Mistake as the food appeared before we had finished…. The second time we came, she did not take note of our order, and despite us repeating it we found ourselves receiving…",L_Heure_Bleue_Palais,Essaouira
 May 2022,4,Great place to stay in Essaouira.,"The hotel is really well situated as it’s the very first building you come to inside the old walled city or medina. The old town is quite compact and from the hotel, it’s only 5 mins to the very heart of the medina, and a further 6/7 minutes to the busy port - which is certainly worth visiting. The layout is that of a conventional Riad with a large colonnaded open courtyard and all rooms facing inward to the atrium. Breakfast is served in this courtyard. We had a lovely large room on the third floor - there is a lift. Above this there is a roof terrace with a bar and a pool. The pool is at one side of the roof so it doesn’t dominate the roof space. There is a bar downstairs but it’s all very dark wood, dark furniture and darkly lit - rather like a gentleman’s club of old.…",L_Heure_Bleue_Palais,Essaouira
 April 2022,5,Unforgettable stay.,"Unforgettable stay. Perfect location to explore the town. Room was very comfortable and full of character. Public spaces such as the lounges and dining areas are tranquil and beautiful. Breakfast was excellent and extra-special on Easter Sunday with a stunning display of treats. Every member of the staff team was outstanding and a credit to the hotel’s management, with an attention to detail and warm manner: attentive without being intrusive.",L_Heure_Bleue_Palais,Essaouira
 April 2022,5,Excellent hotel and service.,"Probably the best hotel on our 2+ weeks Moroccan tour. Very specious and comfortable rooms and bathrooms. Excellent location. Breakfast with almost everything you need or want. High class restaurant for lunch or dinner, with great ambiance and menu. Highly recommended if in the area.",L_Heure_Bleue_Palais,Essaouira
 March 2022,5,Beautiful riad in Essaouira,"We stayed here two nights while in Essaouira. The location is just inside the walls of the medina so easy to access from parking and our car. The building was renovated and expanded from an old riad. Beautiful property. Our room had a separate entry area, sitting area with fireplace, bedroom and bath - basically a suite. We had breakfast here - excellent and spent time in the lovely library, which had a great fireplace to enjoy on a rainy night. Staff was very professional and helpful. This was one of the few places we visited in Morocco with elevators.",L_Heure_Bleue_Palais,Essaouira
 August 2021,5,Simply the best!,"This is one of those rare opportunities when I wish it were possible to give six stars! The hotel is like a riyad, a haven of tranquillity just inside the city walls, but there is parking available at a short distance. The room (get a suite, it's worth it!) was spacious and decorated stylishly in keeping with local tradition. The restaurant offers gastronomic delights and the service is just first-rate -- friendly and professional. Now, you may wonder, this is all very well, but why the call for six stars? Well, I unfortunately broke my ankle during our stay in Essaouira and the director and all the staff went way beyond the call of duty to assist in every way they could (accompanying me to the clinic, etc.) to make me feel comfortable. It really made a difference at a…",L_Heure_Bleue_Palais,Essaouira
 October 2021,3,Overpriced hotel that lacks Moroccan charm,"I stayed at many places over the course of three weeks in Morocco. HB was the most expensive and least charming. Place feels a bit stale and sterile and staff a bit stiff. The location and breakfast are very good, but that's about it. Not good value",L_Heure_Bleue_Palais,Essaouira
