 December 2022,5,Fifth visit to Le Pietri - My home away from home,"Le Pietri is in a great location with very friendly helpful staff. The low floor street side rooms are a bit noisy at times. They have a nice variety and tasty breakfast and dinner menu with good wine options and a bar all in a comfortable space. We enjoyed an amazing jazz concert on a Saturday night. All in all a comfortable place to hang out with friends, be alone and get around the city. I will defiantly return.",hotelName,city
 October 2022,4,Modern business style hotel close to the station - good value,Modern almost business style hotel Not much character but comfortable room and very friendly staff. Easy walk to the Medina and railway station - 5 minute taxi to other key attractions. Would recommend.,Le_Pietri_Urban_Hotel,Rabat
 September 2022,4,Well located,"The Hotel staffs were friendly and the hotel is well located with easy access. However, the windows were not totally noise proof and activities from the bar/Karaoke night kept me awake. Also the breakfast did not have a wide variety and became monotonous by the third day. You could improve on the breakfast.",Le_Pietri_Urban_Hotel,Rabat
 September 2022,5,Excellent,I had a lovely stay here for 2 nights. The room and hotel is tastefully decorated and it was very clean. The staff is professional and very nice and helpful. They had a restaurant with great and delicious food and a good vibe. Definetely recommend this place.,Le_Pietri_Urban_Hotel,Rabat
 September 2022,1,Very UNPROFESSIONAL restaurant female staff member needs to behave herself,"I do not recommend this hotel because of their failure to recruit professional staff in their restaurant. PS: Both rmale receptionists were polite & professional. The same for a male waiter who was working in restaurant that day. However, a member of the restaurant staff was EXTREMELY RUDE and UNPROFESSIONAL. This was woman with black hair, wearing black suit, and was in charge of breakfast the day of my check-out on 8 Sep 2022. 2 unprofessional behaviours from her in less than 20 mins: 1/ As I was trying to grab a chair in the restaurant where breakfast is served, she, out of the blue, shouted out loud ""Madam!"" and then pointed at me with her hand for me to move out of that table to another one facing the bar. Everyone at the restaurant looked at me as if I was committing a…",Le_Pietri_Urban_Hotel,Rabat
 September 2022,5,Excellent stay at Le Pietri,"We booked this hotel because we were not happy with our RIad in Medina. This hotel is clean, nicely decorated, modern and has everything you need for a quick stay in Rabat. It's also very close to the main attractions.",Le_Pietri_Urban_Hotel,Rabat
 August 2022,5,Pietri is the best hotel ever,"Best experience in a hotel. This is the best hotel I have ever been to and I have been to hundreds of hotels. Despite the poverty, the misery, the corruption etc… there is something very special about the Moroccan hospitality. I have never received this service before in any hotel anywhere in the world: my husband asked me to bring some Moroccan fabrics. I had them in a plastic container. The doorman Najid at Le Pierti Hotel turned it into a suitcase so I can carry it. The best service is here at this hotel",Le_Pietri_Urban_Hotel,Rabat
 November 2021,5,Highly recommended,"I stayed for 2 weeks in Le Pietri, and was very impressed. I had a suite room, which was huge, with a big outdoor terrace. The room was clean, modern and stylish. It was quiet in terms of no outside noise (although you could hear alot of noise from the corridor, inside, whenever anyone opened or closed their doors). The restaurant and breakfast was good. The staff were really friendly and helpful. And the location is excellent - close to the Medina and the city centre, with pleasant walking and lots of good restaurants nearby. I'd definitely choose Le Pietri next time I visit Rabat.",Le_Pietri_Urban_Hotel,Rabat
 November 2019,4,No shower!,"I would love nothing better than to give a top rating to this hotel. I have knocked a star off because the shower in our room didn’t work. When I asked them to fix it, they said that it couldn’t be fixed and that they would have to purchase and install a new handheld shower unit. I’m sure that this was not a new defect. Otherwise, this was a great hotel with a wonderful restaurant.",Le_Pietri_Urban_Hotel,Rabat
 October 2019,5,Comfortable Modern Property,This property is conveniently located in Downtown Rabat. The parking is a challenge but the staff goes out of their way to help put your vehicle in a convenient spot. The rooms are spacious with very comfortable beds. The attached restaurant is excellent. Service is excellent.,Le_Pietri_Urban_Hotel,Rabat
 August 2019,5,Flawless service.,"The hotel is more European then Moroccan. Clean well appointed room, nice reception, strong and fast WiFi, helpful stuff. Rich breakfast. Easy parking on the street. Lack of English news channels is a minus.",Le_Pietri_Urban_Hotel,Rabat
 July 2019,5,"Fine hotel, great value, helpful staff","Modern, clean, with helpful staff and a good convenient restaurant. Several excellent meeting spaces available, including an outdoor terrace. Good location -- taxi drivers all seem to know it! Feels like an urban hotel, that is, in the middle of town.",Le_Pietri_Urban_Hotel,Rabat
 July 2019,4,A most pleasant stay,"The hotel is ideally located close to Rabat Ville station The rooms are very clean, comfortable and well maintained. Toiletries are minimal. So nice to have a fridge and a free of charge safe in the room. Bonuses are that the hotel has its own enclosed patio area for relaxing, having drinks or a light snack and an onsite Jazz Bistro. Breakfasts offered a good selection with staff on duty to assist. Although the reception staff were very helpful and efficient, they were not very talkative. Perhaps this was because I don't speak French or Arabic. I would definitely recommend this hotel and will re-book for future visits.",Le_Pietri_Urban_Hotel,Rabat
 July 2019,5,"Clean hotel, good location","Clean bedroom, bathroom, good location, excellent restaurant (and great breakfast). Our room was nonsmoking and had no smoke scent. But there was some smoke smell in the restaurant. Also, we got a better price in person than on expedia.",Le_Pietri_Urban_Hotel,Rabat
 April 2019,5,Very Comfortable Place to Stay,"We stayed at this hotel twice during our trip to Morocco. Both times we found the facilities to be very good. The rooms, while small, were clean and comfortable. The people at the front desk were helpful in answering our questions and assisting us. The hotel is conveniently located, walkable to one of the train stations and two nearby museums. The restaurant in the hotel provides an extensive breakfast and offers excellent French food in the evening. We ate there each time that we stayed at the hotel and were pleased with the quality of the food. If we go back to Rabat, we will stay there again.",Le_Pietri_Urban_Hotel,Rabat
 April 2019,4,Amazing staff!! They will do anything to help!,"The room was simple but clean. Stay here for the convenient location, wonderful breakfast, and the absolutely most wonderful staff!! My luggage was delayed by the airline (I was very stressed) and they did everything to help me research phone numbers online and make calls to the airline. Thank you!!!",Le_Pietri_Urban_Hotel,Rabat
 April 2019,5,An excellent location & hotel,"A comfy, functional 3-star in a great ""central"" position for visiting Rabat. Just (on foot) 15 mins from beach, medina and Chellah. And 4 mins from train (Rabat Ville). 2 blocks from Contemporary Art Museum. A good choice.",Le_Pietri_Urban_Hotel,Rabat
 April 2019,5,Everything was perfect,"Nice location, good beds, clean room and nice breakfast. And also thanks for fast check in and check out... Only there is a parking problem if you have car like us... Just 15 min from Medina and meters from the banks and government places.",Le_Pietri_Urban_Hotel,Rabat
