 November 2019,5,Recommended!,"the room is very nice and clean, the staff very kind, the breakfast service is very good and abundant, with various typical specialties,the value for money is excellent, we hope to return soon. absolutely recommended!",Manzil_Hotel-Casablanca_Casablanca_Settat,hotelName,city
 October 2019,4,"Good value, don't be scared about the localization","I got this hotel in exchange for some miles I had. The hotel is in the industrial area of Casablanca, so our first impression was very bad (of the area). The staff is great, the hotel is very good. AC and TV. No fridge though. Breakfast is good enough for the price and after visiting downtown Casablanca at night, we decided this area is much friendlier because there are a lot of shops open till late, neighbors on the streets and we found the most excellent restaurant hidden on the street behind it, called ""La Bonne Adresse"" (11 Rue de la Participacion - Tel 0522 241 759 - Mr. Naimi Hajjaj). It doesn't appear on Google but do go there. The owner is 78 years old and he makes amazing food.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 September 2018,2,more expensive and worse than expected,"Room: cockroach in the bathroom Breakfast: dirty dishes, burnt food, dirty seating area - we lost our appetites Hotel: they charge too much for the room itself, but adding the taxes, it´s definitely way too expensive for what you´ll be getting. somebody is trying to make it nice, by hanging some paintings on the walls, but i prefer clean than dirty and artsy Staff: unfriendly Location: outside of the center, 15-ish minutes to the mosque by car",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 February 2018,3,Basic hotel for short stay,"We stayed for a couple of days on our way elsewhere, and it was decent. It is definitely a very basic hotel - breakfast is not included, and they don't even have shampoo in the bathroom, but it is decently clean and the staff is kind and helpful. Great for a short stay, but if you are staying for a while and want to enjoy I would recommend spending a bit more for something more luxurious!",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 December 2017,5,Ss,I’m staying in manzil hotel and this is not the first time it’s amazing hotel and so closed to Dubai mall and I would like to say thank you to main the coffee man he so smiley and all the the staff in courtyard and special thanks to Moustafa and Ahmed from reception.,Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 October 2017,1,"They need improvement, really","We’ve stayed one night at the arrival of our trip to morocco Seriously don’t bother booking this hotel, You couldn’t stand the smell of the bed and the mattresses, And it’s not clean at all The lights close to the bed is the home of several insects and the Air conditioning doesn’t work correctly it seems that it only flows the air. I didn’t know about the neighborhood but when we arrive until the midnight the little children keep continuing the firework with a very harsh sounds.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 May 2017,3,Reasonable Price,This hotel where you can stay for a reasonable price. Close to the city center. The location is not very safe. Cost/quality is OK. The internet connection is not very good. Rooms are good and have TV. The cleanliness of the rooms is not bad. Bathroom also is ok. I had a a flight. So I stayed one night. For a one night stay is OK.,Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 January 2017,5,above expectations,"I'm glad we found this hidden gem close to the city of Casablanca. Shops and the markets on the street, quiet place to stay and refresh between adventures. Very tidy, exceptional room service, 24/7 reception and competitive price. Definitely recommend it!",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 December 2016,1,Do not go there,"Dodgy neighbor hood, unsecure hotel, expensive, dirty, breakfast does not taste good, the hotel is far away from the towncentre it is really a waste of time. Avoid it simple as that. If you do go there anyway, tell the clerk to provide the breakfast room with food beforehand if you do not want to wait 1h for the guy to cook it. ""You can still eat leftovers from the day before if you are up to"".",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 January 2016,2,Employees were awful,"The desk employees were awful. On check-out I was over charged and they refused to give us the finished price. The employee was a teenager, who hardly even knew how to use the credit card machine. The other employee (who was a bit fatter and black) we had problems with, came to our arguing taxi driver, who was asking for triple the amount that was shown on the meter, and demanded we paid the taxi driver what he wanted. (Ended up calling police and paid the amount on meter screen) The hotel is very far from anything and you will need to take taxis to get back and forth. It would have been better just to pay a bit extra for one closer to the center and with nicer rooms and staff.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
 November 2016,3,Decent enough,"Decent enough for a stop over in cosmopolitan and lively Casa. Good shower, clean comfy beds, feels secure. You'll need taxis to get around from here, so make sure they use their metres so you don't get ripped off. The little red 'petit taxis' are good to nip around in and inexpensive.",Manzil_Hotel-Casablanca_Casablanca_Settat,Manzil_Hotel,Casablanca_Casablanca_Settat
