 January 2023,5,The best place in Fes - no contest,"This is in the top two places I have ever stayed in in my life. Incredible experience, everything is at the top level. We also visited a couple of high end bigger hotels-riads in Fes which were very nice, but nothing compares with Riad Le Caliphe. It's a 5-star ""hotel"" with amenities and service you would expect, but on a personal level. Yasmine and Alex are passionate about what they do and it makes all the difference about how you will experience Fes.",Riad_Le_Calife-Fes_Fes_Meknes,hotelName,city
 December 2022,5,Special Moments and hospitality,"Amazing top roof, breakfast something special, unique furniture, warm Welcome and hospitality. The host with warm heart made this stay very special with spirit and emotional moments in this hectic city of Fes outside, a place of peace and unforgetable room furniture.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 December 2022,5,Stepping back in time - with a great deal of pleasure and wonder,"My wife and I stayed in the Topaz room of Riad Le Calife Friday night to Sunday check out 02-04 December. Right from the moment Mamoun arrived in a stylish black Moroccan uniform with a smart Fes cap and took our luggage into the Medina ahead of us, we knew we were in for something special. Situated inside one of the oldest parts of the Medina (the oldest Andalucian part as I understand it), Riad Le Calife is well, just simply stunning - everything we hoped for in staying in a Moroccan Riad and more. The decor is traditional Moroccan mixed with an eclectic mix of art, books and sculptures that reward you for taking the time to peruse through them or simply relax and luxuriate in the atmosphere of a bygone era. My wife and I had dinner inside both nights and enjoyed delicious…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 November 2022,5,Hidden Gem in Fes,"My husband and are still raving about our time at Riad Le Calife. We don't have enough words to describe how wonderful our experience was. The guest house is beautifully decorated with little vignettes set up everywhere you look. The styling is beautiful. I kept taking pictures to show my interior designer as I knew she would love everything about it and it would just make her happy to see. The location was also perfect. We loved being in the old medina, but loved that we were tucked away from fray. Then there is the unbelievable hospitality of Alex and Jasmine. They take you in and take care of everything. Their joy of life, hosting, and sharing the love of their city is infectious. We found ourselves just wanting to be in their presence. We had them plan our various…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 November 2022,5,Fabulous Riad in the old city of Fes,"This charming Riad (guesthouse) in Fes was fantastic. It is well located in the centre of the old city. The building is from the last century but has been rehabilitated to offer all the comforts you would expect from a first class accommodation. Our suite was very spacious, comfortable and well appointed with interesting and different objects. We enjoyed 2 delicious Moroccan dinners prepared by there excellent cook Fatima. All there staff were friendly and very caring and helpful. They have a lovely roof garden overlooking the old city. Jasmine & Alex were charming hosts. Alex promised me that we would get together for a drink when they make their next visit Toronto. We look forward to it.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 November 2022,5,A jewel in Fes,"Our stay at the Riad le Calife in Fes was fantastic. The place is exquisite and exudes old world charm. Each room is decorated with collections from owners’ worldwide travels. Stepping out of our top floor Ruby suite onto the rooftop terrace, you get a sweeping view of the amazing Fes medina. Throughout our stay, Jasmine and her staff were very friendly and helpful. They arranged days trips for us, taxi rides, dinner reservations and graciously accommodated special needs such as early breakfasts and custom, late dinners at the riad. When my husband was not feeling well in the last day or two of our stay, Jasmine kindly switched us to their biggest Diamond suite so that we could rest even more comfortably. I ended up spending the whole day at the riad browsing objects and…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2022,5,Simply Amazing!,"We don't have enough words to describe how beautiful this place is, you feel like you're in a museum! Alex and his wife, Jasmine, have done a great job at managing their Riad and pay attention to every single detail. They love their town and their people, and it definitely shows. Their staff is also amazing - friendly, attentive and always with a big smile on their faces. We had our first dinner in Fes at their restaurant and didn't regret it - Fatima, their cook, made a delicious feast for us consisting of Moroccan salads as an appetizer, the best chicken tagine and a yummy fruit dessert with ice cream. I strongly recommend you eat here at least once, and of course, never skip their wonderful breakfast. The location is also very convenient and even though it can be a bit tricky…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2022,5,An Oasis in an Amazing City,"My honey & I and another couple recently spent two lovely nights at the Riad Le Calife in Fes. I can’t say enough about this beautiful Riad, lovely hostess, Yasmine, and wonderful and attentive staff. We were warmly welcomed, sitting in the beautiful interior courtyard, with trees, birds, fountain, drinking delicious mint tea; indeed an oasis in the sprawl of the medina. The rooms were spacious, spotlessly clean, and very well appointed. Breakfast was delicious - coffee, tea, yogurt, breads/rolls/crepes, jams, honey, olives, and eggs. We also had a delicious dinner at the Riad. The Riad is well situated within the medina. We were directed to park outside the medina and were met by staff to assist with our luggage and directions to the Riad. Through Yasmine we set up a…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2022,5,Absolutely exceptional!,"Opening the door from the busy, chaotic world of the Fez Medina one is transported to another place, an exotic tiled courtyard surrounded by a building which encapsulates Morocco as it used to be in another era. The whole building seeks to recreate a Riad as was many years ago with beautiful rooms and spaces furnished with high quality antiques and careful lighting. The outcome is not Kitch in the slightest, it is simply a lovely calm place to be and relax. The large bedrooms and bathrooms reflect the names of jewels, ours was Rubis (ruby) and furnished with rich reds. A large, heavy door opened on to a gallery from where you could look down into the courtyard. Aircon was necessary feature in the heat. The staff were excellent, attentive and friendly and nothing seemed to be…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2022,5,Riad Le Calife,"The Riad is just as described, full of character with a team that oozes service -- nothing is too much trouble. The essentials are all there (great bedrooms, showers and beds etc, quirky and comfortable public spaces but Alex and Yasmin have gone much further and have created a wonderful oasis in the heart of the Medina where the guest is central to all they do. See you both soon, good luck with building permissions and hopefully the work next month. Thank you for being such great hosts, the loan of a local phone was helpful, the guides to get us to taxis saved so much stress and the ice tea and cookies - superb",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2022,5,A Moroccan Palace,Our hosts Alex & Yasmine went way beyond expectations to make our stay memorable. A Beautifully appointed Riad with all the accommodations of a grand hotel only with a truly personal touch. A friendly attentive staff. Outstanding meals. Very Gracious hosts. 5 stars are not enough.,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2022,5,Highly Recommend this Riad,"My wife and I stayed 2 nights at this boutique riad in the Medina district. We loved everything about it. The owners, Alex and Jasmine were welcoming, friendly and helpful. We enjoyed a glass of wine on the rooftop area each afternoon. Our room was well appointed and contained many of the traditional Moroccan architectural components. Quiet and peaceful garden. Highly recommend this hotel!",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 October 2022,5,An enchanting experience for our family of four,"The Riad was charming, clean, well-located, and Yasmine, Alex and the staff met our every need cheerfully and efficiently. Our family of four had a wonderful time in Fes, but being able to relax and let our guards down in the peace and comfort of Riad Le Calife after time in the medina was invaluable. The medina is exhilarating and we never experienced any moments of real concern there, but one will experience there the moderate stresses of haggling, sometimes getting lost in the ""maze"", and shooing off would be ""guides"", etc. Having a first-class and professional establishment like Riad Le Calife to return home to is very refreshing. Also, to the extent we wanted to venture beyond the medina for tours, and to get help with train station transfers, Yasmine and Alex were able to…",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2022,5,Utterly exotic,"Completely enchanting and exotic space , beautifully decorated with an abundance of interesting antique objects, images and patterned tiles and carpets .It is a sensory delight and transports you to another world and time . It is hard to leave as there is so much to look at and engage with. The dining room on the roof is a perfect place to look out over Fes and listen to the call to prayer. The food was absolutely delicious and the charming owner Yesmin catered to all our dietary requirements. Rooms were lovely with views onto the courtyard. Perfect place to feel the history of Fes",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2022,5,Magical and mesmerizing,"Perfection! From the rich decor, the stained glass windows, the modern conveniences, and the delicious breakfast -- this was first class all the way. The riad is beautiful and filled with personal touches that make you feel welcomed into a Moroccan home. Alex and Yasmine were the most gracious of hosts and opened their home and hearts to their guests. I've never had better service and attention to making sure I enjoyed everything. They helped to book an excellent local guide (at the last minute) and other activities. The rooms were quiet, the garden private and refreshing, and the rooftop retreat magical.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 September 2022,5,Riad Le Calife / Fes Medina Must Stay,We had such a wonderful stay. Everything was just so throughout our three days with Jasmine and Alex and their fabulous staff. The rooms were well appointed and the beds very comfortable. The meals (breakfast and dinner) were delicious in the rooftop dining room with great views of the Medina. We also really enjoyed cold ice tea and cocktails in the courtyard after a day touring the Medina. Without question we would stay again and again….,Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
 June 2022,5,Exceptionally good,"An exquisite riad with exceptional service and personal attention from Alex, Yasmine and their staff. I liked it so much that I rescheduled my travel plans to stay an additional three nights. The meals and snacks prepared by Fatima were fabulous. Fes and this riad in particular were the absolute highlight of my trip to Morocco. Highly recommended.",Riad_Le_Calife-Fes_Fes_Meknes,Riad_Le_Calife,Fes_Fes_Meknes
