 October 2022,5,A Fabulous Stay,"We had a wonderful stay here at Riad Zahra. The staff are SO friendly and the Owners are just the loveliest: so attentive, polite and it was so nice to have been made to feel like a guest in a home rather than as a room number as hotels can make you feel. The riad is less than a 5 minute easy walk down to the beach, which was perfect! The vibe of the riad is so calming and relaxing, the rooms were kept immaculately clean and tidy and had all that we required. The garden area (with resident tortoise!) was probably our favourite, the pool was fabulous a lovely relaxing area, spacious enough to be comfortably used by multiple guests staying at the Riad. Breakfast was OUTSTANDING, the best breakfast out of the three stays we did during our Morocco trip. Walking down to…",hotelName,city
 August 2022,5,Super friendly place with great seaside vibes,We had an excellent stay at this neat riad. It was a block away from the beach and a 15-30 minute walk to the ports where the vendors are selling fresh catches. I was very pleasantly surprised to see that guests were all greeted with warm welcomes. I'm sure it's fixed by now but the shower did not drain but I was too far into vacay mode to remember to tell them about it.,Riad_Zahra,Essaouira
 July 2022,5,THIS CALLED HOME!!,"(+) I just feel like I slept in my own bed. Too comfy for me. The breakfast was perfect! My boyfriend and I loved it! Hotel is close to the beach area and medina like approx 10mins walking only. I didnt expect Essaouira will be this much cold. I coudln't stay in the pool more than 5mins coz the wind was too strong for me zzz. (-) Our room is no. 2, which very close to the front desk. And the view from our room is the windsurfing storage/front desk (not sure). And was so noisy. We are unable to change the room as the riad was fully booked. But anyway we can manage.",Riad_Zahra,Essaouira
 May 2022,5,Stunning Place,"Been here 5 times now , very friendly, helpfull. VERY clean.. 3-4 min walk your on the stunning beach , or a casual stroll 15-20min's your into the ""city"" or just grab a petit taxi, lovely owners and staff have always tried to help if weve had any question or requirements",Riad_Zahra,Essaouira
 April 2022,5,Fantastic cosy Riad!,"We stayed at Zahra for five days and thoroughly enjoyed our stay. The Riad is lovingly furnished, with a delightful central courtyard. Although the building isn't old, the decor is wonderfully evocative. Our room was spacious, comfortable and clean. The proprietors are lovely and care about their guests. Even though they were busy during our stay, they took the time to talk and were attentive and helpful. The food is also fantastic; the breakfast was great, but I'd suggest eating at least once for lunch and dinner. The seafood platter was a feast!",Riad_Zahra,Essaouira
 March 2022,5,A welcoming peaceful haven.,"Absolutely loved this place. We have been regular visitors to Essaouira for over 15 years and usually stay closer to the medina. This time we wanted a quiet time to relax and this was the perfect choice for us. So pleased we finally got there after several flight cancellations due to covid over the past couple of years. Xavier and his lovely wife were very friendly and welcoming. The building itself is absolutely beautiful. We had a superior room with two balconies, one overlooking the front of the hotel onto a quiet residential street and the other overlooking the side. The room was very clean, spacious and beautifully decorated. Extremely comfy bed, the best nights sleep I’ve ever had in Morocco. Breakfast was included and could be taken indoors or by the pool. The pool…",Riad_Zahra,Essaouira
 February 2022,5,Beautiful Riad,"Beautiful Riad, lovely rooms, nice decoration and friendly owners. It felt like such a treat to stay here.  We liked the location being nearby the beach. It's a beautiful walk along the esplanade to the medina. We wanted to relax for the last few days of our trip and this Riad and Essaouira we the perfect choice. We visited in February and was a little chilly for the swimming pool however enjoyed a dip nonetheless. I can imagine it's a great spot to swim when it's a bit warmer. We want to visit Essaouira again and would definitely stay at Riad Zahra. ",Riad_Zahra,Essaouira
 November 2021,5,5 weeks in Morocco and this is our favorite Riad!,"After traveling through the country, staying in 7 Riad's - we found heaven! Xavier and Edith are amazing hosts, their staff is excellent and honestly - we had the best lamb tagine in all of Morocco! (Plus breakfast and lunch is amazing too). We only planned to spend 5 nights but cut time from another location to stay here 8 nights - we did not want to leave. If you come to Essaouria - stay here...you will not be disappointed!",Riad_Zahra,Essaouira
 September 2021,5,Stunningly beautiful; perfect location,"This exquisitely beautiful, quiet hotel - riad run for 18 years by Xavier and his lovely and wonderfully nice wife is ideal for those (like us) who like being a two minute walk from the far less crowded part of the beach. We simply loved our 20 minute walks north along the shore on the ""boardwalk"" to the ancient city center (Medina & Kasbah.) Breakfasts are great and Xavier even offered (without us asking) and made us breakfasts-to-go for our 5 a.m. departure on Day 3. Loved our pool time here. Camel rides, restaurants, and kite surfing just a 4 minute walk. Perhaps the best thing about the location other than the quiet is that, at the south edge of town, the amazing stretch of deserted, beautiful beach (with the 1700's Borj El Baroud ruins) begins just a 6 minute walk…",Riad_Zahra,Essaouira
 September 2021,5,Very nice Riad,"excelent riad , we will recomend to friends and family, the staff and the owner are friendly and helpful, the quality of food is good, room very clean , Thanks a bunch to all the staff, specially the owner of this riad , i like also the decoration.",Riad_Zahra,Essaouira
 October 2022,5,A Fabulous Stay,"We had a wonderful stay here at Riad Zahra. The staff are SO friendly and the Owners are just the loveliest: so attentive, polite and it was so nice to have been made to feel like a guest in a home rather than as a room number as hotels can make you feel. The riad is less than a 5 minute easy walk down to the beach, which was perfect! The vibe of the riad is so calming and relaxing, the rooms were kept immaculately clean and tidy and had all that we required. The garden area (with resident tortoise!) was probably our favourite, the pool was fabulous a lovely relaxing area, spacious enough to be comfortably used by multiple guests staying at the Riad. Breakfast was OUTSTANDING, the best breakfast out of the three stays we did during our Morocco trip. Walking down to…",Riad_Zahra,Essaouira
