 November 2022,5,Great place to stay in Rabat,"Fabulous place to stay! Gorgeous grounds and pool. Room was very nice, quiet, comfortable. Waterfall shower! Ate at least 3 meals here (B, L, D) - food was outstanding, service also. If nice weather, eat in the outdoor area. Room had a little patio.",hotelName,city
 September 2021,5,Beautiful gardens and excellent accommodations and attention to detail.,"Villa Mandarin exceeded our expectations. We spent 4 nights here and totally enjoyed the stay. Beautiful grounds to enjoy and staff that were friendly and professional. Every detail seemed perfect with all thought given to the guest. Hubby enjoyed a massage and we all enjoyed time spent relaxing around the pool. We had several meals here and all were exceptional. Special shout out to sisters Fatiha & Juidad and Khalid who were our breakfast and dinner staff. Exceptional is an understatement…. We have traveled around the world and have never seen or experience such professionalism , attention to detail and degree of service. We never needed to request a thing, all needs were anticipated and met without asking. If we ever return to Rabat this is where we would return to.",Villa_Mandarine,Rabat
 October 2022,5,Perfect welcome to Morocco,"We accidentally arrived a day before our reservation.Chifii was so welcoming, even though the Villa Mandarine was fully booked for the night. He arranged a welcome drink for us and arranged a place to stay at a nearby bed and breakfast. He suggested we have some dinner and after he would arrange transportation for us. We could return the next day after breakfast. While we were dining, a room opened up for us as someone had cancelled. Chifii was clearly pleased that he could accommodate us. Villa Mandarine is a lovely property with excellent food. The staff is friendly and always able to meet your needs",Villa_Mandarine,Rabat
 September 2022,4,Good choice,Very nice and comfortable property.. First night of our two week trip and an excellent place to get settled. Excellent breakfast. Convenient location. We were traveling with a wheelchair and the staff was quite helpful which was much appreciated.,Villa_Mandarine,Rabat
 September 2022,5,Perfect tranquility,"Villa Mandarine was our first stop in a month-long trip around Morocco, and it was a beautiful way to begin. The property is tranquil and quiet, with extensive lush gardens. We had breakfast and dinner in the restaurant gardens, and all meals were excellent. Our room was on the second floor and overlooked the courtyard. It was light and airy, comfortably furnished (including Nespresso machine and kettle), and had a sitting room and a little balcony. The service was wonderful, and it was the perfect place to unwind after a couple of very long flights to get to Morocco! The Villa is quite far from the tourist sights and the Medina, so if you are looking for accommodation where you can walk to everything, this is probably not for you. But if you want excellent service and peaceful…",Villa_Mandarine,Rabat
 September 2022,5,I didn’t want to leave!,"As part of our Gate 1 tour, we slept there for 2 nights. What an unbelievable and remarkable place. The property is clean , peaceful and serene. The greenery, the flowers, the courtyards are a Wow..our dinners and breakfasts were delicious..You can eat inside or outside. The rooms all have unique designs with confortable beds and pillows.. Service was friendly and exceptionally welcoming. What can I say more , I did not want to leave. This is a must stay!",Villa_Mandarine,Rabat
 September 2022,5,A quiet piece of paradise,"This hotel is one of the most lovely places I’ve stayed. The gardens are exquisite, rooms lovely and spacious, the room is wonderful, and the staff attentive but not pushy. It’s a quiet little oasis that’s a perfect spot to rest not far from the city.",Villa_Mandarine,Rabat
 August 2022,4,Nice local experience,"Stayed three nights. Very different to staying in a big brand hotel and this is definitely a recommended experience. Nice comfortable hotel room with a unique design, furniture and accessories/decorations. Gives it a local feel. Bathroom has a bathtub with shower including all the accessories you receive in any other hotel. Nice comfortable bed with lots of pillows. A lot of different tv channels from various satellite/cable providers with clear instructions on how to get around the channels. Room service available with a limited but varied options including sandwiches, burger, soup, omelette etc. all delivered promptly. Very friendly helpful service. Lots of greenery in garden and courtyard if you want to walk around. Breakfast is good - breads, spreads, boiled eggs,…",Villa_Mandarine,Rabat
 July 2022,5,Amazing experience,We recently stayed at Villa Mandarine as a family with a toddler for 9 days. We had a perfect experience. Hospitality at its best. The owner is so kind and staff catered to every need. The property is gorgeous and peaceful and the service is first class. We will definitely go back!,Villa_Mandarine,Rabat
 June 2022,5,Such a nice traditional and beautiful gardens,"so calm. so nice. good restaurant, good service, beautiful gardens. a place of calm in the midst of the city. so calm. so nice. good restaurant, good service, beautiful gardens. a place of calm in the midst of the city.",Villa_Mandarine,Rabat
 May 2022,5,Amazing property!,"We had a great 2-night stay at Villa Mandarine! The property is stunning: a real peaceful oasis. The pool was great (the perfect temperature). Staff were very friendly. Breakfast was a little basic, but we had a wonderful dinner there one of the nights. Definitely recommend staying here!",Villa_Mandarine,Rabat
 October 2021,5,Lovely hotel in Rabat suburbs,"This was our first night in Morocco and we loved our choice. VM is simply lovely, with a beautiful courtyard filled with flowering plants and center fountain, as well as lush gardens around the property. The food was excellent, as was the service.",Villa_Mandarine,Rabat
 October 2021,5,Amazing place and service,"I've been to Villa Mandarine many times and I've never been disappointed. Service is great, food is tasty, and their garden is so soothing and relaxing! It is my to-go place when a friend is visiting, but also when I want to be on my own taking some time for myself. Highly highly highly recommend!",Villa_Mandarine,Rabat
 June 2021,5,Perfect first night in Morocco!,"After an exhausting day of travel from San Francisco to Casablanca, we arrived to this gorgeous villa set in a beautiful garden. It was the perfect way to start our summer Moroccan adventure. The rooms were so thoughtfully designed and the overall setting could not be more tranquil. We loved the outdoor breakfast in particular. Highly recommend this place!",Villa_Mandarine,Rabat
 May 2021,5,Highly recommend this place,Authentic Moroccan design villa style. Spacious garden with gorgeous flowers. Staff is extremely friendly and restaurant food is outstanding. I had a very relaxing leisure time in here. Would definitely recommend it for couples who want a relaxing getaway.,Villa_Mandarine,Rabat
 March 2020,5,Excellent Hotel and Excellent Service,"The rooms of the hotel were quite spacey and we even had a private terrace in the garden. It's a beautiful hotel with exceptional service, gorgeous gardens and in a very safe neighborhood surrounded by Embassies. the restaurant has a very nice menu...go for the cheese sampler and the Raviolis.",Villa_Mandarine,Rabat
 March 2020,5,Elegant hotel,This is a vey nice hotel with interesting attractive grounds. There are even peacocks roaming the grounds. The hotel restaurant was great. Staff were helpful. The room was nice but not luxurious. Neighborhood was good and safe. Not a lot of eating nearby except quick food places which were OK.,Villa_Mandarine,Rabat
 February 2020,5,Beautiful setting in the Embassy District,"Originally the home of French citrus growers, this hotel has a beautiful garden and many public rooms to relax and enjoy a tea or cocktail. The restaurant serves delicious Moroccan food. The rooms are spacious and had great beds. most rooms have a private terrace.",Villa_Mandarine,Rabat
 January 2020,4,Beautiful grounds,"We stayed st this hotel as part of a group tour. While the grounds were lovely and we enjoyed the restaurant, I thought the room furnishings were a bit shabby and could use upgrading. There was also tacky-looking wallpaper on one wall. However, the room has some interesting art on the walls that I would have like to purchase. The service in the dining room for breakfast was a bit odd. Although there was plenty of staff, they didn't come by to ask if we wanted omelettes or pancakes, which are included, but have to be ordered separately. We had to flag someone down to give our order.",Villa_Mandarine,Rabat
 December 2019,5,Gorgeous Hotel Surrounded by Garden Oasis,"Wonderful, peaceful hotel surrounded by beautiful gardens. The hotel has a warm, welcoming lobby where the staff are friendly. The hotel bar has a billiard room and place to have a starter or tea. Our room was perfect...spacious with a king bed and love seat, decorated in blue and yellow looking over the gardens with it's own patio. I would recommend staying at Villa Mandarine.",Villa_Mandarine,Rabat
 October 2019,5,a wonderful and luxurious hotel,"Large rooms with hallway, large bathroom perfectly equipped and decorated. Beautiful hallways and courtyards with lots of antiques, fountains, exotic plants everywhere, large and private swimming pool, Great food, bar, pool table room, etc, a real delight. Attentive staff.",Villa_Mandarine,Rabat
 November 2019,5,An oasis of peace and well being,"Situated in a very quiet area outside the city center this place is a real jewel. Charming and spacious rooms, beautiful gardens, friendly and helpful staff. Excellent restaurant. I have spent many vacations at this place and will certainly be back.",Villa_Mandarine,Rabat
 October 2019,5,Fabulous Stay,"Beautiful hotel, gorgeous grounds, elegant, quiet, romantic. Located in a quiet neighborhood. Easy to get a taxi to tour area. Professional, friendly, knowledgeable staff. English spoken perfectly. Very clean. Outstandingly maintained.",Villa_Mandarine,Rabat
 October 2019,5,"Lovely Hotel, Set Amid Peaceful Gardens. Oasis in the City.","Hands down, my favorite hotel of a two week trip. Located in busy Rabat, the lovely gardens totally insulate the hotel from the bustle of the city. The building itself is charming, with rooms set around a central courtyard with fountain tinkling merrily away. The room was very large and comfortable, with a private outside seating area. Dining was also excellent (we had dinner and then breakfast there). Food was high quality, well-prepared, and delicious. If you want to get out of a cookie-cutter hotel and stay somewhere you feel at home, try Villa Mandarine.",Villa_Mandarine,Rabat
 September 2019,5,Gorgeous Grounds,"Spacious, almost vast hotel in delightful grounds. Staff, breakfasts, hospitality were all top notch. It was a treat to laze around the pool in the heat of the afternoon. The hotel is not in the city centre so a petite taxi is required to get there.",Villa_Mandarine,Rabat
 September 2019,5,Garden Oasis,"What a way to start our 19 day tour of Morocco (our 1st night in Casablanca doesn’t count as we spent the whole recovering from our flight. At 71, it takes longer to adjust)! Astonishment is an understatement. Our 2nd floor suite looked onto both the interior courtyard and the outside gardens. Comfort at every turn, from the bedding to the private balcony. The expansive gardens were designed to meander with surprises at every turn, a swimming pool here, a blue cow there. Fun and relaxing. The restaurant was excellent for both days of breakfasts and dinners. Staff was very professional, slightly aloof, but not enough to offend. The clientele was a mixture of professionals, and tourists. What do you expect in a capital city at one of its finest establishments? We have now stayed…",Villa_Mandarine,Rabat
