 November 2022,5,Awesome experience!,"We loved our stay at Sofitel Rabat Jardin des Roses. The hotel is absolutely beautiful, the service was awesome, the food at all restaurants was delicious. Everything went flawless and we felt pampered our entire stay. We had our first experience with Moroccan food at Al Warda restaurant, and it was excellent. Fatima Zohra and Oumaima Sanae did a great job helping us to select dishes and serve dinner and vine. The overall experience was outstanding!",hotelName,city
 December 2022,5,Returning Guests.,"My partner and I often stay at the Sofitel Rabat Jardins Des Roses . We have complete faith in the excellent level of service and experience. Special mention to Fatima Zahra , for being so accommodating and kind - she could not have been more welcoming",sofitel _rabat,rabat
 November 2022,5,the amazing Fati,"It was fabulous especially the amazing Fati ! She was super helpful and informative about amenities and services available when I asked. An absolute superstar! Thank soo much Fati! The stay was very convenient and easy,",sofitel _rabat,rabat
 December 2022,5,Excellent,The room was very clean and the aroma perfected . Halima did an excellent or extremely good job all the 5 days I was there .I would like to give her 10/10 rate for her standing job :) Vívanlo Morroco won .This is my first time in Morocco *Rabat :),sofitel _rabat,rabat
 November 2022,5,Great stay,We (18 ladies) booked for a 1-night stay. The hotel is nice and comfortable with helpful staff. My room was super nice with a balcony overlooking palm trees at the back yard garden. We will be back again SEE photos,sofitel _rabat,rabat
 December 2022,5,"Thanks Hafida, Rachida and Sona!","Very pleasant stay during the UNESCO conference. Beautiful place and garden, quiet room, great breakfast, caring staff. We would like to thank Hafida, Rachida and Sona who took care of our comfort! ;-)",sofitel _rabat,rabat
 November 2022,5,"comfortable , smart , good food , recommended in Rabat.","A smart and comfortable hotel with lovely gardens , two swimming pools , and at least one good restaurant for dinner "" The Golden Fish"" ...extra special thanks to our servers Amal and Salif for looking after us....though all the hotel staff we met were friendly and professional. Although the hotel had an International Conference on, and was at times quite busy it just added to the atmosphere and as sight-seeing tourists visiting Rabat for just two nights we still felt very welcome. Nice choice at breakfast too.",sofitel _rabat,rabat
 November 2022,5,Great hotel. Has a delicious seafood restaurant “Golden Fish” overlooking the hotel’s swimming pool. Definitely worth it,Great hotel. Has an amazing seafood restaurant called Golden Fish. Booked a table at 8:00 PM for dinner. Relaxing atmosphere. Delicious food. Excellent service by Ms. Amal and Mr. Salif. Overlooking the hotel’s swimming pool. Highly recommended 👍🏻,sofitel _rabat,rabat
 November 2022,5,excellent hotel,excellent hotel. I enjoyed my stay there. Very nice view from east side. good food quality in breakfast. rooms are clean and spacious. I want to thank Nadia for her daily warm reception in the Millésime Club.,sofitel _rabat,rabat
 November 2022,5,Mr,The hospitality at hotel was excellent and the house keeping was good the room was always clean. Thank you for your kind hospitality. Najat and habiba and the minibar yasser were so good their hospitality was excellent.,sofitel _rabat,rabat
 November 2022,5,"Food was spectacular ! They suprised me with a cake for my birthday, and help me choose vegetarian foods thank you all..","Excellente expérience in golden fish. The service was amazing. The ambiance is very charming and their food is beyound amazing, thank you all staff is very professional but specially amal and manager Soufiane",sofitel _rabat,rabat
 November 2022,5,The Sofitel Rabat's restaurant is an excellent restaurant and has a caring professional staff.,"We were very pleased with the Sofitel. It is large, luxurious, and well-appointed and has a very professional staff. We want to particularly recognize three members of the restaurant staff. Abdessamab, Youssof, and Ibtissam were most attentive, friendly, and professional in ensuring we had a most enjoyable evening with them. It was our first night in Morocco after a long flight from the USA. Abdessamab picked the perfect Moroccan red wine for us. Thank you, all. You were our first contacts in this setting and you did it very well! Bob and Joy King Iowa, USA",sofitel _rabat,rabat
 November 2022,5,Excellent experience of my wife birthday,"Very very grateful and happy for the staff of Golden Fish restaurant,Soufiane and Amal and Youssef and Salif for organizing a surprised happy birthday for my dearest wife Lani with a very special birthday cake. Charles and Lani Nguyen, customers from California and friends.",sofitel _rabat,rabat
 November 2022,5,Moroccan Restaurant,"Lovely service and amazing food. Especially Oumaima ,Sanae,Fatima Zahra were fantastic. Great experience. Chef Rashida is very nice. They made Moroccan Tagine, Chicken and Lamb. I highly recommend a visit.",sofitel _rabat,rabat
 October 2022,5,The lif is beautiful,Brunch improve excellenttt welcome by competent staff variety of high qualityyy dishes the great chef her name Rachida she’s gives us advice on favorable dishes in short the service was of high quality a small remarqueee see the animation,sofitel _rabat,rabat
