 November 2021,5,"Great place, great location, amazing architecture, super breakfast","We tremendously enjoyed our 4 day stay at the Riad. Latifa was an amazing host and everything was delightful. The internal architecture and artifacts, the cleanliness, the superb breakfast, the comfortable and spacious rooms and the quietness. It was un ideal place to come back to at the end of the day. Highly recommended!!"
 May 2021,5,Amazing architecture!,Excellent location. The Riad looks so moorish with a courtyard with a fountains and walls of beautiful moorish mosaics. The room was also beautiful. The service was excellent. I recommend this place if you are looking for the Real Morocco experience.
 January 2020,2,Not as good as other riads we stayed in,"Good location and a mix of modern and traditional Riad. However the water runs cold in the middle of the shower, and that repeated, so maybe their boiler is not enough to receive many guests. The beds are very comfortable and rooms are spacious, but unfortunately we can't ignore the cold shower during winter, specially after a few days in the desert (where we didn't expect hot water, but was very good). We also hated the small curtains. As the room in in the first floor, you can see the room from the patio."
 December 2019,5,Wonderful Experience!,"I had a wonderful experience. In the breakfast they served fruits and vegetables, yogurts and milk, croissants and pastries, pineapple, chocolate cake and much more. Our room had a different but awesome bath-tub and the staff was very helpful."
 December 2019,4,Good riad in Rabat,"This is a nice, good and clean riad in Rabat. Our host for the night was Abdur, who was very helpful and welcoming. The room was fine, but just a note, our room only had a curtain between the room and the small bathroom, so you could hear and potentially smell what’s going on in the bathroom. Location is close to restaurants and the Kasbah Oudaiya. Breakfast was very pleasant with fresh fruits, juice and coffee. Would stay again."
 November 2019,5,Great riad in convenient location,"We really enjoyed our stay in this riad, the room was lovely and spacious and very quiet. It is a very convenient location to go around the Medina and it is just a short walk from the main attractions (Kasbah des Oudaya, Hassan tower). The breakfast was great with plenty to eat and a very good selection of fruits, nuts and delicious homemade breads and pastries. The host gave us great recommendations for restaurants nearby that were very good value for money. Also the overall decor of the riad was beautiful. I would definitly recommend this riad for a city break in Rabat !"
 November 2019,5,Spacious riad with great service,"This is the biggest room that we stay in riad in Morocco, and it is nicely designed and well-equipped. It is tidy and comfortable. Staff are helpful and friendly, and they gave a good introduction of Rabat to us, which enhanced our travel experience in Rabat."
 October 2019,5,Two excellent nights in Rabat before touring the country,"Beautifully restored Riad in the Medina, large rooms, very attentive and helpful staff. As many Riads, we visited in Morocco, not enough light in the bedroom and bathroom. Wonderful rooftop terrace, Very clean. Classy"
 July 2019,5,Nice Riad,I forget the names of the staff. I was received by a lady who gave me a map and a great introduction to the city. She was helpful in many other ways. The young guy in the evening and night shift was great and very accommodating. This Riad is clean and great to stay at. Their breakfast is the best I ever had at any Rida during my stay in Morocco. The breakfast is fresh with lots of fruits and a huge amount of food. Has a wonderful rooftop. It would add to the beauty of the Riad if they put fine touches to the reception area. But to sum it up it is a wonderful place to stay at.
 May 2019,5,Best breakfast we had in Morocco,"We spent a night here. The riad is quiet, nicely decorated and conveniently located within the medina but close to the train station and the shore. Of all the places we stayed at in Morocco, this had the best breakfast, with all the usual components ( fruit, different breads, eggs, orange juice, coffee etc.) but done very well. The owner is a charming and friendly lady, helped us find a good dinner spot and offered useful advice. Highly recommended."
 March 2019,5,Super Location - Super Team,"Lovely quiet riad in the medina but easy to find - just walk up the avenue Mohammed V from the railway station, into the medina, continue straight on and it is well sign-posted on the left at the end of the Impasse Souaf. Great base for exploring Rabat and in the heart of the medina. Splendid welcome and all staff extremely friendly and helpful throughout my stay. Fantastic breakfasts on the roof garden every morning - yoghurts, bread, pancakes, eggs, fruit, preserves, cheese, olives, cakes, freshly-squeezed fruit juice, coffee and tea. Very comfortable, cool bedroom with en-suite shower/toilet and plenty of public space in which to unwind. A very peaceful and friendly haven."
 February 2019,5,Great small super clean hotel. Good location.,"Very clean nice hotel. Extremely nice manager. Big comfortable rooms. Very close to main market. Practically on it. Silent and very easy to find, what is a good exception for hotels in Medina. Right in the center. Good wifi ;) with strong signal. Nice view from terrace."
 January 2019,5,Beautiful Riad in the medina,"We had a lovely stay in this beautiful little Riad. Very gracious hosts and pretty rooms gave us an authentic experience. There are a few bedrooms upstairs as well as a living room with kettle, fridge, comfy chairs etc."
