 January 2023,5,Lovely winter sun holiday at a great hotel,"We have just returned from Founty beach. We had a lovely 9 days. The hotel is by an amazing beach. The food was great. There is plenty of choice. When reviews have talked about repetition I would say there is so much choice repetition doesn't matter. Soups, meat, salads, fish, cheese, pasta, fresh vegetables and lots of fruit and desserts. Kids get their own food station. Room was large. Rooms face north and south so request a south facing sunny room. We had a basic room which was on the sunny side and had a side seaview but did overlook a derelict hotel. But we had a sunset every evening. The best rooms are pool / garden/ sea view with sun. The pool area and pool bar is lovely. Late breakfast and lunch at the pool bar is a nice touch. The entertainment team work hard. We…",hotelName,city,Unnamed: 6
 August 2022,5,Great hotel and amazing staff,"This is my third holiday in Agadir and I have to say This is a great hotel for family. Great atmosphere too. The staff are polite and helpful and nothing is too much. The reception team are informative and happy to help. My daughter forgot her iPhone and nike bag on the reception desk and they kept safe till we went back to collect. The rooms are spacious, big balconies and cleaned daily, bed made, with enough clean white and stain free towels and toilet papers..The laundry service is quite reasonable price as well. The Spa is AMAZING, booked it twice full packages with my 2 kids. Little bit on the pricey side but worth every penny. Best Hamam, scrap and massage, kids also enjoyed their package which also included massages and individual jacuzzi( thank you Sarah and Amina). …",Iberostar_Founty_Beach,Agadir,
 December 2022,5,In love with this Hotel!,"Just back from a week stay for the New Year at this wonderful hotel. The hotel and restaurant staff are warm and hospitable, everyone works super hard to make sure your stay is enjoyable. The food served here in our opinion is delicious with a wide choice for even the fussiest of eaters. The rooms are a generous size, clean and beds comfortable. As for the AMAZING Entertainment Team, would like to give special thanks to RONY, SIMO, AYOUB, ADIL and ISSA who had us smiling throughout our stay. New Year at home will never be the same following this trip - we will always want to return to celebrate with our new friends - we appreciate each and every one of you! TO ALL THE MANAGEMENT AND STAFF THANK YOU ALL FOR AN AMAZING AND RESTFUL HOLIDAY :-)",Iberostar_Founty_Beach,Agadir,
 January 2023,5,Great hotel great staff,We are just coming to the end of our week holiday at founty beach & could not fault this hotel at all. The staff in the hotel are so welcoming & can not do enough to make you happy. The entertainment team are amazing at what they do getting adults & children involved in the activities. Our favourite was Simo a pleasure to meet everyday & cannot do enough to help you. Always smiling & went out of his way to make us happy. We will definitely return to this hotel cannot wait,Iberostar_Founty_Beach,Agadir,
 January 2023,5,Best staff,"Went to stay in this hotel for a week for a rewind. The tours were quite fun and the staff were so friendly. In particular, Simo, Who is one of bubbliest people we’ve ever met. He gave us a tour of the hotel and a run down of all the activities and also checked in every day with us. He made us feel very welcomed and our stay was very enjoyable because we got to make the most of our trip. The food halls had lots of options and there were delicious. Couldn’t recommend this hotel more!",Iberostar_Founty_Beach,Agadir,
 January 2023,5,Holiday,"We had a wonderful time at this hotel. Food was great, staff were very friendly especially the guy Simò from the entertainment team!! He really made sure we knew what was going on every day and chatted to us every day!! A great experience here in Agadir!!",Iberostar_Founty_Beach,Agadir,
 June 2022,5,"Friendly Staff, Lots to do!","I enjoyed my stay here last year in June. The food was good, fresh every night, clean rooms, the staff were friendly and the entertainment was good. It's right on the beach front so easy access. Tour guides are friendly and help with excursions. I managed to go sand-boarding, walk on the pier, visit the marina, do some day excursions to nearby areas and more. Highly recommend and will be coming back this year!",Iberostar_Founty_Beach,Agadir,
 January 2023,5,Holiday,Had the most amazing holiday at Iberostar Founty Beach in Morocco. We have been well looked after by all of the staff and the entertainment has been fantastic especially from Simo who always took the time to come and chat with us. Tariq the singer was excellent and again always took the time to come and chat with us. Aziz who owns the shop was amazing and even took us to the souk on his day off. Will definitely be back soon.,Iberostar_Founty_Beach,Agadir,
 November 2022,5,Amazing Holiday,"This was exactly what we needed - beautiful surroundings in a stunning location - Fabulous staff every single one - great service from every department in the hotel Who were helpful, friendly, enthusiastic and welcoming - lovely food - variety of fun inclusive activities but no pressure to take part if you don’t want to. We did archery stretch aqua, swimming darts games bingo, Moroccan show, dancing, to name but a few. Lots of places to relax indoors and out. Seriously we couldn’t fault it. Beer and wine are self serve limited cocktails which were ok . Fresh choice of grilled meat fish and pizza every day along with the thousands of other fresh choices. We were spoiled with choice of fresh fruit and salad choices. Well done to ever member of staff from cleaning…",Iberostar_Founty_Beach,Agadir,
 December 2022,5,Thank you for a wonderful stay!,"What can I say our stay was fantastic!! The hotel is in a lovely location with three beautiful pools and right by the sea, with a private area on the beach for hotel guests. There is a beautiful promenade where you can walk right to the the marina just outside the hotel. Our room was beautiful looking out to the garden and sea, a lovely place to watch the sun go down. The room was spacious and very clean the housekeeping staff were so pleasant and helpful. What makes this hotel stand out not only the location and setting but the staff. I can honestly say I have never stayed in a hotel, that has such hospitality, friendliness and professionalism at the heart of everything they do. From those at reception to Hyatt, Nualla for wonderful customer service and helpfulness to…",Iberostar_Founty_Beach,Agadir,
 January 2023,5,Lovely winter sun holiday at a great hotel,"We have just returned from Founty beach. We had a lovely 9 days. The hotel is by an amazing beach. The food was great. There is plenty of choice. When reviews have talked about repetition I would say there is so much choice repetition doesn't matter. Soups, meat, salads, fish, cheese, pasta, fresh vegetables and lots of fruit and desserts. Kids get their own food station. Room was large. Rooms face north and south so request a south facing sunny room. We had a basic room which was on the sunny side and had a side seaview but did overlook a derelict hotel. But we had a sunset every evening. The best rooms are pool / garden/ sea view with sun. The pool area and pool bar is lovely. Late breakfast and lunch at the pool bar is a nice touch. The entertainment team work hard. We…",Iberostar_Founty_Beach,Agadir,
