 January 2023,2,apple pay does not work at their till,"stopped for lunch at their seafront restaurant, asked if they did apple pay. told yes had a meal and went to pay, would not accept both my wife and i apple pay even though our phones got a payment tick. my wife then had to go back to our appt to get my debit card while i sat by payment till. watched other people trying to use apple pay and all had to revert to their debit cards."
 December 2022,3,Could be better,"The hotel is well placed along the beach front and only a 10-minute walk along the seafront into the old town, port and medina. The bedrooms are large and clean with nice terraces and the beds are very comfortable. The bathrooms have toiletries (shower gel, shampoo, conditioner and body lotion), but the paper handkerchiefs are so thin they disintegrate on touching moisture so take you own with you! The breakfast choices are very poor and are mostly sweet and Moroccan dishes and not International. Sadly lacking in savoury items and salted butter. Since I prefer a savoury breakfast, I found it very disappointing and lacking in choice apart from eggs, and tired looking cheese and spam. After a few days I considered going out for breakfast somewhere else to get some variety,…"
 December 2022,4,Absolutely wonderful stay...revitalizing and does what is says,"To start with, the location itself worth the steep price you will pay at the property. There are high chances you might be coming in by bus from Marrakech and it is situated at a 5-min walking distance (or 7MAD Taxi ride) from the Supratours terminal. Check-in was smooth but we had to wait for a while even when we had done the online check-in. As an ALL member, we were also given vouchers to drinks which we could redeem later. Coming to the rooms, I will suggest the sea-view rooms because they are a world in itself. Rooms are cozy and well-stocked. They play close attention to the minute details... stationery, welcome confectionery, explaining the various things to do in the property. Do remember, this is an old property so fixtures are not entirely modern. You could face…"
 December 2022,5,A lovely hotel and a fantastic location,"How to get to the hotel: You can either book a taxi directly with the hotel or get one from outside the airport for 200dh (the price is the same for both options). The weather: It was not dull or wet but a bit cold at night. The hotel: The hotel is very central, opposite the beach and about 5 to 10mn walk from the old medina and the port. They have a private that can only be used by the guests. It is a very clean and well maintained hotel and I can not fault it even if I tried to. The rooms: The rooms are big enough and you have a desk, a bed, TV, Kettle, a sage, Teas/Coffees but no iron, AC/Heating. The bed is comfortable enough and they give you spare blankets in case you feel cold at night. The balcony had a table and two chairs but I didn't use it. Bathroom: Very smart…"
 October 2022,5,Excellent hotel and friendly staff,"The hotel is really nice and in a great location, just opposite the beach and within walking distance of the medina. It's slightly dated, but if anything, this adds to it's charm. The staff were also very friendly and helpful, particularly Samira who sent some clothing back to England that I accidentalkly left in the wardrobe! The pool area has a good atmosphere and lots of space, and there'sd also the warmer indoor pool and the private beach area."
 October 2022,3,clean hotel but…,"We arrived at the hotel for one night. The location is good, the hotel is clean, the breakfast is good but it looks old and does not open the heart. If you have other options for a 5-star hotel in the area, then it's better מלון סביר באיזור לא מי יודע מה."
 October 2022,4,Review of the M Beach resturant,"We stayed two nights at the MGallery hotel, and found the accomodation clean and adequately maintained relative to a 10 night tour around Marrakech, Casablanca, Rabat and the road of a 1000 kasbahs where we stayed in Xaluca branded resorts. After 7.00pm there was no bar or restaurant service in the hotel and so we were forced across the roasd to the M Beach restaurant. The food here was excellent but in general it appeared understaffed. it took more than 25 minutes to get a drink after being seated at the table. The staff were turning away non-residents as it appreared to be one of the smarter extablishments on the beach and so attracted passers by. On the first night we ate pizzas, wine and Flag Escpecial beer. On the second night we had penne aux gambas, and cotelets…"
 October 2022,5,Lovely friendly charm,"This hotel has a quaint charm and is right outside the medina. It is right on the beach and has a beautiful fish restaurant right on the beach and private beach area with great sun beds and umbrellas free of cost. This makes it a great location to visit Essaouria as you can walk into the medina in 10 minutes for shopping and restaurants. The staff are super friendly with a special call out to the lovely ladies on reception - Hasna and Nezha - who looked after me so well. The cleaning staff who work so hard and scrub that hotel from top to bottom every day! And also Younes on the beach who was super friendly but also so so kind to another lady who was with her disabled daughter. Younes helped get the girl on the beach, out of chair and on the sun bed. Every time. Without being…"
 September 2022,3,In need of updating,"Overall we had a nice stay at this hotel, but it is a very tired hotel in need of updating. Definitely not 5 star! Good points - the staff were all lovely and very helpful - the beach bar/restaurant was nicely located to watch the sunset and was reasonably prices. - enough loungers to go around (although we weren't there in high season) - great location for walking into the town Negative points - The hotel really needs refurbishment. All the doors in the bedroom were old and didn't fit properly. The bathroom was very dated and had awful drainage - the indoor ""spa"" was just plain weird. We were told you could book one hour a day entry to the spa, so we duly booked. On arrival it is just a small indoor pool with bubbles. The fountain in the corner wasn't working and there were…"
 September 2022,5,Excellent warm and friendly welcome to Essaouira,"We are currently staying at the hotel first floor overlooking the pool. From an initial warm and friendly welcome from reception staff quick check-in process and nice room. The breakfast staff are warm friendly attentive yet unobtrusive. Annabelle the general manageress is one of the best managers I have encountered travelling and an excellent example to her employer. We have tried the hotel spa a very pleasurable and again welcoming and friendly service. I have journeyed through Morocco several times and this is by far the best hotel experience I have had. A small technical problem with room equipment was dealt with quickly and efficiently and a room swap offered. I rarely recommend anything but certainly recommend this hotel for its warm friendly staff, amenities and…"
