 January 2023,5,Haven of calm and greenery,"Stayed 5 nights. Welcoming staff, large peaceful central garden and pool area. Mustafa and Hicham looked after us well at breakfast time. Also Marcelona restaurant very good ate there twice.Hotel in a decent location, handy for station and airport. Walkable distance to Medina at winter temperatures otherwise an easy and short taxi ride"
 December 2022,5,Review,"A very beautiful hotel. I recommend this place, which gave us a beautiful energy My wife and I want to thank naima in the restaurant breakfast saray the girl Fatimaezzahra guest relation who made us happy in the hotel and we met by chance in a market and she helped us inside and outside the hotel. Thank you"
 December 2022,5,An oasis palace with authentically friendly & professional staff,"Such a beautiful oasis -- gorgeous colors in the large pool, beautiful tropical gardens, real actual art by artists not by hotel suppliers, interesting nooks, Moroccan designs, gorgeous gift shops, all a delight to the artistic eye. Best international breakfast with everything imaginable, energizing fitness classes you can join randomly for joy, and Ahmed, serving mint tea by a blue tiled pool among antiques, tropical leaves, bird cages to set a bit before launching into the city. The staff seemed authentic and we enjoyed seeing them have the freedom to celebrate the advances of Morocco in the World Cup, and felt like we were in a palace."
 November 2022,5,"Charming, fantastic hotel!","I love this hotel! It s the 2nd time in 2022, we stay with our group at this Hotel, (Daycoval grp, from Brasil) and I can tell you: our group is a big one! In April 2022 with more than 200 guests, now in November around 90 guests. The staff is amazing, beginning at front desk with all of them, and specially Mr Souhail, also the cleaning ladies Sana and Noura - femme de chambres, incredible nice and gentle. Everybody at the restaurant, the Chef at breakfast, Miss Fatima, so so sweet, always keeping a table for me and when I had no time for breakfast as we are always running, she arranged for me a little something to eat, a croissant, an yogurt, anything. So, for sure, next time in Marrakech, I ll stay there, even privaste with my family. Rooms and beds and showers are great too.…"
 December 2022,1,Managers are Rude! Room pictures are deceiving!,The hotel managers are rude and will not accommodate you. The pictures of the rooms are not what the rooms are. They won’t provide good bedding and the hotel felt dirty. I do not recommend staying here. Calling it a 5 star hotel is a lie. They should be ashamed to call themselves luxurious
 December 2022,3,New Year in Marrakech,Large French hotel with all the facilities you expect from a 5 star but no real soul. Sadly whilst the grounds and facilities are all you would expect the service leaves alot to be desired. Restuarant/ Bar staff appear miserable and unfriendly and slow to meet the needs of guests. Generally you are waiting around for someone to serve you and you are made to feel it's a hassle. Disorganised approach in restaurants and bar. On arrival we were given no information of facilities and restaurants etc and even getting a menu was impossible unless you have a smart phone. Selection of food in buffet poor given the apparent 5* standard of the hotel and not a great reflection on Moroccan hospitality. Housekeeping was good and standards v clean. Entertainment was very overpriced and a…
 December 2022,5,Fantastic hotel with a great housekeeping team,Great hotel with very spacious an comfortable rooms. Very clean and well appointed rooms made very comfortable and special by the manager Inane and the housekeeper Sidi Hida. Excellent breakfast + 5* facilities and spa is also a great space for a relaxing experience.
 December 2022,4,Amazing team,"Had a great day at this amazing Hotel, too bad i didn t stay in for long but i am sure that it will be my stay whenever i come back to that beautiful city,the place is amazing for good pictures and they have very cool and supportive team , and special thanks to Mustapha the barman he was so kind and very helpful special thanks to him , he was the best thanks to him and all the team"
 December 2022,5,Movenpick Hotel,We had excellent service at Movenpick hotel especially Ropia and Khadija were extremely helpful and went above and beyond their duty. Thank you Ropia and Khadija for making my stay more comfortable.
 December 2022,5,"Beautiful grounds, great staff","The Movenpick hotel made our family vacation in Morocco, one to remember. It all started with Nehza, the receptionist who greeted us warmly, was eager to check us in and gave us recommendations on what to do in Marrakesh. The hotel grounds and the rooms are beautiful and well maintained. The ladies, Salma, Najat,Mina and the young man Yassine, kept our room clean and replenished every single day of our 7 nights stay. The breakfast buffet is one of the best I have seen in a hotel. What makes breakfast even better is the staff, Mustapha and his son Mohamed, Youness, Hdija, Sami, Nizar and Mariam are all people we became familiar with within the 8 days we stayed at the hotel. Every single day, they were happy to see us and hurriedly assisted us. Thank you all for your service. …"
 January 2023,5,Haven of calm and greenery,"Stayed 5 nights. Welcoming staff, large peaceful central garden and pool area. Mustafa and Hicham looked after us well at breakfast time. Also Marcelona restaurant very good ate there twice.Hotel in a decent location, handy for station and airport. Walkable distance to Medina at winter temperatures otherwise an easy and short taxi ride"
 December 2022,5,Review,"A very beautiful hotel. I recommend this place, which gave us a beautiful energy My wife and I want to thank naima in the restaurant breakfast saray the girl Fatimaezzahra guest relation who made us happy in the hotel and we met by chance in a market and she helped us inside and outside the hotel. Thank you"
 December 2022,5,An oasis palace with authentically friendly & professional staff,"Such a beautiful oasis -- gorgeous colors in the large pool, beautiful tropical gardens, real actual art by artists not by hotel suppliers, interesting nooks, Moroccan designs, gorgeous gift shops, all a delight to the artistic eye. Best international breakfast with everything imaginable, energizing fitness classes you can join randomly for joy, and Ahmed, serving mint tea by a blue tiled pool among antiques, tropical leaves, bird cages to set a bit before launching into the city. The staff seemed authentic and we enjoyed seeing them have the freedom to celebrate the advances of Morocco in the World Cup, and felt like we were in a palace."
