 November 2022,5,Ouarzazate,"We stayed 1 night Le Berbere Palace, Ouarzazate (Morocco's Hollywood). I loved this place. Great hotel with comfy rooms overlooking a nice outdoor seating area. The Vegetarian couscous was tasty and well cooked, served as a large portion! Moroccan hospitality is phenomenal. SEE photos"
 December 2022,5,Luxurious,"A very stylish and beautiful hotel with lovely reception and pool areas. Rooms were modern with great beds, linens and rainfall shower. Extremely professional staff. Large breakfast selection . We all wanted to stay another day."
 November 2022,3,"Could be better but for us, it's way over priced for what we received from this hotel!","We stayed in the hotel room 209 for 3 days. It seems like this hotel is use for one night stay by tourist/visitors visiting the area by buses and move on to another are next day. Hotel was way over priced and it’s same for the food as well and we did not feel like the food was fresh… We tried to purchase USD from the Reception, but it was too difficult because the staff member could not say the exact conversion rate. Day 2 and day 3, towels in our bathroom were not replaced even though it was on the bathroom floor. Last day, towels were on the rail were dirty. We noticed that the cleaners weren’t even vacuum cleaned the room floor. We had to report several Health & Safety issues to the reception, but most of the reception staff gave us the feeling that could not understand…"
 November 2022,4,Very good hotel,"We spent two nights here at this most luxurious accommodation on our OAT tour of Morocco on our way out of the desert. (The trip from our desert “glamp” took ten hours.) The hotel is large and clearly designed for tourists or, possibly, conferences. Furnishings included a large bed with side tables, closet with ten hangers and safe, long table at the end of the bed which we used for one suitcase; a luggage rack; and chair. The large bathroom had a glassed-in shower with wand and rain showers, single sink, robes, one pair of slippers, soap, shampoo and conditioner. We asked for another pair of slippers and two more large towels. Lighting was excellent, and wifi was good. There were adequate outlets. There were no instructions for using the safe which requires resetting its…"
 November 2022,5,Great service and room,We stayed 2 nights. The service was excellent and we felt welcome. Our room was a suite and lovely. The bathroom is beautiful as well. We ate our meals here and enjoyed breakfast and the Moroccan cuisine as well as pasta bolognese at the Italian restaurant. Snacks at the pool with a Casablanca beer is a must.
 November 2022,4,Lovely hotel.,"This hotel was lovely. The rooms were spacious and beautiful. The service was great. The hotel was very quiet when I was there. The dinner menu was not Moroccan, but I had an amazing pizza. The wine list looked decent, but only one red wine was available and it was not good."
 November 2022,5,Highly recommend,"We just left the Berbere Palace. My husband and I rate it highly. The manager, Azdine, made sure everything was going smoothly for us. The staff was extremely experienced and friendly. We had the best nights sleep in a week there."
 October 2022,1,Disappointing and sad,The hotel is nice on the inside and the newly renovated rooms are good. Staff are sweet and gentle. The one disappointing fact is the management. First of all the hotel doesn’t have a resident manager. When one did show up for a few days he made promises he didn’t keep. The cleaning of the rooms isn’t amazing. I would swat flying insects on the wall leaving bloody marks and he or she strangely would not notice them. When I complained to maintenance about some issues half the time they were not fixed and I’d have to call again. Otherwise the food and beverages staff are lovely. Would I go back? Probably note. Too expensive and not enough value. The expensive drinks and food only add insult to injury
 May 2022,4,Nice property but could use a few adjustments.,"Very large property and rooms. It is a very pretty place. The landscaping is lovely.Food is OK…nothing great. Probably the nicest hotel by far in the area. The bathroom is huge with a rain shower and a handheld shower head. There is a large soaking tub and we had two sinks. We were not sure what good clear glass enclosing the commode area did. If you are going to enclose it, you would use something else so you weren't visible to whomever was in the bathroom or you wouldn't bother enclosing it.. There were 4 large bottles of water in the room which was nice. There is a sofa, coffee table and a chair in a sitting area in addition to a table and two chairs outside on the private enclosed patio. They need more than 1 trash can that is located in the far corner of the…"
 April 2022,3,Mixed feelings,"I agree with the reviewer who said that this is ""a comfortable hotel with issues"" because it certainly is that. We had a lovely room with a comfortable bed and sitting area. The AC worked fine, the lighted closets were nice and the bathroom was really big. But, as the other reviewer said, it smelled like sewage. And, whoever designed the bathroom should have thought to put frosted glass on the commode enclosure because, otherwise, you're totally exposed to whoever else might want to use the spacious room. The public areas are attractive, with interesting, large pieces from well-known desert movie sets that were filmed on the town's movie lot. The pool area was huge, with lots of tables to eat or enjoy cocktails. Yes, they're expensive, but not any more so than other resort…"
