 February 2020,5,Delightful stay and excellent customer service,We were arriving on the bullet train from Casablanca so I emailed Dar Jameel and Tal responded that he would arrange for a taxi to pick us up at the train station. I cannot emphasize how good it felt to be met at the train station by a smiling face and taken straight to the front door of the riad - which is in a quiet part of the old medina and might be difficult to find on your own if you are new to Tangier like we were. (After a day in Tangier we could find Dar Jameel easily because it is right near the Hotel Continental.) The last thing I wanted to do after being on a plane all night and then navigating the train stations was to haggle with a taxi driver in a language I do not speak. We even caught an earlier train and Tal was still able to have a taxi meet us - the response…,Dar_Jameel-Tangier_Tanger_Tetouan_Al_Hoceima
 January 2020,5,Excellent value friendly guesthouse,"I took the Bergache room (see my photos) on the ground floor and the staff brought my breakfast tray to my room on the ground floor as I could not climb up 3 flights to the terrace! Excellent abundant breakfast with homemade jams. Comfortable bed. Delightful manager Abed was kind and helpful, as was Zack. English owned. My room was rather dark due to a broken bulb? Chilly in winter but there was an efficient heater and constant hot water. Excellent shower. Stayed 1 week. Highly recommended. Hard to find! Abed helped me with my luggage.",Dar_Jameel-Tangier_Tanger_Tetouan_Al_Hoceima
 August 2019,4,"Beautiful environment, late breakfast","We loved the beauty of Dar Jameel. It's located through a door in a small alley in the midst of the medina. Once inside, you are surrounded by beautiful tilework and lovely rooms. We stayed for one night in August, and although the weather was warm, the small A/C unit in the room kept us comfortable. Note that it did drip some water, so we were happy we hadn't put any clothing right underneath it. Breakfast was served a little later than most places we've stayed, about 8:30 AM; since we had an early tour scheduled, we only had time to quickly grab something. Just be aware of the timing so you can plan your day accordingly. The location in the midst of the medina was nice, letting us take some time to explore the nearby streets,",Dar_Jameel-Tangier_Tanger_Tetouan_Al_Hoceima
 October 2019,4,Avoid ground floor rooms at all costs,Tiny rooms with no outside windows creating a really stuffy atmosphere. To get any air one can open a window onto the lobby area of the Riad but then noise can be an issue and I would not have felt safe leaving window open all night. No air con although a fan provided. On the plus side rooms on the second/third floor are brilliant so as with everything in life you get what you pay for. Breakfast served on the top floor was decent enough and the very best thing about the Riad was Abed on reception. Communicated with him prior to arrival about getting there from the bus station and he sent a taxi to meet us. Also offered us a room move for our last night as they had availability. Top top man!!!,Dar_Jameel-Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,5,"Very friendly, helpful staff.","Very friendly, helpful staff. Beautiful interior, comfortable rooms and great views from the terrace. I don't think anyone could ask for more at this great price. We booked a tour guide through them. He was a great guide, I would highly recommend him to anyone he was a friendly honest guy with a wealth of knowledge.",Dar_Jameel-Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,5,Cozy and comfortable Riad in Tangier,"I would 10/10 highly recommend Dar Jameel to anyone traveling to Tangier. The hotel was lovely, only 8 or so rooms, so you get to know the property intimately. When I arrived, the hotel had arranged a taxi to pick me up from the hotel and transported me to the hotel. The entrance is in the heart of the Medina (old, walled part of the city) and it located in a tunneled archway. When I was there, there was sewer/construction work outside, so I didn't get to adequately appreciate the entrance, but those anxieties were calmed when I opened the door (after knocking and being let in by the front desk). The atrium is stunning, with an interior courtyard opening up to the outside. The tile work on the interior was marvelous, and the staff were friendly. Everyone spoke impeccable English…",Dar_Jameel-Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,1,The worst experience in my Morocco trip,"Actually We’ve booked 2 nights here, after first night we decided to change another hotel on the next day. First, after we checked-in, our room was on 3rd floor, and no lift in the Dar, we have 3 big heavy luggage but no staffs help us at all and we need to carry our own luggage all the way up the stairs to 3rd floor ourselves. The dar decoration is nice and also have a good rooftop with nice view but inside the building was very dark, especially our room. Even turned on all the lights is still very dark, the washroom is even more worst. When I woke up in the morning I saw water puddle on the floor, lucky that all our luggage wasn’t at that area. My family and I was totally disappointed.",Dar_Jameel-Tangier_Tanger_Tetouan_Al_Hoceima
 September 2019,5,amazing place,"once you’re inside the house , you will be amazed by how things organized and how people are kind here . i loved there services and rooms and everything thing here . specially the roof . just incredible place i advise everyone to come here",Dar_Jameel-Tangier_Tanger_Tetouan_Al_Hoceima
 July 2019,5,Best place to stay in the Medina. Love Love Love,We were so surprised by this hotel and the quality of the rooms for being in the middle of the medina. We were a family of 5 and were given a room with 2 queen beds and a small sofa that met all our needs. The staff were top notch speaking excellent english explaining the main areas to explore in the city within walking distance and some excellent advice regarding places to eat and shop. the Mint tea served by the staff on the rooftop when we arrived was a great introduction to Morocco culture and the whole family from 7 yrs old to mom and dad enjoyed it. We only spent 24 hours there. one night then back to Spain but it was worth the experience to be on the african continent and see a very different culture from Spain / Portugal .,Dar_Jameel-Tangier_Tanger_Tetouan_Al_Hoceima
 July 2019,3,Very basic...,"We stayed at a window-less room... without air conditioning, very basic. Feels stuffy. Location ok. Check in ok and staff was nice at welcome. Nice view from the rooftop. Ok value for money but nothing more...",Dar_Jameel-Tangier_Tanger_Tetouan_Al_Hoceima
