 May 2022,5,Best hotel in Tangier,"This our second stay at Minzah and my wife, toddler and I absolutely love it there. Very pleasant and helpful staff, got upgraded to a suite free of charge and very flexible when we asked for additional nights. Very safe hotel. Breakfast is absolutely lovely. Cleaning is always very neat and tidy. Walking distance to just about any thing. Looking forward to enjoy another stay at my favourite hotel in Tangier soon again.",El_Minzah_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima
 November 2022,2,It’s Coming!,"The hotel is a charming echo of the old French Colonial times. Beautiful architecture of traditional Islamic style with a peaceful central courtyard and nice pool area. The big issue I have with this hotel is the appalling slow food and bar service. Even getting a coffee or beer can take 30- 40 minutes. The food in the poolside restaurant is good - when it arrives. The breakfast buffet is good, and seeing as it’s self service the waiting is not an issue. The rooms are fine, clean and comfortable with a variety of views available. We found the strap line of this hotel is, ‘It’s Coming!’ - the standard reply when chasing an order.",El_Minzah_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,4,BEAUTIFUL HOTEL IN A PERFECT LOCATION,"Beautiful hotel located just half an hour from the airport and close to the Medina. The rooms are lovely and the beds comfortable. The cleanliness of the bathroom could be better as well as the cleanliness of the towels. In the room you have a complimentary bottle of water and in the bathrooms some amenities like shower gel, shampoo and others. All the corners of this hotel are stunning and beautifully decorated. The breakfast buffet is very good with plenty of choices. All the staff are very nice and always prepared to help whenever you need.",El_Minzah_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima
 September 2022,4,Arabian Nights in Tanger,"As written in the LoneLy Planet Morocco on Tanger, many sleeping options in Tanger are showing their age. So can be said re El Minzah. Built in the 1920s it is still a spectacular building, however is somewhat worn here and there now. Service at the hotel was excellent thoughout and considering the price tag, I think staying here is a good choice for a few Arabian nights in Tanger.",El_Minzah_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima
 June 2022,4,Great location,"The good about El Minzah was the location, the pool and the history of the hotel. The bell staff and waiters were also very nice. The men that checked me in were not so great. They were a bit abrupt and not friendly. I asked for a map and they just said they didn't have one. Most hotels will print something out. When our room was not correct (we requested 2 beds) they gave us another room which was not cleaned (and this after waiting two hours for our initial room). They were completely unapologetic. With that said, the man at the front desk later was very nice so perhaps the first two were an anomaly. The breakfast was fabulous and the room facing the ocean had a great view. The interior facing room was fine. Food was expensive so I would recommend eating just outside…",El_Minzah_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima
 June 2022,1,"TERRIBLE EXPERIENCE , NOT 5 STAR !!!","So we decided me and my friends to have dinner last Friday 17/06/2022 in the hotel's restaurant ... i have to admit the view is beautiful but when it comes to service and hygiene and staff atttitude it is not okay neither professional at all .. we ordered dinner , and while i was going to start with my dish i found a cockroach in my plate , i felt sick on the spot .... it is soooooo disapointing and digsusting sorry for the word . I went to the waiter to give me a coke , atleast as a gesture he should have give it to me complimentary by finding a cockroach in my plate at a 5 star hotel .. And when i told him you guys are not professional atleast as a gesture you have to give it to me complimentary .. ( he responded rudely saying : the cockroach dropped from the tree not from…",El_Minzah_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima
 April 2022,5,Excellent as always and great service,"We have stayed at this hotel on many occasions as we visit our family in Tangier (oulad hadj ahmed family) The hotel is iconic, steeped in history and it has the old fashioned charm that we love so much. It is clean and has very good standards and service all around. The staff are helpful, attentive and they all speak very good English plus many other languages. This hotel never changes (over the years we have visited) in regards to its standards and service being excellent. The pool is always very clean and well cared for and garden is pretty and relaxing. There is also a beautiful view. From the rooms the view over Tangier is super during the day and night. We tend to always find ourselves staying in room 317 which has a perfect view. The bed linen is crisp…",El_Minzah_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima
 July 2021,5,The Best experience ever in tangier,"So i am confused about which fair words i should apply to express my feedback about my experience in this beautiful property ... The great service from all the staff without exception ( concierge team , reception team , housekeeping team , lifeguard , food and beverage team ) their anticipation of my needs , their sincere greeting , their smile ... i was really impressed about every single detail in this property , and ofcours i need to mention the great location of this amazing property . well in fact generally my stay in this hotel was incredible ... thank you to everyone and for sure i will go back soon , can t wait to see u again guys and well done .",El_Minzah_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima
 January 2021,3,NOT a 5 star hotel,"This hotel is not 5 stars as advertised. It is quite dated. Staff is friendly but they are not given much to work with. Had the impression they were understaffed while we were there and of course you can blame COVID for everything nowadays. Enjoyed breakfast outside even though the weather was very rainy but it was better than inside the smokey breakfast room. The area around the hotel is quite rough with people begging and trying to sell you things. Would not stay here again, sorry.",El_Minzah_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima
 February 2020,4,"Nice hotel, we stayed for one night.","Nice clean hotel. We stayed for the night. The riad is very nice and staff are very friendly. We only had breakfast, which is a generous buffet, and did not try any of the other services. Nice hotel would recommend for a short stay.",El_Minzah_Hotel-Tangier_Tanger_Tetouan_Al_Hoceima
