 November 2022,5,Definite Recommendation,"Wonderful time in Casablanca FourSeasons. The rooms were very good, crisp clean as you would expect from any FourSeasons. Complimentary water bottles were provided generously which made it really easy especially with my 3yr son. The location of hotel is great if you want to live away from crowd and enjoy your time near beach. ANFAMALL is right beside the hotel. Overall location and area of this place is excellent. Service was all good throughout. Except one time when I asked them to provide dental kit which never came. While checkout I complained about that and was provided with complimentary snacks and drinks which was satisfactory and the only flaw in service was compensated.",Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 August 2022,5,One of the best Luxury Hotels,"Stayed at the four seasons Casablanca for 7 nights and it was truly one of the most luxurious beautiful hotels I’ve visited. Check in was brief and quick, our suite was truly immaculate - comfortable lounge and dining area full floor to ceiling windows with great views and a beautiful terrace - large tv with chromecast allowing you to watch your own devices on the tv. lovely teas and coffee (nespresso) a really nice touch is the Moroccan mint tea and the guide on how to make it in your room. The bathroom was exquisite marble with again floor to ceiling windows - a huge bathtub overlooking the beach and ocean, tv in the mirror and a separate walk in shower. The bedroom was spacious and a large comfortable bed (can choose your type of pillows etc) for the perfect nights sleep.…",Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 January 2023,5,FANTASTIC EXPERIENCE,"Great Hotel location, fantastic staff and amazing SPA From our checkin to our departure the staff was courteous and always available to ensure things went smooth. The rooms are very comfortable and have the right amenities",Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 December 2022,2,Four Seasons has lost its standards,I have stayed at many Four Seasons in different countries. The best was probably our 2 weeks extended stay at Landaa Giraavaru Maldives and am a big fan of the brand. The name Four Seasons has always been associated with quality but sadly not at the Four Seasons in Casablanca. We had booked 2 Mercedes V Class to collect us from the airport only to see that they had sent a 20-seater tour van to collect us which was filthy from the inside. This was the 1st red flag and little did we know that more bad surprises were to come. We got to the hotel at 4:30pm only to be told none of our 3 rooms (They had committed 2 connecting rooms and with the 3rd being on the same floor) were ready. We had been travelling for 14 hours and had our 3 kids with us so you can imagine how tired we were.…,Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 December 2022,2,Only one season…Winter,"On a rather rough and tumble appearing part of a beach that looks like Atlantic City boardwalk at its low point. The hotel has devices in the corridors to pump room scent that is as thick as a cloud…and available for purchase. At the pool deck a massive Jumbotron monitor is set to high illumination and continually repeats a one minute set of ads for the hotel. It is as bright as the surface of the sun and destroys the evening ambience of the property. The rooms are in need of a refresh, and the large tub in the bathroom begs the question, who bathers anymore?? The pool is frigid and unwelcoming and the jacuzzi is tepid, and hidden in the spa and you find out that you needed to make a reservation since only two people may use it at once. How awkward. I do not understand…",Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 November 2022,3,G. M,Four seasons Casablanca has changed to boor services with amazing location not worth the money value of the rooms Some employees are treating with pride and condaescension Bad smell on the room Shower in the room not working properly Prices like airlines too late too high it is not worthy,Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 December 2022,1,Save your money,"this hotel is not up to snuff with other Four Seasons. The staff stood around and it took 4 staff members to make. tea. So confused. The concierge could not recommend a restaurant, call a cab and quoted us $50 more to go to the airport than other private transfer. I went to the spa and just stood there - no one was even working I don't think.",Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 November 2022,5,Best Hotel in Casablanca,"This was our second time staying at the Four Seasons in Casablanca. Even though the hotel was hosting multiple conferences the service from the staff was excellent. The USB connects in the room need to be fixed but the hotel is always clean, and the staff is extremely helpful and friendly.",Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 November 2022,4,No booze!,"Be aware that there is zero alcohol served in this hotel, even though Casablanca is not a dry city. Still worth coming here as long as you byob from a market or go to a nearby cocktail bar. The setting is lovely though and gorgeous views of the beach and surf.",Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 November 2022,2,Not at all the Four Season’s standard,"I travel every 3-4 weeks. This hotel is old, food is close to 0. Most expensive hotel in Casablanca. Not even close tl the standards in other four seasons. I don’t recommend at all, you can find for sure better value for your money.",Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 November 2022,1,Wonderful,"Stayed at Four Seasons Hotel Casablanca and it was a wonderful experience. The location is fantastic next door to a shopping mall and the beach behind you. The staff are very attentive and friendly. The hotel grounds are very lovely. The food was great and gym was good too. You have a bigger shopping mall close by and loads of fine dining, bars and lounges close by",Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
 November 2022,4,Average,"We tried to book restaurant Bleu only to be told it was seasonal, you’re in Casablanca, there’s an ocean view from the hotel, surely seafood should be available all year round. Really disappointing. I did try and book a table via the website, they never replied, which given your reputation & price tag is poor, the communication needs to be improved. Nevertheless we went to the restaurant and it was lovely, the food tasted good, but I’ve had equally as good in far less established eateries with much better value. However, they showed lobster on the menu, only to be told when I was ordering it that it wasn’t available due to the season! Then the logical thing would be to remove it from the menu or tell your clientele that it’s not available prior to giving them the menu. The…",Four_Seasons_Hotel_Casablanca-Casablanca_Casablanca_Settat
