 January 2023,4,Nice stay,"Our room was beautiful. There was a shared patio for 3 rooms. Breakfast was delicious. Very convenient to both port and city. Only negatives were couple in next room played music and talked on the patio very late. Also, the two men at the front desk spoke to each other very loudly all night. We were up 1 floor, but could hear them.",Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
 January 2022,5,Nice stay,"I highly recommand this hotel, the location is good, in the middle of the old city, close to the center and to the coast, it is safe a place. The breakfast was satiating The room was clean, the staff was nice, Ismail is super friendly! It felt like home!",Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
 December 2022,5,Delicious breakfast and very friendly staff,"The breakfast was so delicious and the view from the breakfast room is very nice. Amazing and very helpful staff. Location is very good, in the middle of the old city, close to the center and to the coast. However hotel on top of hill, so number of stairs to climb. It's walking distance to the ferry that goes to Spain.",Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
 September 2022,5,"Great value, location and staff!","Mamora Bay was a GREAT experience for us. The location is excellent and the staff are above par. We arrived on a late flight at almost 2:00 in the morning. The staff at Mamora Bay organized a taxi for pick-up and the fellow was there waiting for us (this was after several changes due to a flight cancellation, and communication with staff was timely and clear). The cost for the taxi was a normal rate and not an overpriced rate - according to my cousin who lives there. We had two rooms with two single beds in them. Each room had working air conditioner and the shower had great pressure and hot water. Beds were quite firm, but I have heard that it is the norm. Breakfasts were wonderful and we made our poor server go back repeatedly for more coffees. He always served us with a…",Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
 October 2022,5,Nice stay in Tangier Medina,"Very nice location and available friendly staff, very nice welcome tea. The hotel is renovated and rooms are quite big for a couple. Breakfast in the rooftop terrace is standard and good quality of food. Nice view of the mosque and the sea from the breakfast room. I definitely recommend :)",Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,5,Mesmerizing experience,"Staff, Service, breakfast, location, cozy room, comfy bed, nice shower, YOU NAME IT !! Everything thing was fantastic about this hotel, Located between the old Medina and the new town, with a view on the sea... the guys in the reception were so kind and helpful, the room service women were very nice and did a very good job, the waiter in the restaurant was fantastic the whole team are working for the satisfaction of the clients and they earned it! Will definitely come back...",Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,5,"Central, breakfast, clean, friendly",The staff is so nice and helpful. The room was clean and had everything you need. The breakfast was so delicious and the view from the breakfastroom is just stunning. The hotel is locaded directly in the Medina so you can have a nice walk around.,Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,4,Fabulous,"A good hotel with a full and comfortable service, and the thing is that the Wi-Fi network is low Despite this, this hotel is very beautiful and I highly recommend it I thank the team that supervises this service. They supervise the place ❤️❤️❤️❤️❤️",Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,4,Really good value for money,"The staff in this hotel were lovely and very helpful. We arrived off an overnight train about 6 hours before check in. Our room wasn’t ready but they offered us somewhere to leave our bags and a complimentary breakfast. The man on reception gave us leaflets and advice on the local area. They also organised us a driver to Chefchaouen and sorted out our washing for a small fee, which was helpful as we couldn’t find a laundrette. Breakfast was hosted on the top floor with lovely views across the bay. Food was nice and included in the price. The service was spot on. The hotel is near the entrance to the medina, up a hill and some steps. There is also no lift, so wouldn’t recommend if this is a problem. Our room was cleaned daily and on one day they left some water and fruit…",Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
 August 2022,4,Good value for money & great staff,"Great location just inside the medina, close to port and local beaches/ corniche. Wonderful, friendly & knowledgable staff. Helped us book excursions & transfers. Breakfast was the same each day but at least you know what to expect! The room was fine, excellent aircon, views across the bay and mosque. Bathroom was very small. Overall, value for money, pleasant place to stay.",Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
 July 2022,3,A safe a nice place for a short stay in Tanger,Pros: right in the middle of the old town and when you get out you are already visiting and getting lost in the streets of the great market; very close to the port and easy to access walking after getting out your ferry (aproxim. 15min walking and it was our first time in Morocco) nice staff; very nice breakfast in an upper floor with incredible views for the port and sea; good value for money; clean; fruit and water in the room for free; Moroccan tea upon arrival for free and very good Cons: basic room and somewhat old; rather small bathroom; not readily visible or not the most easy to find hotel but that is the beauty of Morocco,Mamora_Bay-Tangier_Tanger_Tetouan_Al_Hoceima
