 November 2022,5,Very nice place,"Very nice place. Friendly staff. Great views from terrace on the roof. Nice breakfast. Bed was very comfortable. I stayed in both most popular hostels in Tangier, and to be honest I liked this one better.",The_Medina_Hostel-Tangier_Tanger_Tetouan_Al_Hoceima
 September 2022,5,The Best Budget place,"The Best Budget place to stay in Tangier, staff is so so polite and sweet, reached there at 7am well before checkin time and they still offered me a bed and a place to unwind and relax from a long journey also offered me free breakfast which I wasn’t eligible for on the day, Breakfast was absolutely delicious trendy and limited but enough for 1 person to start the day. Highly Recommended.",The_Medina_Hostel-Tangier_Tanger_Tetouan_Al_Hoceima
 May 2018,5,The only place to stay in Tangiers,"After a disappointing reservation at another tangier hostel I came across this gem. As son as I walked inside there was an overwhelming sense of support by the guy on reception. The dorn was queit and clean with an ensuite, the sleep wasrestful and breakfast was filling.",The_Medina_Hostel-Tangier_Tanger_Tetouan_Al_Hoceima
 December 2017,4,Friendly hostel with an amazing rooftop view,"Tangier was our first destination in Morocco. We were pretty overwhelmed and had a lot of hassle, even right outside the hostel, as the medina area turned out to be pretty dodgy. However, the hostel felt like a safe nest in the middle of the chaos. The staff were very friendly and we could always depend on them to help us with any issues we had. We stayed for two nights in a four person dorm. Indeed, the humidity in Tangier was crazy and the dorm wasn't any better; you couldn't escape the damp cold feeling especially at night. There is a bathroom attached to the dorm, and the sewers were kinda smelly. However, the place has two lovely terraces with absolutely amazing views of the town and sea. A tasty, traditional breakfast is served there, and I thoroughly enjoyed having my…",The_Medina_Hostel-Tangier_Tanger_Tetouan_Al_Hoceima
 December 2017,4,worth staying,"I stayed at the Medina hostel for two nights with friends, I quite liked the place. It has a great view from rooftop. The breakfast is petty standard type, and the staff members are very friendly and helpful. It's a bit tricky to find the place as it's located at the edge of the medina, just follow the sign on the wall you will get there easily. Remember if you ask a local to show you the place, he will surely ask you some money.",The_Medina_Hostel-Tangier_Tanger_Tetouan_Al_Hoceima
 December 2017,4,A little Oasis,"This hostel almost feels like it is not a part of Tanger. Located close to the edge of the Medina and the Grand Mosque it is within walking distance of the Ferry port. Medina hostel provides a quiet relief from the in your face chaos of the city which surrounds it. Unfortunately this is where the separation ends, prone to the constant humidity and poor drainage of Tanger, things tend to feel a bit damp and there can be a sewage smell. However this being a small backpacker hostel I would consider these uncontrollable environmental issues. Staff were very pleasant, calm and helpful. Provided us with useful advice and were honest (a refreshing change from much of the rest of the city). Breakfast was the standard basic Moroccan bread/cheese and Coffee. The view from the roof…",The_Medina_Hostel-Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,1,Smelly Hell - AVOID,"NEVER AGAIN! This was the worst night in my life. My bed in the dorm was the one just right next to the bath room door. The smell coming out of the sink/shower through the CLOSED bath room door was so horrible that I did not manage to all asleep. I fled to the roof top terrace/kitchen where I slept on some bench, so basically outside. It was pretty cold, windy an uncomfortable. The hostel has a big smell, humidity and cockroaches problem in the bath rooms. I've stayed in a lot of hostels all around the world, but never experienced such a situation like in The Medina Hostel Tanger. On top there was no refund granted for the second booked night, after my complaint. I defintely did not want to stay another night. The guy at the front desk was totally non-cooperative. Even though…",The_Medina_Hostel-Tangier_Tanger_Tetouan_Al_Hoceima
 September 2017,4,Good vibes!,"The Medina hostel is of course just a hostel; so don't get your hopes up too high. But it has a pleasant vibe and its a sociable experience. The place is quite clean, the staff is very helpful, and breakfast is delicious. The wifi was broken when I was there – that was a downside. The roof top terrace is very beautiful. It has a view across the medina. The dorms are a bit bleak, but it's good enough. If you're a solo traveler I recommend this place. Many other solo travelers go here, there is a lot of togetherness, people tend to want to chat with you. Enjoy!",The_Medina_Hostel-Tangier_Tanger_Tetouan_Al_Hoceima
 July 2017,4,Excellent value for money,"We stayed here for just one night. The rooms and bathrooms were both clean and tidy. Each bed had its own light and power point, which is a plus. The breakfast was standard moroccan with a variety of breads plus tea and coffee. We had a rough nights sleep as a group of guests turned up at 1 am and were complaining that they could not all sleep in the same room. This went on until 3 am, not very considerate.",The_Medina_Hostel-Tangier_Tanger_Tetouan_Al_Hoceima
 March 2017,1,WARNING: Concealed Black Moss,What a nightmare. It's a kind of cheap place you wish to never end up in unless there's no other choice and there wasn't. Staff are very nice but the management is either irresponsible or incapable of dealing with toxic black moss problem -- they just paint over it -- and the toxic effect on respitory system remains.,The_Medina_Hostel-Tangier_Tanger_Tetouan_Al_Hoceima
