 October 2022,5,Gem in middle of oasis,We stopped over here for lunch on our way back to Ait Ben Haddou. This was recommended by our driver Mehdi. The owner and the staff were very friendly and the ambience was perfect for a hot and sunny afternoon. The food portions were great and at a reasonable price
 May 2022,1,A DUMP,DO NOT STAY HERE we were part of a tour so no choose FIRSH HINT WAS WE HAD TO WALL TO THE HOTEL AS THE BUS COULD GO DOWN TO THE ENTRANCE The staff we trying to be help full the room the bed was like a slab or stone and the pillows you could slide under the door plus the air-condition do not work in 43c you need that or at least a fan the food was very very basic I would not recommend this dump
 April 2022,5,Authentic Moroccan Guesthouse,"Our wonderful guide and driver included this guesthouse on our journey from Merzouga to Marrakech. We were enchanted by the beautiful landscape which consists of high desert with stunning vistas of snow capped mountains in the background. The guesthouse is located in a valley ( oasis) where an abundance of fruit trees grow. We approached the guesthouse on a winding road through the groves. The guesthouse is built in the traditional style and our comfortable room was decorated with many Berber items. We were served mint tea by Ahmad, Aziz’s son, on a roof top terrace where we had a panoramic view of the landscape. Aziz ( the owner) was extremely kind and welcoming. He invited us to share the Iftar meal ( meal at the sunset to break the fast ) and we were also introduced…"
 November 2021,5,"An absolute oasis in the desert! Warm and friendly, with beautiful views and delicious, healthy food.","We arrived after a long day coming from Marrakech. Ahmed greeted us with a very friendly welcome. He helped us with our luggage and showed us to our room. The hotel is beautiful, with large rooms, gorgeous views of the Atlas Mountains and all the amenities of home. Ahmed invited us for tea on one of their the large terraces over looking a 360 degree view. For dinner we were served a delicious soup, a couscous dish with vegetables and meat with a savory sauce. For dessert we enjoyed in season pomegranate and sliced bananas. The experience has been ideal and I highly recommend staying here."
 December 2019,5,Charming and welcoming,"We were a family of five aged 10 to 83 and had a perfect stay at Dar Panorama. The views were amazing. The food was excellent. Everyone was so helpful and welcoming. We felt like a family. We stayed five days and did some exciting and interesting exploring with a wonderful guide, Mohammad (Chofchuiya) and saw places we never would have known otherwise. He was patient and thoughtful and nothing was too much trouble for him. A relaxing yet exciting stay."
 September 2019,5,Oásis,"Excelente hotel with a terrace overlooking the oasis, quiet and beautiful decoration. Ahmed was a perfect hoste, the food was delicious all home made. Perfect place to rest for a few nights in between your road trip in marrocco"
 May 2019,5,Amazing.,"Wow, wow, wow.. What an amazing place to stay, the guest house was such an experience. The food, the service, the views an experience ill remember for a long time. The food was home cooked traditional Morroccan food and you won't go hungry. Ensure you book a local guide to experience the nature and palm groves as it's worth the walk and hike."
 May 2019,4,Friendly family stay,"Wonderful stay in this friendly family run guesthouse, great views from the terrace. Quiet, delicious food. Walking tours through the palm groves to visit the kasbah a must do, also visit the family pottery workshop."
 April 2018,5,Authentic and hospitality,"If you are taking a tour to southern Morocco, do not miss the chance to stay at Dar Panorama. The accommodation there is totally different to any normal hotel we stayed in our trip. First we arrived there we were welcomed by Aziz and his family with a big smile. It took us a few moments to get interacted with the family and felt like home. The food was traditional and tasted delicious, it was our best meal in the tour. After dinner we went to the roof terrace to sit watching stars and enjoying the lovely view of the oases at night. I can't wait to go there again on my next trip. Thank you Aziz Family."
 October 2018,5,Comfortable rooms and a view that's hard to beat,"The room we had was large and comfortable but the best thing for me was the views. I've added a picture of the view from our bedroom, There various places to sit outside and chill out reading a book and drinking mint tea. We stayed one night on route from Marrakesh to Merzouga."
 June 2018,5,"Authentic, family owned gem","We stayed at Dar Panorama as part of a tour from Fes to Marrakesh. It was a beautiful, authentic and unique place to stay. Family owned, the hosts were so friendly, and the view was incredible. Could have relaxed here for a week if we had the time."
 March 2018,5,"Beautiful, Authentic Morocco","Loved this sweet dar! It has an amazing location and a beautiful deck and terrace. It is family owned and feels like you are visiting someone’s home. They have beautiful Berber crafts to decorate the dar and the place is very comfortable and nice. They cooked the most delicious food, and had excellent service, I would highly recommend this place!"
 February 2018,5,Stay at Dar Panorama,We have a lovely night spent at Dar Panorama. Ahmed was extremely welcoming and the views from this riad are stunning. We had a lovely meal and felt like we were in our own home. The beds were very comfortable and the whole stay felt very relaxing.
 February 2018,4,Nice room and great view,"We stayed for one night and enjoyed a nice 3 course dinner. The staff was very friendly and smiled a lot. The hotel offers a great view over the oasis on one side and a rocky desert on the other, with a number of different terraces. Our room was cosy and colourful, and we definitely enjoyed the warm shower."
 December 2017,5,Friendly and authentic,Authentic place with very nice view to the area around. I loved the breakfast in the sunrise. Our room was clean and big. A/C worked well to warm up the room for the cold winter night. Dinner and breakfast was very delicious and more than enough.
 January 2018,5,"Great stay at Dar Panorama, thanks to Aziz and his family","Stunning view from the roof terrace and from the rooms, over Skoura and its palmaraie, with the Atlas mountains at the horizon. Standard but big and comfortable rooms. Very good dinner, and a delicious home-made couscous on Fridays. Very friendly staff."
 December 2017,5,Beautiful Guest House,"We had a wonderful stay at this beautiful guest house as part of a desert tour. Our room was spacious and comfortable, our hosts were warm and welcoming and the food was amazing, but our favorite part of our stay was the beautiful views offered from our room and the rooftop."
 December 2017,5,Authentic relaxing Moroccan riad,"Amazing place with great views and authentic Moroccan feel. Very quiet and relaxing, we we're one of two couples as the only guests there, it was a very intimate experience. The staff are very friendly and hospitable!! Always greeted with a smile and hello! Delicious dinner and breakfast included too. Dinner we had Moroccan bread for entre, fresh chicken tangine for main, and a fresh plate of fruit for dessert! And as always, Berber whiskey! Breakfast was an assortment of Moroccan crepes and bread with condiments, really helps you start the day!"
 November 2017,4,Desert trip stay,We stayed here for 1 night during a 3 day trip from Marrakech The location is amazing and great for viewing the stars and watching the early sunrises from the terrace. The service was exceptional and the hosts were always smiling.
 October 2017,5,Wonderful hosts,"The cheeriest, sweetest host around, Aziz, met us at our car and immediately swooped up our 7 month old while we unloaded. He instantly got big smiles as he was one of the happiest people we’ve ever met! The views were stunning, but it is the wonderful family running Dar Panorama that truly make the place special. Highly recommend a stay with these sweet hosts!"
