 October 2022,1,Lots cats lots poop,"If you value cleanliness dont stay here. Cats everywhere especially around the food: in kitchen, on the floor, by the stove. And had cat poop right outside our door. Asked for a refund and the guy front desk had no idea what was going on. said owner was in France. I said take off credit card he barely spoke English. Said would mail money never got. Felt scared coming here at night and middle no where. The pictures they show are not even close get in the room. No sheets. I know low end but strange place.",Lhostel_a_Casablanca-Casablanca_Casablanca_Settat
 May 2021,5,Gorgeous hotel,"My husband and I are staying at the hostel and plan on extending our stay for an additional week here. The owners of the hotel are wonderful people. The owners and the staff were welcoming and helpful at our arrival. The property is nicely kept and has a beautiful garden. Our bedroom is spacious & clean. The breakfast is wonderful. They offer many choices such as sweet pastries, local breads, slices of meat, eggs, fresh fruits, fresh orange juice, coffee, and much more. The hotel is perfectly located, not far from the tramway and the train station. We did couple day trips to nearby cities such as Rabat (an hour trim ride from here and the trip was very cheap). I highly recommend this hotel to anyone staying a few days or transiting through Casablanca.",Lhostel_a_Casablanca-Casablanca_Casablanca_Settat
 September 2022,5,"Clean, safe and close to airport","This guesthouse was the perfect first night in Morocco for me. Cheap and easy to get to from the airport even when operating with no sleep or French! (50dirhams train ride, first stop, plus a 5-10 min walk) Staff offer a warm welcome and all parts of the property are kept spic and span. Big chain supermarket for snacks is located 2 blocks away.",Lhostel_a_Casablanca-Casablanca_Casablanca_Settat
 September 2022,3,"Beautiful Hostel, however no Airport Pickup","Stayed here one night travelling through. I was supposed to be picked up by a taxi arranged by the hostel but we did not manage to find one another a the airport, even though I spent one hour trying to find the driver. Arriving at the hostel (with another taxi), the night portier was pretty dissatisfied that I had not found the taxa driver; and did not give any help as to how the hostel operated (wifi, breakfast etc). So did not feel much welcome going to sleep. The next morning I met the rest of the staff, which was very kind.",Lhostel_a_Casablanca-Casablanca_Casablanca_Settat
 July 2022,5,Lovely,"only 5mins walk from casa d port train station, good room, good bfast with reasonable rate. They have few options for the room, either you wanna have a bunk bed with random mates or private room. They provide kitchenette in case u wanna have your own bites.",Lhostel_a_Casablanca-Casablanca_Casablanca_Settat
 August 2022,5,Lovely place to stay at for a fair price,"Lovely place to stay for a fair price. A beautiful villa, very quiet place for those who want to enjoy peaceful time. The yellow room is equipped with proper air conditioning and a very comfortable bed. It lacks a wardrobe and bathroom entrance is via hall, though it is clearly seen on the photo of the room and in regards of the bathroom entrance is also stated on the website, so all fair and should be no problem. The only thing to put me off was the constant bad smell in the bathroom which required the windows to be opened at all times. The things to balance it all out and bring the experience to be great was the outside of the villa, which was very beautiful and the outdoor dining area is stunning, with blooming flowers and lots of cosy things around to bring it a unique…",Lhostel_a_Casablanca-Casablanca_Casablanca_Settat
 December 2019,5,A lovely place ♥️,"I really love the place , since my arrival , a very special thing I feel in that house ..I feel the warm of family , specially on breakfast time , when I see the owner preparimg it with much of love OMG! The house is around with spaces and trees , a really beautiful desing you can see , it helps me to relax , also the place is super super super Clean ! Another special thing is that you feel free , even it's a palace hhh and we are many residents here , but they give each of us a key , and like that u will feel taht u ve control going and coming without ringing the bell ! For me I found it a rest place with a bus station , tram/train station with 2min a walk ...20min from the airport via train ...the staffs are so helpful and joyful.. So happy to have my nights on Morocco with…",Lhostel_a_Casablanca-Casablanca_Casablanca_Settat
 October 2019,3,"Beautiful place, but unfriendly staff and construction noise next door.","The interior is beautiful with lovely kitchen and living space, but overall they were very unfriendly and the construction noise hard to handle so early in the morning. Additionally, I asked for the shuttle service they offered and they said no problem. On the morning before my arrival I messaged to confirm the shuttle would be there and again later in the afternoon, the message was marked as read but no one bothered responding. I arrived at the airport and waited 15 minutes to see if a driver would show but no one was there, so I called the hostel and the gentleman who answered acted as if he had no idea what I was talking about, but 15 minutes later a driver arrived. The driver was very nice and friendly. Subsequently, upon my arrival at the hostel when the gentleman who…",Lhostel_a_Casablanca-Casablanca_Casablanca_Settat
 August 2019,5,Friendly atmosphere,"This place is super convenient. The owners are very customer oriented. You feel like home. Home made breakfast, nice decorations and centered location. The rooms are very clean. There is a nearby train station which made my journey to the airport very smooth. It is highly recommended.",Lhostel_a_Casablanca-Casablanca_Casablanca_Settat
 July 2019,5,EXCELLENT SERVICE,"Firstly, this hostel is stunning, very beautiful architecture and decorations. Home made breakfast was absolutely delicious and we enjoyed the variety offered - especially the freshly squeezed orange juice and fresh fruit. The best part about this hostel was the incredible service and hospitable nature of the owners and staff. I had an issue with my suitcase and the owner kindly helped me repair it. He went above and beyond to assist me and I am so grateful. Thank you very much for having us!",Lhostel_a_Casablanca-Casablanca_Casablanca_Settat
